"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3857607.21527275,29203.2493848816,3755882.81400785,3837879.27313308,3857368.4233576,3876969.81548817,3985059.48015298
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",76939.6382025625,1329.66206012426,72259.4836610331,76049.5091715982,76924.4765417442,77821.2388900263,81664.2441509419
"Num Offtake","Juvenile Male",771286.753447293,15380.1784629716,716402.609480624,760761.220488124,771076.880436079,781701.394728396,836364.427984535
"Num Offtake","Juvenile Combined",848226.391649855,16352.7966288687,789855.816181028,836938.730362351,848075.930938155,859209.572976799,916700.602705511
"Num Offtake","Adult Female",577046.762393826,1848.10401162926,570231.976973033,575859.018373956,577106.806580481,578303.637018365,583893.174791139
"Num Offtake","Adult Male",2432334.06122906,13868.6447449875,2380598.51837619,2423002.65589821,2432420.4953854,2441601.26834905,2486630.33747662
"Cml Pop Growth","Overall",1980422.24442827,371239.405459982,715660.26872484,1724153.50408183,1975389.00605015,2229862.05887136,3532951.25776252
"Cml Pop Growth","Neonatal Female",217579.186785225,108396.115038328,-157605.69076564,144390.40992052,215400.226886142,289930.749487473,614317.140489291
"Cml Pop Growth","Neonatal Male",217414.036782673,108882.120992463,-177010.544862796,142283.144545041,215484.365696024,290609.245464575,628679.793940234
"Cml Pop Growth","Neonatal Combined",434993.223567898,208031.511839411,-334616.235628436,292310.363705686,430749.042774315,575394.313855222,1236639.53984958
"Cml Pop Growth","Juvenile Female",65529.1830841421,66218.9634282989,-175651.852488803,19950.4660259407,65147.8139364194,110037.080524706,315675.37886538
"Cml Pop Growth","Juvenile Male",461813.50480111,57712.8312474342,256626.756913113,422441.444437649,460856.808894009,500119.038386955,706233.45897479
"Cml Pop Growth","Juvenile Combined",527342.687885252,115254.668149571,115434.673323516,447952.588188693,524852.524835011,603994.465148123,988977.114517955
