"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3860117.78801863,29436.4974190075,3750996.27596076,3841371.04127406,3860098.91798403,3877936.11452865,3991808.26035491
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",77003.9866347937,1339.68869126302,72689.7225210973,76105.1497134934,76983.051005656,77878.4658345142,82040.5799361804
"Num Offtake","Juvenile Male",772050.062793376,15426.4752852679,711683.160549432,761930.742608822,771581.202561549,782299.100952063,842292.987913312
"Num Offtake","Juvenile Combined",849054.04942817,16415.7731171313,784372.883070529,838487.824845425,848590.108756506,859892.347144456,924333.567849492
"Num Offtake","Adult Female",577118.416462558,1870.82103601883,570940.846088801,575859.975723824,577162.673431096,578459.573135077,582549.064523053
"Num Offtake","Adult Male",2433945.3221279,13996.4918002442,2388836.13218822,2424497.00766691,2434353.16218544,2442981.4255025,2488129.50559819
"Cml Pop Growth","Overall",2038905.5665132,378125.078651044,838844.170130283,1783996.6911263,2045087.19637013,2285736.46712756,3160688.08227705
"Cml Pop Growth","Neonatal Female",233976.806834091,109856.03483026,-108882.968764985,155415.350847647,234951.9192573,309741.053905482,582131.162865462
"Cml Pop Growth","Neonatal Male",236962.02742015,109297.094361642,-102089.743998725,163329.734449732,233210.054211694,309501.292620369,595913.227613561
"Cml Pop Growth","Neonatal Combined",470938.834254241,210701.760541043,-210972.71276371,323681.822792612,478742.043918937,616386.523017629,1105442.72854473
"Cml Pop Growth","Juvenile Female",70595.5808224798,68242.8231565373,-143410.400153907,29390.103012914,71609.1071257726,114409.202071877,277745.031124136
"Cml Pop Growth","Juvenile Male",468577.368935058,58046.7969518596,277775.46298427,430129.329750526,468058.43231814,502867.524827752,682269.493213474
"Cml Pop Growth","Juvenile Combined",539172.949757538,117779.659461026,134365.062830363,464621.922331087,538466.105880179,613604.015189305,908153.604915904
"Cml Pop Growth","Adult Female",822325.247625221,100242.613903431,492841.548151299,753079.039637246,822766.259868148,892290.305018201,1160982.14619766
"Cml Pop Growth","Adult Male",206468.534876203,48725.5517452558,12401.5803096746,173888.294634442,204675.533789376,236772.547390796,429395.208123468
"Total Number Increase","Overall",5899023.35453183,396199.042715898,4631007.75992664,5630206.36472361,5902601.9186424,6161225.53816938,7068041.72835989
"Total Number Increase","Neonatal Female",233976.806834091,109856.03483026,-108882.968764985,155415.350847647,234951.9192573,309741.053905482,582131.162865462
"Total Number Increase","Neonatal Male",236962.02742015,109297.094361642,-102089.743998725,163329.734449732,233210.054211694,309501.292620369,595913.227613561
"Total Number Increase","Neonatal Combined",470938.834254241,210701.760541043,-210972.71276371,323681.822792612,478742.043918937,616386.523017629,1105442.72854473
"Total Number Increase","Juvenile Female",147599.567457273,69272.2388529051,-69346.7054964673,105592.555286991,148316.388857751,191809.240883375,356673.787222571
"Total Number Increase","Juvenile Male",1240627.43172843,70081.5965292552,998639.416303342,1193492.66150807,1238422.02640921,1283568.52982252,1524562.48112679
"Total Number Increase","Juvenile Combined",1388226.99918571,130097.766289355,935828.468739174,1307324.17592247,1386563.95492529,1469671.17462223,1832487.1727654
"Total Number Increase","Adult Female",1399443.66408778,101795.970100236,1067909.5966645,1328966.56046681,1399893.62026866,1471262.22313759,1743151.66184778
"Total Number Increase","Adult Male",2640413.85700411,61032.6449490997,2403557.85016289,2599636.6328761,2638791.15603014,2677979.01662369,2917524.71372166
"Total Mortality","Overall",3763404.06634717,161251.884528947,3216278.91768644,3651866.29415496,3760263.52697102,3871350.18128931,4289026.59093657
"Total Mortality","Neonatal Female",1007333.92827872,83402.7137058678,747027.628181495,951499.605835807,1003385.28980497,1067013.73805894,1271912.6761106
"Total Mortality","Neonatal Male",1002594.97498201,84040.3732134135,738121.588697725,948754.794462871,1002803.95361357,1056604.35758773,1260417.69927368
