"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4243078.14661523,136862.434907261,3860538.29753283,4157676.17584226,4233835.85293912,4326797.06125373,4737897.46162466
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94858.4412012464,6068.92020144014,78472.6288545488,90853.2225594863,94610.5998517283,98573.2447642204,116105.925955541
"Num Offtake","Juvenile Male",993286.774755544,74730.6605749685,779143.943297604,944467.6047993,988611.564929614,1037851.43611202,1247842.18205838
"Num Offtake","Juvenile Combined",1088145.21595679,80686.6187212462,857616.572152152,1035442.4636134,1083050.74439883,1137227.90276232,1363924.5895181
"Num Offtake","Adult Female",585240.57870068,3724.87878864907,575218.086423685,582750.625767139,585072.056780324,587426.766485866,599884.786760199
"Num Offtake","Adult Male",2569692.35195776,54682.4130919984,2423681.92119611,2533506.17145495,2566683.02986353,2603642.35416006,2774446.77165145
"Cml Pop Growth","Overall",8909363.64829073,1916500.09441173,4163223.85978805,7630967.60399547,8913883.81480604,10168027.5932671,15873913.9628115
"Cml Pop Growth","Neonatal Female",1894719.10098992,559263.27375672,528560.530212163,1505408.84030939,1851157.48003496,2237522.82479107,3986507.35114374
"Cml Pop Growth","Neonatal Male",1893911.61607918,564409.094905763,555655.760393086,1493308.17630445,1853583.95978644,2230636.82644492,4050125.30289606
"Cml Pop Growth","Neonatal Combined",3788630.71706909,1118936.72392221,1130120.10221945,3020624.50622129,3706843.23537967,4466604.48460236,8036632.65403979
"Cml Pop Growth","Juvenile Female",1152384.75683216,312684.295003243,342763.999111502,937492.612898591,1155255.9062016,1362608.187002,2292284.52786992
"Cml Pop Growth","Juvenile Male",1422218.14347379,279093.086825808,728526.471914028,1231471.41195271,1416231.27353116,1605965.84746155,2626760.48668299
"Cml Pop Growth","Juvenile Combined",2574602.90030595,587677.55421409,1123803.9840205,2174191.5901165,2574099.81245953,2958286.31945276,4902322.17741203
"Cml Pop Growth","Adult Female",1669624.74812235,299065.395067614,840870.836951649,1467375.9623984,1657902.60425845,1845294.38900877,2759555.36571771
"Cml Pop Growth","Adult Male",876505.282793341,222179.364841344,250981.841217557,732445.055288272,865735.364572956,1005796.2666543,1610234.77639046
"Total Number Increase","Overall",13152441.794906,2014096.34046892,8050903.56513322,11808348.0120996,13122222.3724844,14446658.5697567,20246339.8359647
"Total Number Increase","Neonatal Female",1894719.10098992,559263.27375672,528560.530212163,1505408.84030939,1851157.48003496,2237522.82479107,3986507.35114374
"Total Number Increase","Neonatal Male",1893911.61607918,564409.094905763,555655.760393086,1493308.17630445,1853583.95978644,2230636.82644492,4050125.30289606
"Total Number Increase","Neonatal Combined",3788630.71706909,1118936.72392221,1130120.10221945,3020624.50622129,3706843.23537967,4466604.48460236,8036632.65403979
"Total Number Increase","Juvenile Female",1247243.19803341,317640.761589238,426651.987966596,1029981.80300422,1251943.00119706,1462349.72639003,2407550.04691527
"Total Number Increase","Juvenile Male",2415504.91822933,340932.526374114,1524987.61553692,2184686.07386162,2408352.34899877,2634834.30709756,3765388.39164571
