"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4789111.47033323,117255.153242535,4647805.99710475,4720592.16236375,4767945.0983386,4841064.33008176,5026507.49406174
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",114364.530190643,6226.54854798609,105764.492524795,111624.635135583,113565.320685831,116484.575513343,126102.281991977
"Num Offtake","Juvenile Male",1242057.01941546,67363.0091440034,1147949.36842299,1208541.97028663,1235648.28961725,1273949.3686556,1375927.97191431
"Num Offtake","Juvenile Combined",1356421.5496061,64258.2892539888,1274051.65041496,1321602.18525796,1349449.94035474,1389552.22124067,1482505.17711852
"Num Offtake","Adult Female",617320.380104123,3601.05455085463,611874.376476577,614644.875035825,617783.637610497,619165.808337448,622731.119102866
"Num Offtake","Adult Male",2815369.54062301,55782.9203373986,2752878.73183119,2774797.89071965,2806385.69031727,2832646.92385846,2932127.94046665
"Cml Pop Growth","Overall",14637153.6190648,746490.596576643,13277695.4430647,14166718.6483644,14710400.5630728,15302780.6620864,15540966.454186
"Cml Pop Growth","Neonatal Female",2806495.34892016,620593.42404004,2101665.99235542,2406223.73183592,2667183.85761686,3132722.36466694,4156390.38611309
"Cml Pop Growth","Neonatal Male",3097113.39918733,564495.304943654,2111484.14547388,2689290.4002425,3068500.38839312,3548378.06725041,3884573.55177728
"Cml Pop Growth","Neonatal Combined",5903608.74810749,537604.076746195,5093735.28551681,5371279.87689731,6168677.76317318,6335442.85357265,6462587.00188859
"Cml Pop Growth","Juvenile Female",1866528.30847128,304818.36933276,1418118.38039264,1694098.99391292,1819356.45076858,1995187.45428436,2465604.58472555
"Cml Pop Growth","Juvenile Male",2242165.95559753,217396.677438041,1801740.32200696,2123039.61746966,2238374.36133596,2393424.81481811,2527859.42509041
"Cml Pop Growth","Juvenile Combined",4108694.26406881,204746.730398884,3787011.72512112,3966997.17719328,4135732.63424445,4275484.371423,4337088.47814852
"Cml Pop Growth","Adult Female",3114255.79889823,253230.099920352,2770907.61802555,2992370.80331734,3099437.6798618,3197715.67609326,3586807.42345881
"Cml Pop Growth","Adult Male",1510594.80799031,177448.189384241,1276591.76037312,1413843.15422669,1507123.73705243,1585046.23700456,1865396.98229455
"Total Number Increase","Overall",19426265.0893981,745788.236143083,17996124.7090884,18954247.8497595,19403795.9711624,20027320.7528173,20385618.1296632
"Total Number Increase","Neonatal Female",2806495.34892016,620593.42404004,2101665.99235542,2406223.73183592,2667183.85761686,3132722.36466694,4156390.38611309
"Total Number Increase","Neonatal Male",3097113.39918733,564495.304943654,2111484.14547388,2689290.4002425,3068500.38839312,3548378.06725041,3884573.55177728
"Total Number Increase","Juvenile Female",1980892.83866193,310770.506850955,1523882.87291743,1807777.6380639,1932525.97052333,2111123.38086162,2591706.86671753
"Total Number Increase","Juvenile Male",3484222.97501298,276470.556355995,2949689.69042995,3339504.72669747,3474944.49705282,3664004.11598714,3903787.39700472
"Total Number Increase","Adult Female",3731576.17900235,256719.476255258,3383928.55037991,3607015.67835316,3717221.3174723,3816631.997447,4209538.54256168
"Total Number Increase","Adult Male",4325964.34861332,231543.849689298,4035416.56471595,4211962.94570217,4297891.06040559,4417392.5375082,4797524.9227612
"Total Mortality","Overall",0,0,0,0,0,0,0
