"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4214276.05375011,19.2445003049756,4214262.44583345,4214269.24979178,4214276.05375011,4214282.85770845,4214289.66166678
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",88368.291666668,0.355910413192564,88368.0400000014,88368.1658333347,88368.291666668,88368.4175000014,88368.5433333347
"Num Offtake","Juvenile Male",913220.977500019,9.70504057185122,913214.115000019,913217.546250019,913220.977500019,913224.408750019,913227.840000019
"Num Offtake","Juvenile Combined",1001589.26916669,10.0609509851055,1001582.15500002,1001585.71208335,1001589.26916669,1001592.82625002,1001596.38333335
"Num Offtake","Adult Female",603667.116666721,0.292270802888244,603666.910000054,603667.013333388,603667.116666721,603667.220000054,603667.323333388
"Num Offtake","Adult Male",2609019.66791671,8.89127851780497,2609013.38083337,2609016.52437504,2609019.66791671,2609022.81145837,2609025.95500004
"Cml Pop Growth","Overall",5792838.87414449,129.733432579648,5792747.13875456,5792793.00644952,5792838.87414449,5792884.74183945,5792930.60953441
"Cml Pop Growth","Neonatal Female",789250.918592763,29.8402575372361,789229.818344306,789240.368468535,789250.918592763,789261.468716992,789272.01884122
"Cml Pop Growth","Neonatal Male",789229.971940839,32.4182961151229,789207.048743821,789218.51034233,789229.971940839,789241.433539347,789252.895137856
"Cml Pop Growth","Neonatal Combined",1578480.8905336,62.258553652359,1578436.86708813,1578458.87881086,1578480.8905336,1578502.90225634,1578524.91397908
"Cml Pop Growth","Juvenile Female",590288.166666626,4.61033621367873,590284.906666625,590286.536666625,590288.166666626,590289.796666626,590291.426666626
"Cml Pop Growth","Juvenile Male",889461.600833232,21.6551451741673,889446.288333232,889453.944583232,889461.600833232,889469.257083232,889476.913333232
"Cml Pop Growth","Juvenile Combined",1479749.76749986,26.265481387846,1479731.19499986,1479740.48124986,1479749.76749986,1479759.05374986,1479768.33999986
