"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",4422837.74574125,124703.387265616,4218740.72878035,4336529.83634324,4388523.94451049,4527555.53700842,4603534.67693885
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",99726.0648464504,4097.06759100529,94266.2011505535,95778.9502437594,100544.912306554,102340.064032321,105098.761658945
"Num Offtake","Juvenile Male",1083355.95059516,68305.3787311513,985382.411575184,1033757.45438709,1062409.20424883,1133476.52439299,1199674.53846206
"Num Offtake","Juvenile Combined",1183082.01544162,69468.3455412081,1079702.60214895,1136097.51841941,1161966.53751776,1233197.54405635,1304773.300121
"Num Offtake","Adult Female",608165.444924313,2485.21707300585,604940.529773529,606742.396745235,608478.638597363,608878.524415948,613473.75225191
"Num Offtake","Adult Male",2631590.28537532,56784.5587627934,2532534.42917163,2590274.33633988,2626335.55213627,2684745.84749522,2703298.49687316
"Cml Pop Growth","Overall",10772828.2266504,1447974.95746166,9043544.24062527,9664933.74639294,10419351.9519795,11559061.8363138,13156840.7894808
"Cml Pop Growth","Neonatal Female",2150614.64894905,542709.947908234,1113034.23530181,1977158.13842984,2199870.55693293,2467882.20456741,2987582.62104245
"Cml Pop Growth","Neonatal Male",2270844.93533708,785262.089266493,923305.593072921,1772310.78243184,2360321.23240923,2963327.95989994,3207148.53426299
"Cml Pop Growth","Neonatal Combined",4421459.58428613,1015446.84866693,3006094.61185384,3618917.77804627,4466059.9320051,5058129.43592269,6061273.08888906
"Cml Pop Growth","Juvenile Female",1272265.55937969,258427.466067248,779372.437031181,1103009.6251024,1322199.31286421,1464606.44658333,1601466.27457389
"Cml Pop Growth","Juvenile Male",1632249.04932995,259797.026417599,1196678.32731766,1526904.52998622,1621795.58633529,1681928.65469574,2233064.36904817
"Cml Pop Growth","Juvenile Combined",2904514.60870965,398811.506841911,2393709.58545891,2594682.37131728,2794709.32044314,3247826.35759295,3584323.50622383
