"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3923200.3500001,NA,3923200.3500001,3923200.3500001,3923200.3500001,3923200.3500001,3923200.3500001
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",76973.5266666678,NA,76973.5266666678,76973.5266666678,76973.5266666678,76973.5266666678,76973.5266666678
"Num Offtake","Juvenile Male",771752.475000014,NA,771752.475000014,771752.475000014,771752.475000014,771752.475000014,771752.475000014
"Num Offtake","Juvenile Combined",848726.001666681,NA,848726.001666681,848726.001666681,848726.001666681,848726.001666681,848726.001666681
"Num Offtake","Adult Female",577130.166666717,NA,577130.166666717,577130.166666717,577130.166666717,577130.166666717,577130.166666717
"Num Offtake","Adult Male",2497344.1816667,NA,2497344.1816667,2497344.1816667,2497344.1816667,2497344.1816667,2497344.1816667
"Cml Pop Growth","Overall",2158774.49188193,NA,2158774.49188193,2158774.49188193,2158774.49188193,2158774.49188193,2158774.49188193
"Cml Pop Growth","Neonatal Female",221832.803939001,NA,221832.803939001,221832.803939001,221832.803939001,221832.803939001,221832.803939001
"Cml Pop Growth","Neonatal Male",221897.074635359,NA,221897.074635359,221897.074635359,221897.074635359,221897.074635359,221897.074635359
"Cml Pop Growth","Neonatal Combined",443729.87857436,NA,443729.87857436,443729.87857436,443729.87857436,443729.87857436,443729.87857436
"Cml Pop Growth","Juvenile Female",67931.0669730238,NA,67931.0669730238,67931.0669730238,67931.0669730238,67931.0669730238,67931.0669730238
"Cml Pop Growth","Juvenile Male",463704.631587923,NA,463704.631587923,463704.631587923,463704.631587923,463704.631587923,463704.631587923
"Cml Pop Growth","Juvenile Combined",531635.698560946,NA,531635.698560946,531635.698560946,531635.698560946,531635.698560946,531635.698560946
"Cml Pop Growth","Adult Female",822410.596413298,NA,822410.596413298,822410.596413298,822410.596413298,822410.596413298,822410.596413298
"Cml Pop Growth","Adult Male",360998.318333326,NA,360998.318333326,360998.318333326,360998.318333326,360998.318333326,360998.318333326
"Total Number Increase","Overall",6081974.84188203,NA,6081974.84188203,6081974.84188203,6081974.84188203,6081974.84188203,6081974.84188203
"Total Number Increase","Neonatal Female",221832.803939001,NA,221832.803939001,221832.803939001,221832.803939001,221832.803939001,221832.803939001
"Total Number Increase","Neonatal Male",221897.074635359,NA,221897.074635359,221897.074635359,221897.074635359,221897.074635359,221897.074635359
"Total Number Increase","Neonatal Combined",443729.87857436,NA,443729.87857436,443729.87857436,443729.87857436,443729.87857436,443729.87857436
"Total Number Increase","Juvenile Female",144904.593639692,NA,144904.593639692,144904.593639692,144904.593639692,144904.593639692,144904.593639692
"Total Number Increase","Juvenile Male",1235457.10658794,NA,1235457.10658794,1235457.10658794,1235457.10658794,1235457.10658794,1235457.10658794
"Total Number Increase","Juvenile Combined",1380361.70022763,NA,1380361.70022763,1380361.70022763,1380361.70022763,1380361.70022763,1380361.70022763
"Total Number Increase","Adult Female",1399540.76308001,NA,1399540.76308001,1399540.76308001,1399540.76308001,1399540.76308001,1399540.76308001
"Total Number Increase","Adult Male",2858342.50000003,NA,2858342.50000003,2858342.50000003,2858342.50000003,2858342.50000003,2858342.50000003
"Total Mortality","Overall",3520712.17750126,NA,3520712.17750126,3520712.17750126,3520712.17750126,3520712.17750126,3520712.17750126
"Total Mortality","Neonatal Female",998234.381678612,NA,998234.381678612,998234.381678612,998234.381678612,998234.381678612,998234.381678612
"Total Mortality","Neonatal Male",998127.610982256,NA,998127.610982256,998127.610982256,998127.610982256,998127.610982256,998127.610982256
"Total Mortality","Neonatal Combined",1996361.99266087,NA,1996361.99266087,1996361.99266087,1996361.99266087,1996361.99266087,1996361.99266087
"Total Mortality","Juvenile Female",389265.073026944,NA,389265.073026944,389265.073026944,389265.073026944,389265.073026944,389265.073026944
"Total Mortality","Juvenile Male",289088.893412001,NA,289088.893412001,289088.893412001,289088.893412001,289088.893412001,289088.893412001
"Total Mortality","Juvenile Combined",678353.966438946,NA,678353.966438946,678353.966438946,678353.966438946,678353.966438946,678353.966438946
"Total Mortality","Adult Female",845996.218401442,NA,845996.218401442,845996.218401442,845996.218401442,845996.218401442,845996.218401442
