"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3979060.6425327,35470.0674259436,3923159.32551648,3958397.32447274,3978490.12500916,3991647.20884571,4049279.39884856
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",81491.0907044094,946.391084316769,79831.2785560274,81046.0322012582,81524.022685903,82136.1931002841,82952.7718864227
"Num Offtake","Juvenile Male",834072.597278028,17123.0796664616,813099.849083649,822613.587591741,833822.31472083,838965.331053004,871279.082454236
"Num Offtake","Juvenile Combined",915563.687982438,17294.0509913954,894103.567928302,904381.753709305,915246.583189306,919572.31958244,953515.350347844
"Num Offtake","Adult Female",582978.792032097,2099.28753732376,578644.078623533,582297.511088847,583216.137361915,584553.014789492,585337.434451917
"Num Offtake","Adult Male",2480518.16251817,18497.8109867386,2446505.14281114,2470167.56945108,2479892.61397757,2489595.89862562,2513499.47769895
"Cml Pop Growth","Overall",2634049.81981232,211223.426767264,2298195.34567279,2466988.65493148,2656423.08724112,2813171.73471572,2896925.06637068
"Cml Pop Growth","Neonatal Female",227775.323616547,85689.1659038261,72237.1014462598,174085.210681108,246599.005920464,281875.814506008,356890.653072395
"Cml Pop Growth","Neonatal Male",283595.064992639,86341.2414462887,98398.8633800321,255832.108129822,300630.306855797,347915.965425697,374031.227732711
"Cml Pop Growth","Neonatal Combined",511370.388609186,137485.55912907,327609.688670905,380020.146840355,543840.059330793,622641.274720727,702976.026333079
"Cml Pop Growth","Juvenile Female",209601.921024438,39405.6185843844,138321.555366369,203299.158942831,217970.905689379,234518.682065998,252241.485051124
"Cml Pop Growth","Juvenile Male",599854.413428494,41955.3798312313,540640.270443994,576096.407053273,598079.36574058,618126.333638648,682683.690534471
"Cml Pop Growth","Juvenile Combined",809456.334452932,63702.3464914238,693161.060951156,799725.103744213,826295.416229894,828983.656946017,884891.310841229
"Cml Pop Growth","Adult Female",996255.408085032,87885.048850338,800523.093965445,970043.050095622,1003467.92555745,1055445.50386945,1112082.51989029
"Cml Pop Growth","Adult Male",316967.688665172,52227.3570011556,241313.968167106,285511.399368647,319802.229167107,341106.335567831,421156.534825807
"Total Number Increase","Overall",6613110.46234503,236287.418885217,6243961.6761384,6400889.34663022,6643405.67921764,6792236.34937222,6910328.73646546
"Total Number Increase","Neonatal Female",227775.323616547,85689.1659038261,72237.1014462598,174085.210681108,246599.005920464,281875.814506008,356890.653072395
"Total Number Increase","Neonatal Male",283595.064992639,86341.2414462887,98398.8633800321,255832.108129822,300630.306855797,347915.965425697,374031.227732711
"Total Number Increase","Juvenile Female",291093.011728848,39963.0256297538,218702.241147492,284934.179502044,299299.035356159,317192.253160893,333806.243360444
"Total Number Increase","Juvenile Male",1433927.01070652,56518.555097991,1361068.31871371,1406284.93124177,1423067.78055604,1462405.78368521,1553962.77298871
"Total Number Increase","Adult Female",1579234.20011713,89638.9353312909,1379167.17258898,1551506.5936389,1586034.61547904,1640196.75898804,1697419.9543422
"Total Number Increase","Adult Male",2797485.85118334,69759.147621789,2705621.90895121,2755678.96881972,2801991.08011692,2829554.11570733,2934656.01252476
"Total Mortality","Overall",3076939.86116271,168165.312229462,2781459.14752828,3062631.99346005,3107142.36900587,3168840.86412119,3311133.13099248
"Total Mortality","Neonatal Female",1017106.29216805,72460.0916057141,941043.987771494,959830.894506055,1017204.73101838,1040188.96773404,1185958.90297541
"Total Mortality","Neonatal Male",993434.202373332,79811.9746139564,882984.530920094,922659.803726001,1018581.37517894,1049743.31858773,1093927.32550099
"Total Mortality","Neonatal Combined",2010540.49454139,100359.796345957,1824028.51869159,1964961.87390885,2045231.1251357,2067606.4231321,2134089.80782241
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",833042.639457104,90703.1209172444,704829.046248385,769904.946790708,837623.714627302,880714.17488484,1007528.22367049
"Total Mortality","Adult Male",233356.727164222,33784.75499341,181221.482244779,217466.454837488,228519.851826686,238131.972487895,310206.22775411
"Liveweight (kg)","Overall",7750037543.57217,207835343.016883,7425113448.72447,7647462130.31713,7723677677.51161,7812647212.81411,8226100329.62323
"Liveweight (kg)","Neonatal Female",301062652.167516,13563969.5640576,269909113.045545,297451423.035357,301028819.405084,306247273.040768,323029724.310346
