"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3932586.71472677,29283.7601855258,3838784.37821481,3913106.61389105,3931451.35765936,3951987.05062147,4068241.78798373
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",81249.5446926645,1257.12034732768,77527.3957610917,80357.5410530806,81221.0356830193,82107.659248507,85792.7962917585
"Num Offtake","Juvenile Male",809208.140501542,15447.0618161681,758850.717183687,798633.160491508,808687.633477126,819732.81789292,879957.799637822
"Num Offtake","Juvenile Combined",890457.685194206,16511.2050236563,836857.176215613,879208.922116355,889993.23223693,901735.920064937,965750.595929581
"Num Offtake","Adult Female",579901.913271947,1806.96554502746,573896.320235696,578662.651129349,580011.804184862,581114.404012302,584902.709119571
"Num Offtake","Adult Male",2462227.11626061,13893.8050770853,2421106.26977967,2453152.72146859,2462100.62671603,2471498.40279196,2519971.42008739
"Cml Pop Growth","Overall",2622067.93930916,371407.008812132,1544727.32544317,2361058.56485424,2618904.77841595,2867232.31342578,3758537.46161176
"Cml Pop Growth","Neonatal Female",230253.068082185,106652.612123713,-91216.1618763905,159137.206765448,229251.540188096,300102.345792108,609994.369871889
"Cml Pop Growth","Neonatal Male",230910.360756342,106452.980435045,-103980.219133929,161970.048110134,234186.29917161,297594.559900035,602424.105160262
"Cml Pop Growth","Neonatal Combined",461163.428838527,203515.38937388,-193802.816776497,324235.998673082,468406.932204213,594156.248100747,1182136.10109277
"Cml Pop Growth","Juvenile Female",242521.480091062,64519.069573754,64419.6204535218,198265.51126584,239388.120038484,284029.993557042,446504.180941097
"Cml Pop Growth","Juvenile Male",580291.897090186,57437.0635516135,427728.894496794,544020.970463798,577635.824206315,616772.322568551,765982.717813121
"Cml Pop Growth","Juvenile Combined",822813.377181249,116500.486917733,494852.145157452,741480.777193162,819381.9382981,898893.690312933,1188635.29350618
"Cml Pop Growth","Adult Female",1028760.81435784,96245.1818294688,705054.702192923,966348.475261654,1029692.2293102,1095977.58975216,1299712.14975522
"Cml Pop Growth","Adult Male",309330.318931538,49187.8214954891,151663.720932913,277803.157410958,307999.896615203,341008.078142,514924.541079444
"Total Number Increase","Overall",6554654.65403592,390471.318423813,5421555.75998994,6285020.57329273,6551493.92750991,6809339.63418116,7756407.39232561
"Total Number Increase","Neonatal Female",230253.068082185,106652.612123713,-91216.1618763905,159137.206765448,229251.540188096,300102.345792108,609994.369871889
"Total Number Increase","Neonatal Male",230910.360756342,106452.980435045,-103980.219133929,161970.048110134,234186.29917161,297594.559900035,602424.105160262
"Total Number Increase","Neonatal Combined",461163.428838527,203515.38937388,-193802.816776497,324235.998673082,468406.932204213,594156.248100747,1182136.10109277
"Total Number Increase","Juvenile Female",323771.024783727,65537.2110600531,143044.288105453,278414.205311571,320547.222687654,366015.734001047,531303.921313451
"Total Number Increase","Juvenile Male",1389500.03759173,70211.174939647,1195270.23359845,1343892.10375173,1386475.70271757,1436346.6587623,1645940.51745094
"Total Number Increase","Juvenile Combined",1713271.06237546,129696.534039734,1367409.26982067,1625077.85407899,1707851.40545609,1800634.28881248,2154385.88943576
"Total Number Increase","Adult Female",1608662.72762979,97752.3311382668,1278951.02242862,1544257.66569601,1609945.82893037,1677013.89415997,1883855.86813835
"Total Number Increase","Adult Male",2771557.43519215,61444.8296868495,2586596.19955148,2732357.89677031,2768680.92118965,2810810.74917499,3034895.96116683
"Total Mortality","Overall",3095349.68094273,146042.089023327,2623485.15775943,2995997.8840714,3100367.10112661,3194055.06965905,3684435.36391677
"Total Mortality","Neonatal Female",1013920.16397901,84399.3817147826,792740.424976673,951690.936112158,1014654.49522955,1069885.36216875,1309342.66616011
"Total Mortality","Neonatal Male",1012943.90608732,84189.1037373321,772699.236078445,955718.661470249,1012775.21600349,1069814.0625652,1277002.17749399
"Total Mortality","Neonatal Combined",2026864.07006633,122750.775966762,1649656.53926384,1940771.46551666,2024944.19124066,2113905.73045734,2422244.34897602
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",842975.859025806,81522.0510449405,612600.177306034,782382.658943667,843649.657378683,899927.711733836,1091097.50039949
"Total Mortality","Adult Male",225509.751850595,24412.7366194352,157172.333079196,208929.108272975,224547.57959249,241037.267038731,300581.359695995
"Population Liveweight (kg)","Overall",681086895.897036,69778489.749074,445269656.357115,633511775.250709,679445141.17703,731686633.776505,872411440.105201
"Population Liveweight (kg)","Neonatal Female",26310864.3802267,4669549.52429446,10704518.5943626,23171627.9896539,26490639.2298318,29629646.714477,37805606.9536408
"Population Liveweight (kg)","Neonatal Male",26261175.0172926,4684241.26179337,12076338.8132175,22908113.4100535,26501117.0191956,29850385.8192535,36872687.0327443
"Population Liveweight (kg)","Juvenile Female",45278968.2483212,8288996.82352286,18241069.961674,39944679.4069786,45236678.226834,51000534.2183035,70321893.0432023
"Population Liveweight (kg)","Juvenile Male",39600210.6774346,5733113.05241196,25952603.9042592,35248600.0831405,39629530.1909739,43926345.5765,56465587.2674901
"Population Liveweight (kg)","Juvenile Combined",84879178.9257559,10610408.365973,53226786.847849,77716190.8803356,85194077.9865902,92186501.5700749,115397073.932295
"Population Liveweight (kg)","Adult Female",437014966.39402,64980483.1503855,250890725.103483,392355908.412478,436637385.597157,481076541.136124,631289063.585197
