"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3862233.30251908,29950.5570053599,3745129.01704602,3842408.31036478,3862314.65929082,3882436.18458722,3978493.44036214
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",76975.2486133698,1364.74318596367,71356.4224849419,76056.458227714,76978.8856533506,77904.2126362179,81678.2195793266
"Num Offtake","Juvenile Male",771921.024735901,15763.5679360602,716782.741867716,761232.095958077,771861.040477006,782562.010781487,830507.76928424
"Num Offtake","Juvenile Combined",848896.273349271,16772.668764968,790069.352156559,837633.396247044,848798.332056684,860118.483620105,912034.742413433
"Num Offtake","Adult Female",580789.639275696,1494.99846769746,574640.281564558,579793.772583519,580809.84762677,581814.837683004,586080.237684451
"Num Offtake","Adult Male",2432547.38989412,14190.853121198,2375231.67825985,2422942.60402462,2432757.03426675,2442225.50309907,2483522.37406029
"Cml Pop Growth","Overall",2246698.6265601,373042.239012227,755230.452986684,1997367.35141746,2245310.9192367,2495791.01961293,3600216.57342368
"Cml Pop Growth","Neonatal Female",240536.084881986,110241.354555307,-168100.8875332,165554.4543351,241434.67851958,312392.754925007,730589.189344366
"Cml Pop Growth","Neonatal Male",240280.228527279,109753.972857695,-173589.162983389,166369.327829558,238914.720742876,312148.180190063,662991.35420961
"Cml Pop Growth","Neonatal Combined",480816.313409265,210799.333319927,-325282.875517549,337867.33941859,481100.249864413,619236.206521591,1369487.03588907
"Cml Pop Growth","Juvenile Female",73741.433805043,67674.2387775865,-173263.379665426,26406.9035344031,73556.3254030437,120414.241031804,331754.068655484
"Cml Pop Growth","Juvenile Male",469180.87631071,58395.9909781289,267392.079556519,428992.195700821,469213.418604277,508061.275014097,674035.009203839
"Cml Pop Growth","Juvenile Combined",542922.310115753,117436.893053914,104110.166910174,462120.8843373,540650.433444316,623901.172033349,991703.765662158
"Cml Pop Growth","Adult Female",1019037.4329288,87244.3798217957,693473.237802159,961531.235083761,1019663.09488808,1077810.04884077,1338302.52714108
"Cml Pop Growth","Adult Male",203922.570106281,49294.4789264243,3248.81323376717,170550.682198896,203060.422302706,237438.112143434,395145.039839583
"Total Number Increase","Overall",6108931.92907918,391924.440225339,4575301.68324118,5844947.29996136,6107320.00390481,6371376.20570858,7522005.67559031
"Total Number Increase","Neonatal Female",240536.084881986,110241.354555307,-168100.8875332,165554.4543351,241434.67851958,312392.754925007,730589.189344366
"Total Number Increase","Neonatal Male",240280.228527279,109753.972857695,-173589.162983389,166369.327829558,238914.720742876,312148.180190063,662991.35420961
