"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3884565.86796007,29549.3153947383,3781062.24096902,3864719.61137657,3884227.66124987,3904794.23043805,3991644.49810839
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",78083.3989776675,1333.77530346492,72845.6235838245,77156.430489007,78095.8933369657,78979.3976969125,83074.2358779178
"Num Offtake","Juvenile Male",785984.586657226,15524.8672831452,732896.606260904,775686.836913483,785978.874768966,796522.787056022,844398.812331322
"Num Offtake","Juvenile Combined",864067.985634894,16567.5057748015,808835.455741781,853084.0418491,864005.361030848,875316.308760751,924141.019577753
"Num Offtake","Adult Female",577902.719116404,1820.94085667687,568839.157017045,576717.816549118,577946.618144812,579118.707685842,584451.076094654
"Num Offtake","Adult Male",2442595.16320877,14017.1901657953,2388296.33966571,2433106.86280819,2442539.1704229,2452272.42767783,2492649.35130346
"Cml Pop Growth","Overall",2473599.03951203,380464.361747688,992479.437028609,2217553.45374557,2470837.26261313,2728145.45856529,3853142.3976705
"Cml Pop Growth","Neonatal Female",334009.379836177,109174.388364422,-35501.0757988319,259743.631215351,332616.355306357,408128.75355047,770264.278765039
"Cml Pop Growth","Neonatal Male",334572.770934474,108245.884112825,-53633.2032854552,260630.082575618,333602.425596765,407293.990978203,781949.22040831
"Cml Pop Growth","Neonatal Combined",668582.150770651,211561.585618599,-47337.55673532,522729.0443184,668033.788415839,811440.561858653,1530072.08119955
"Cml Pop Growth","Juvenile Female",138291.781953299,66404.2393915048,-98246.5231918672,94087.212316825,138002.690775625,182824.281979245,407428.278351207
"Cml Pop Growth","Juvenile Male",526572.316471066,57725.0225019195,323629.526055977,487728.297690478,526908.008663011,565780.915290915,758050.399430557
"Cml Pop Growth","Juvenile Combined",664864.098424365,117147.349538858,251416.538177081,586479.275253639,665376.215418305,743739.584827334,1110619.86035766
"Cml Pop Growth","Adult Female",891091.870001356,98688.9429596519,464601.059452612,825520.689594969,892681.060335505,955804.825985786,1277826.93361194
"Cml Pop Growth","Adult Male",249060.920315658,48884.7433469267,73066.210909484,216013.091999409,249083.103130195,282689.742026967,465403.471822485
"Total Number Increase","Overall",6358164.9074721,399568.750527876,4814513.05534614,6092679.21068249,6355080.66969328,6626258.08801439,7819728.98519428
"Total Number Increase","Neonatal Female",334009.379836177,109174.388364422,-35501.0757988319,259743.631215351,332616.355306357,408128.75355047,770264.278765039
"Total Number Increase","Neonatal Male",334572.770934474,108245.884112825,-53633.2032854552,260630.082575618,333602.425596765,407293.990978203,781949.22040831
"Total Number Increase","Neonatal Combined",668582.150770651,211561.585618599,-47337.55673532,522729.0443184,668033.788415839,811440.561858653,1530072.08119955
"Total Number Increase","Juvenile Female",216375.180930967,67413.4998312869,-23667.3672538642,171164.96644667,216116.004986159,261561.825340788,488654.623428365
"Total Number Increase","Juvenile Male",1312556.90312829,70007.3287382114,1075380.78632622,1265651.6924684,1313129.95974447,1359449.39521075,1596304.83027498
"Total Number Increase","Juvenile Combined",1528932.08405926,129857.677082612,1074957.8809134,1442209.66276192,1530049.54075543,1615102.10994945,2011665.13748729
"Total Number Increase","Adult Female",1468994.58911776,100218.189599788,1033440.21646966,1402152.68686663,1470760.21769655,1535233.42625522,1861609.24843269
