"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3879788.56226554,30033.0415806739,3787976.21030884,3859465.33378302,3879537.08575659,3900305.16375742,3992292.89721074
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",77257.5533820819,1407.09699356786,73115.4901747512,76282.1340751472,77223.2456167342,78184.7364046264,82646.9531383652
"Num Offtake","Juvenile Male",775800.117891673,16029.1780905465,728847.152796223,765278.348336051,775504.81149722,786689.886602499,832376.142754648
"Num Offtake","Juvenile Combined",853057.671273755,17078.4931092366,803146.604956754,841765.602402439,852388.000470503,864842.307885016,915023.095893013
"Num Offtake","Adult Female",591940.883578429,835.803450511413,589366.738507045,591373.620163894,591944.214224311,592477.080550854,595222.787399424
"Num Offtake","Adult Male",2434790.00741336,14044.0430811335,2392224.82890223,2425289.42369654,2434461.34174257,2444032.49920509,2482047.0139183
"Cml Pop Growth","Overall",3046597.87945615,366689.747235488,1851089.21469658,2792714.2776449,3031859.99932759,3294034.05898212,4181453.65512322
"Cml Pop Growth","Neonatal Female",302534.936642502,110854.846643083,-38660.4136816585,226788.557686107,302473.948567985,378337.453522967,652084.694649762
"Cml Pop Growth","Neonatal Male",302909.297749357,109549.016063653,-31364.6528014196,230250.650892986,299794.049152496,373853.343583161,648560.128512802
"Cml Pop Growth","Neonatal Combined",605444.234391859,211616.066261207,-53044.2926930678,468265.638542891,600432.235177286,741916.621070834,1272871.81968722
"Cml Pop Growth","Juvenile Female",102145.639933678,69674.4347840315,-113684.74938836,56411.1466266435,102422.648356037,147524.057590194,315397.652455445
"Cml Pop Growth","Juvenile Male",496205.099104003,56854.4449598935,309066.829550089,455758.140957991,494876.132840378,535630.638820226,674444.420810281
"Cml Pop Growth","Juvenile Combined",598350.739037681,117354.946641816,252939.07470207,516637.305746296,598383.714426829,674187.219385611,925689.659248556
"Cml Pop Growth","Adult Female",1626656.55336336,67398.5226320678,1428129.28934025,1579477.59965415,1625268.15463648,1670856.87038153,1883728.23785377
"Cml Pop Growth","Adult Male",216146.352663245,49520.3799044144,73604.2185129118,182589.362548146,215179.630638574,248053.599569297,393548.184263164
"Total Number Increase","Overall",6926386.44172169,385625.877728965,5657274.73607465,6671293.02849668,6909659.2482253,7178662.51905924,8082792.4274273
"Total Number Increase","Neonatal Female",302534.936642502,110854.846643083,-38660.4136816585,226788.557686107,302473.948567985,378337.453522967,652084.694649762
"Total Number Increase","Neonatal Male",302909.297749357,109549.016063653,-31364.6528014196,230250.650892986,299794.049152496,373853.343583161,648560.128512802
"Total Number Increase","Neonatal Combined",605444.234391859,211616.066261207,-53044.2926930678,468265.638542891,600432.235177286,741916.621070834,1272871.81968722
"Total Number Increase","Juvenile Female",179403.19331576,70741.9658546408,-40324.4374500646,133338.573116336,180059.310391856,225534.617861617,395315.964341954
"Total Number Increase","Juvenile Male",1272005.21699568,69623.6555070405,1059012.80983442,1224972.14414918,1268700.22097609,1319503.19401436,1483763.45999033
"Total Number Increase","Juvenile Combined",1451408.41031144,130263.948079186,1076677.22071653,1358070.89958804,1452148.09567981,1536983.22024747,1826982.89741505
"Total Number Increase","Adult Female",2218597.43694179,68179.3244003318,2017800.08271013,2170956.5759879,2217156.27678526,2263516.05339175,2478951.02525319
