"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3925218.4225001,NA,3925218.4225001,3925218.4225001,3925218.4225001,3925218.4225001,3925218.4225001
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",77069.5333333345,NA,77069.5333333345,77069.5333333345,77069.5333333345,77069.5333333345,77069.5333333345
"Num Offtake","Juvenile Male",772672.815000014,NA,772672.815000014,772672.815000014,772672.815000014,772672.815000014,772672.815000014
"Num Offtake","Juvenile Combined",849742.348333348,NA,849742.348333348,849742.348333348,849742.348333348,849742.348333348,849742.348333348
"Num Offtake","Adult Female",577452.953333384,NA,577452.953333384,577452.953333384,577452.953333384,577452.953333384,577452.953333384
"Num Offtake","Adult Male",2498023.12083337,NA,2498023.12083337,2498023.12083337,2498023.12083337,2498023.12083337,2498023.12083337
"Cml Pop Growth","Overall",2194005.792036,NA,2194005.792036,2194005.792036,2194005.792036,2194005.792036,2194005.792036
"Cml Pop Growth","Neonatal Female",224801.247697479,NA,224801.247697479,224801.247697479,224801.247697479,224801.247697479,224801.247697479
"Cml Pop Growth","Neonatal Male",224847.020554178,NA,224847.020554178,224847.020554178,224847.020554178,224847.020554178,224847.020554178
"Cml Pop Growth","Neonatal Combined",449648.268251657,NA,449648.268251657,449648.268251657,449648.268251657,449648.268251657,449648.268251657
"Cml Pop Growth","Juvenile Female",72445.5681470961,NA,72445.5681470961,72445.5681470961,72445.5681470961,72445.5681470961,72445.5681470961
"Cml Pop Growth","Juvenile Male",467070.305663138,NA,467070.305663138,467070.305663138,467070.305663138,467070.305663138,467070.305663138
"Cml Pop Growth","Juvenile Combined",539515.873810234,NA,539515.873810234,539515.873810234,539515.873810234,539515.873810234,539515.873810234
"Cml Pop Growth","Adult Female",841113.604140781,NA,841113.604140781,841113.604140781,841113.604140781,841113.604140781,841113.604140781
"Cml Pop Growth","Adult Male",363728.045833328,NA,363728.045833328,363728.045833328,363728.045833328,363728.045833328,363728.045833328
"Total Number Increase","Overall",6119224.2145361,NA,6119224.2145361,6119224.2145361,6119224.2145361,6119224.2145361,6119224.2145361
"Total Number Increase","Neonatal Female",224801.247697479,NA,224801.247697479,224801.247697479,224801.247697479,224801.247697479,224801.247697479
"Total Number Increase","Neonatal Male",224847.020554178,NA,224847.020554178,224847.020554178,224847.020554178,224847.020554178,224847.020554178
"Total Number Increase","Neonatal Combined",449648.268251657,NA,449648.268251657,449648.268251657,449648.268251657,449648.268251657,449648.268251657
"Total Number Increase","Juvenile Female",149515.101480431,NA,149515.101480431,149515.101480431,149515.101480431,149515.101480431,149515.101480431
"Total Number Increase","Juvenile Male",1239743.12066315,NA,1239743.12066315,1239743.12066315,1239743.12066315,1239743.12066315,1239743.12066315
"Total Number Increase","Juvenile Combined",1389258.22214358,NA,1389258.22214358,1389258.22214358,1389258.22214358,1389258.22214358,1389258.22214358
"Total Number Increase","Adult Female",1418566.55747416,NA,1418566.55747416,1418566.55747416,1418566.55747416,1418566.55747416,1418566.55747416
"Total Number Increase","Adult Male",2861751.16666669,NA,2861751.16666669,2861751.16666669,2861751.16666669,2861751.16666669,2861751.16666669
"Total Mortality","Overall",3503842.68405256,NA,3503842.68405256,3503842.68405256,3503842.68405256,3503842.68405256,3503842.68405256
"Total Mortality","Neonatal Female",1003129.19233763,NA,1003129.19233763,1003129.19233763,1003129.19233763,1003129.19233763,1003129.19233763
"Total Mortality","Neonatal Male",1003063.5861476,NA,1003063.5861476,1003063.5861476,1003063.5861476,1003063.5861476,1003063.5861476
"Total Mortality","Neonatal Combined",2006192.77848523,NA,2006192.77848523,2006192.77848523,2006192.77848523,2006192.77848523,2006192.77848523
"Total Mortality","Juvenile Female",382629.231852873,NA,382629.231852873,382629.231852873,382629.231852873,382629.231852873,382629.231852873
"Total Mortality","Juvenile Male",284146.546003453,NA,284146.546003453,284146.546003453,284146.546003453,284146.546003453,284146.546003453
"Total Mortality","Juvenile Combined",666775.777856326,NA,666775.777856326,666775.777856326,666775.777856326,666775.777856326,666775.777856326
"Total Mortality","Adult Female",830874.127710999,NA,830874.127710999,830874.127710999,830874.127710999,830874.127710999,830874.127710999
"Total Mortality","Adult Male",0,NA,0,0,0,0,0
"Population Liveweight (kg)","Overall",660797333.017677,NA,660797333.017677,660797333.017677,660797333.017677,660797333.017677,660797333.017677
"Population Liveweight (kg)","Neonatal Female",26251189.8155088,NA,26251189.8155088,26251189.8155088,26251189.8155088,26251189.8155088,26251189.8155088
"Population Liveweight (kg)","Neonatal Male",25360470.3729503,NA,25360470.3729503,25360470.3729503,25360470.3729503,25360470.3729503,25360470.3729503
"Population Liveweight (kg)","Juvenile Female",41914346.3471716,NA,41914346.3471716,41914346.3471716,41914346.3471716,41914346.3471716,41914346.3471716
"Population Liveweight (kg)","Juvenile Male",34045766.0488983,NA,34045766.0488983,34045766.0488983,34045766.0488983,34045766.0488983,34045766.0488983
"Population Liveweight (kg)","Juvenile Combined",75960112.3960698,NA,75960112.3960698,75960112.3960698,75960112.3960698,75960112.3960698,75960112.3960698
"Population Liveweight (kg)","Adult Female",425759255.507733,NA,425759255.507733,425759255.507733,425759255.507733,425759255.507733,425759255.507733
"Population Liveweight (kg)","Adult Male",107466304.925415,NA,107466304.925415,107466304.925415,107466304.925415,107466304.925415,107466304.925415
"Offtake Liveweight (kg)","Overall",113117249.887925,NA,113117249.887925,113117249.887925,113117249.887925,113117249.887925,113117249.887925
"Offtake Liveweight (kg)","Juvenile Female",1626559.24819141,NA,1626559.24819141,1626559.24819141,1626559.24819141,1626559.24819141,1626559.24819141
"Offtake Liveweight (kg)","Juvenile Male",16295681.3734635,NA,16295681.3734635,16295681.3734635,16295681.3734635,16295681.3734635,16295681.3734635
"Offtake Liveweight (kg)","Adult Female",16507811.4398919,NA,16507811.4398919,16507811.4398919,16507811.4398919,16507811.4398919,16507811.4398919
"Offtake Liveweight (kg)","Adult Male",78687197.8263782,NA,78687197.8263782,78687197.8263782,78687197.8263782,78687197.8263782,78687197.8263782
"Meat (kg)","Overall",302231708.142258,NA,302231708.142258,302231708.142258,302231708.142258,302231708.142258,302231708.142258
"Manure","Overall",298391487,NA,298391487,298391487,298391487,298391487,298391487
"Manure","Neonatal Female",79615581,NA,79615581,79615581,79615581,79615581,79615581
"Manure","Neonatal Male",79616076,NA,79616076,79616076,79616076,79616076,79616076
"Manure","Neonatal Combined",159231657,NA,159231657,159231657,159231657,159231657,159231657
"Manure","Juvenile Female",139159830,NA,139159830,139159830,139159830,139159830,139159830
"Manure","Juvenile Male",105825462,NA,105825462,105825462,105825462,105825462,105825462
"Manure","Juvenile Combined",244985292,NA,244985292,244985292,244985292,244985292,244985292
"Manure","Adult Female",1566692991,NA,1566692991,1566692991,1566692991,1566692991,1566692991
"Manure","Adult Male",344775447,NA,344775447,344775447,344775447,344775447,344775447
"Hides","Overall",4674043.37528376,NA,4674043.37528376,4674043.37528376,4674043.37528376,4674043.37528376,4674043.37528376
"Hides","Juvenile Female",268384.149259771,NA,268384.149259771,268384.149259771,268384.149259771,268384.149259771,268384.149259771
"Hides","Juvenile Male",914746.08800174,NA,914746.08800174,914746.08800174,914746.08800174,914746.08800174,914746.08800174
"Hides","Juvenile Combined",1183130.23726151,NA,1183130.23726151,1183130.23726151,1183130.23726151,1183130.23726151,1183130.23726151
"Hides","Adult Female",992890.017188883,NA,992890.017188883,992890.017188883,992890.017188883,992890.017188883,992890.017188883
"Hides","Adult Male",2498023.12083337,NA,2498023.12083337,2498023.12083337,2498023.12083337,2498023.12083337,2498023.12083337
