"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3956599.2675001,NA,3956599.2675001,3956599.2675001,3956599.2675001,3956599.2675001,3956599.2675001
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",81540.0166666679,NA,81540.0166666679,81540.0166666679,81540.0166666679,81540.0166666679,81540.0166666679
"Num Offtake","Juvenile Male",828709.560000016,NA,828709.560000016,828709.560000016,828709.560000016,828709.560000016,828709.560000016
"Num Offtake","Juvenile Combined",910249.576666684,NA,910249.576666684,910249.576666684,910249.576666684,910249.576666684,910249.576666684
"Num Offtake","Adult Female",579177.913333384,NA,579177.913333384,579177.913333384,579177.913333384,579177.913333384,579177.913333384
"Num Offtake","Adult Male",2467171.77750003,NA,2467171.77750003,2467171.77750003,2467171.77750003,2467171.77750003,2467171.77750003
"Cml Pop Growth","Overall",3864993.60197335,NA,3864993.60197335,3864993.60197335,3864993.60197335,3864993.60197335,3864993.60197335
"Cml Pop Growth","Neonatal Female",684743.632496573,NA,684743.632496573,684743.632496573,684743.632496573,684743.632496573,684743.632496573
"Cml Pop Growth","Neonatal Male",684743.632496573,NA,684743.632496573,684743.632496573,684743.632496573,684743.632496573,684743.632496573
"Cml Pop Growth","Neonatal Combined",1369487.26499315,NA,1369487.26499315,1369487.26499315,1369487.26499315,1369487.26499315,1369487.26499315
"Cml Pop Growth","Juvenile Female",357408.074557854,NA,357408.074557854,357408.074557854,357408.074557854,357408.074557854,357408.074557854
"Cml Pop Growth","Juvenile Male",720903.373270045,NA,720903.373270045,720903.373270045,720903.373270045,720903.373270045,720903.373270045
"Cml Pop Growth","Juvenile Combined",1078311.4478279,NA,1078311.4478279,1078311.4478279,1078311.4478279,1078311.4478279,1078311.4478279
"Cml Pop Growth","Adult Female",1040977.26676994,NA,1040977.26676994,1040977.26676994,1040977.26676994,1040977.26676994,1040977.26676994
"Cml Pop Growth","Adult Male",376217.622382372,NA,376217.622382372,376217.622382372,376217.622382372,376217.622382372,376217.622382372
"Total Number Increase","Overall",7821592.86947345,NA,7821592.86947345,7821592.86947345,7821592.86947345,7821592.86947345,7821592.86947345
