"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7452338.1415619,30274.756241816,7358404.90702542,7431725.52091829,7452942.75105568,7473089.15419042,7559925.28064875
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",307013.479471666,3992.0465175059,294832.876362414,304231.904302469,306945.458438562,309776.759607808,321233.065280681
"Num Offtake","Juvenile Male",965198.91392239,14767.322450431,921692.345934856,955414.131605194,965525.367108729,975380.435622971,1012805.57196001
"Num Offtake","Juvenile Combined",1272212.39339406,17317.3910117505,1221956.19853001,1260357.47371349,1272499.74451517,1284192.90348808,1327354.88699518
"Num Offtake","Adult Female",2029748.1412867,5453.62845879368,2009801.05345828,2026051.19923723,2029616.41504834,2033280.43909784,2048795.26922204
"Num Offtake","Adult Male",4150377.60688114,12789.1307217079,4109358.48494042,4141744.45965404,4150838.82966073,4159487.79652004,4198730.72772597
"Cml Pop Growth","Overall",-2283552.67835566,324154.957172254,-3318908.92906874,-2497442.93201219,-2283395.48557313,-2064189.47415353,-1023866.14034104
"Cml Pop Growth","Neonatal Female",-463506.397131904,105559.218344471,-806190.808588098,-533580.445200603,-461327.772360054,-393755.08358907,-121073.805336146
"Cml Pop Growth","Neonatal Male",433055.505416062,99081.0707248349,142468.773911029,370661.375870105,432236.953692728,501664.505523982,747343.112660044
"Cml Pop Growth","Neonatal Combined",-30450.8917158422,180550.258799423,-572138.976498135,-149026.050016359,-30708.7684601292,89504.7958810437,566664.429410649
"Cml Pop Growth","Juvenile Female",-412919.329568433,58744.1755216409,-592851.794048677,-453753.43293177,-413163.890964534,-373537.748132714,-195601.426098589
"Cml Pop Growth","Juvenile Male",85616.4772586337,48217.9441134006,-63761.311835655,54720.2896007776,85442.7917100746,118699.448711943,258154.003970482
"Cml Pop Growth","Juvenile Combined",-327302.852309799,94969.9941222214,-615599.375057748,-386760.73543112,-329052.732580599,-263423.914100053,41195.2240468701
"Cml Pop Growth","Adult Female",-416769.762065843,90537.3629888572,-714776.068031255,-475094.122123122,-415023.935735652,-360321.551760091,-84387.9065820184
"Cml Pop Growth","Adult Male",-1509029.17226418,38855.9225905174,-1629661.93444783,-1535081.55726803,-1508287.86519043,-1482051.54845222,-1370855.09367911
