"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7453934.92383198,30913.6797122739,7366042.10351504,7433839.86283441,7454072.5049617,7474462.70772177,7540489.58808445
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",307331.976154181,3978.75266123578,295664.653746836,304716.551855743,307426.900074145,310034.159562414,318730.748557751
"Num Offtake","Juvenile Male",966591.551099152,15205.4672973976,913626.002855652,955963.401870232,966940.022287123,976722.957233123,1012702.88228971
"Num Offtake","Juvenile Combined",1273923.52725333,17653.6933444605,1215156.28976354,1261976.52618053,1274183.24514396,1285952.93324962,1327677.54611208
"Num Offtake","Adult Female",2029266.96602208,5504.826823505,2009319.10986884,2025384.71114453,2029348.51800708,2032927.5329997,2047548.70390304
"Num Offtake","Adult Male",4150744.43055657,13175.0053404398,4102511.54674932,4141932.91572965,4150831.43739253,4159666.00867212,4189890.86995874
"Cml Pop Growth","Overall",-2268422.04484116,318153.6256506,-3218918.33718982,-2478053.24882485,-2261844.34209853,-2064030.7854508,-1165507.34153549
"Cml Pop Growth","Neonatal Female",-458959.006082499,101192.310686866,-750161.085147562,-524924.429311441,-459439.299828456,-387094.408452941,-168973.139112484
"Cml Pop Growth","Neonatal Male",438251.882287693,101519.606806256,127278.30743698,370789.452623362,439616.471143198,505634.449734465,830921.693514127
"Cml Pop Growth","Neonatal Combined",-20707.1237948059,178115.76619466,-566492.989421583,-135507.119909087,-21759.7718481047,95423.3123557186,623738.252989361
"Cml Pop Growth","Juvenile Female",-407886.791705251,59352.178779164,-603144.060234688,-446767.197810859,-407017.317044256,-368167.302147272,-229561.444220983
"Cml Pop Growth","Juvenile Male",89885.2682745792,48983.7331904965,-76588.2179139969,57867.535704868,90408.9049005101,121690.181742902,262504.193434613
"Cml Pop Growth","Juvenile Combined",-318001.523430672,95175.2083767783,-639858.615300823,-382892.380794154,-316859.435437473,-255880.559408427,-2633.76659106254
"Cml Pop Growth","Adult Female",-423615.982200615,87451.1817732265,-704764.177746523,-480773.718975126,-424798.728777033,-366130.524672813,-157953.319389978
"Cml Pop Growth","Adult Male",-1506097.41541507,40288.6940646504,-1630283.58184969,-1533255.5633776,-1505368.99302029,-1478068.4922828,-1390062.33476437
"Total Number Increase","Overall",5185512.87899082,338837.559270664,4147123.76632522,4964511.24901398,5192226.06540762,5398471.83360037,6341624.82627584
"Total Number Increase","Neonatal Female",-458959.006082499,101192.310686866,-750161.085147562,-524924.429311441,-459439.299828456,-387094.408452941,-168973.139112484
"Total Number Increase","Neonatal Male",438251.882287693,101519.606806256,127278.30743698,370789.452623362,439616.471143198,505634.449734465,830921.693514127
"Total Number Increase","Neonatal Combined",-20707.1237948059,178115.76619466,-566492.989421583,-135507.119909087,-21759.7718481047,95423.3123557186,623738.252989361
"Total Number Increase","Juvenile Female",-100554.81555107,62611.8473418795,-305721.007684909,-141932.371112694,-98952.8274757652,-58692.3742355278,84706.0960101128
"Total Number Increase","Juvenile Male",1056476.81937373,61426.5112927417,848749.06916934,1012874.73733278,1058076.98053389,1096202.76845344,1267581.74465741
"Total Number Increase","Juvenile Combined",955922.003822661,109158.069440518,588035.556452175,882474.980102839,955190.800181585,1026559.4435672,1300848.80960607
"Total Number Increase","Adult Female",1605650.98382147,92045.5652478174,1306385.21481659,1545009.12407878,1603894.02145895,1667182.48144417,1888923.24668692
