"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7459172.94597724,38165.7449155851,7418536.47387304,7435739.46653119,7455264.41437318,7467565.47972909,7552476.58296645
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",307891.424984452,4550.28407781428,303522.097472959,305944.45319975,306963.004892326,308408.37369801,319680.604378621
"Num Offtake","Juvenile Male",965743.493789922,18571.4091528384,937173.326470516,957931.100809177,964105.008398375,971791.932410809,1007449.58288423
"Num Offtake","Juvenile Combined",1273634.91877437,21843.9142116385,1246417.33496553,1262838.62451797,1268992.78172945,1279136.98162082,1327130.18726285
"Num Offtake","Adult Female",2031619.37558293,6735.66040296457,2022398.17016562,2026538.55673234,2030360.72135293,2038256.09462544,2040668.46725233
"Num Offtake","Adult Male",4153918.65161993,15177.4844021408,4133763.40077175,4143877.24137107,4152620.21036403,4160804.35217492,4186701.66061982
"Cml Pop Growth","Overall",-2312257.78639554,457928.795176991,-2843020.92161754,-2516194.72013261,-2388046.85653497,-2243923.51739521,-1183821.75110314
"Cml Pop Growth","Neonatal Female",-465973.883125591,127183.104958764,-589939.216741714,-563317.882039797,-486759.925999279,-433058.654865572,-166361.666188283
"Cml Pop Growth","Neonatal Male",398870.05779603,117564.348001463,182816.457573495,343649.214623114,391174.791118009,416768.1091191,601074.409068658
"Cml Pop Growth","Neonatal Combined",-67103.8253295616,219803.348939817,-346899.924335555,-169888.135027864,-119158.989599884,-8810.74359942239,434712.742880375
"Cml Pop Growth","Juvenile Female",-421872.816527228,77349.937323491,-512509.281214413,-454951.483868149,-435804.314365434,-405541.33065278,-227615.933575443
"Cml Pop Growth","Juvenile Male",74913.7845398603,65830.232271943,-49759.2907386695,54170.1203949453,74478.1899920242,95002.9947439802,191645.869139019
"Cml Pop Growth","Juvenile Combined",-346959.031987367,126044.834722423,-460871.620091228,-433394.778383818,-378419.164077648,-312786.052671451,-35970.0644364245
"Cml Pop Growth","Adult Female",-390602.603892659,103574.743919123,-485235.583499167,-473835.404749916,-430516.250470981,-318348.184923529,-173653.77891605
"Cml Pop Growth","Adult Male",-1507592.32518595,45383.1795560242,-1567071.01357081,-1528123.97665202,-1511474.80754035,-1488806.32602471,-1408910.65063104
"Total Number Increase","Overall",5146915.1595817,492986.006728687,4583392.14953906,4915645.16501512,5066219.08508924,5220723.31347589,6368654.83186331
