"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7450854.91941305,30644.2691740669,7361083.852015,7430456.80972833,7451718.66549001,7471851.59513516,7548539.36242572
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",306856.370552044,3838.1832698227,294934.334420419,304179.902053164,307008.300000891,309478.727287708,318822.457144292
"Num Offtake","Juvenile Male",964893.248188712,15223.4060216157,922225.787352604,953522.847138065,965432.834721717,975457.312864915,1008061.83536644
"Num Offtake","Juvenile Combined",1271749.61874076,17631.7478673068,1223682.79813124,1258800.04387278,1272233.11452839,1283923.87806198,1321040.24011344
"Num Offtake","Adult Female",2029835.95811972,5466.40325298622,2011651.2325526,2026010.090438,2029946.02584324,2033637.91294867,2047702.39852432
"Num Offtake","Adult Male",4149269.34255257,12842.6374044802,4110085.62716308,4141156.26136181,4149332.12600311,4158208.40540982,4188991.18867415
"Cml Pop Growth","Overall",-2296117.16538244,308822.348230994,-3374378.49253008,-2498155.27921668,-2290185.80013464,-2092040.67519476,-1542518.76805763
"Cml Pop Growth","Neonatal Female",-466046.436565375,101183.391821885,-815476.843874307,-534221.850479303,-469668.698513658,-397365.66505844,-179643.400836812
"Cml Pop Growth","Neonatal Male",429609.052117951,99567.2734386427,104375.173100468,364503.761373985,431113.295328822,496230.606721917,751979.996973809
"Cml Pop Growth","Neonatal Combined",-36437.384447424,175076.275952125,-711101.670773839,-149325.890053636,-36291.6408643611,78558.2042381078,418894.85112943
"Cml Pop Growth","Juvenile Female",-414674.481505121,56261.4985786027,-583892.583862509,-452877.611731966,-412329.559083565,-377639.239671137,-255757.41723948
"Cml Pop Growth","Juvenile Male",84254.0430508202,49082.0650423361,-53390.2747370496,49632.1177592803,84579.1875761414,118716.19318188,229322.273569744
"Cml Pop Growth","Juvenile Combined",-330420.438454301,92017.7396811626,-606227.802061258,-393802.800128361,-330813.684341204,-268627.920385373,-72096.4364732618
"Cml Pop Growth","Adult Female",-417741.055864116,88004.8184648783,-743836.837733757,-479097.21257899,-416982.56333813,-354982.740502773,-106874.851871924
"Cml Pop Growth","Adult Male",-1511518.2866166,39199.7412304547,-1627716.95868766,-1539906.7168428,-1509166.07885613,-1483942.44162023,-1397949.54660862
"Total Number Increase","Overall",5154737.75403061,328941.689906777,4057890.029451,4937769.69027248,5162210.66501975,5370569.40169032,5965204.38247177
"Total Number Increase","Neonatal Female",-466046.436565375,101183.391821885,-815476.843874307,-534221.850479303,-469668.698513658,-397365.66505844,-179643.400836812
"Total Number Increase","Neonatal Male",429609.052117951,99567.2734386427,104375.173100468,364503.761373985,431113.295328822,496230.606721917,751979.996973809
"Total Number Increase","Neonatal Combined",-36437.384447424,175076.275952125,-711101.670773839,-149325.890053636,-36291.6408643611,78558.2042381078,418894.85112943
"Total Number Increase","Juvenile Female",-107818.110953078,59334.77833897,-284730.861352442,-148312.40972216,-105233.643340072,-69956.9162642109,63065.0399048123
"Total Number Increase","Juvenile Male",1049147.29123953,61263.7664605232,895200.341399232,1005392.17818243,1049376.47448332,1092290.16184818,1237190.47064181
"Total Number Increase","Juvenile Combined",941329.180286455,105728.481733216,645782.736297114,866590.361437962,942609.672277248,1013216.74805026,1229486.30331807
"Total Number Increase","Adult Female",1612094.9022556,92586.4111253721,1267814.39481884,1548648.43347252,1612549.75641636,1677172.18228046,1940827.54665239
"Total Number Increase","Adult Male",2637751.05593597,50458.2313679127,2500405.27356827,2601278.17856567,2639702.71640612,2672592.58746153,2790569.41242465
"Total Mortality","Overall",5096243.43047658,210826.253392737,4446343.55932467,4956661.93482327,5099258.71087021,5233482.81000749,5695562.23930512
"Total Mortality","Neonatal Female",1185017.75116685,144674.901037059,755358.819514286,1086579.12995903,1183169.3639817,1285126.31012352,1621632.43331519
"Total Mortality","Neonatal Male",1022190.90055735,122708.934094387,666185.387921061,938771.843509357,1021374.45388791,1110737.89376267,1388968.25023444
"Total Mortality","Neonatal Combined",2207208.65172421,198596.203238649,1585437.98023655,2068096.33999382,2203109.36280695,2340574.40217471,2853281.48402258
"Total Mortality","Juvenile Female",660921.41349671,8266.85627346427,635243.181828595,655156.712114507,661248.646155766,666569.566465831,686694.523080014
"Total Mortality","Juvenile Male",428841.443639428,6765.95823182921,409878.127712269,423787.932061362,429081.259876319,433536.583495518,448027.482385086
"Total Mortality","Juvenile Combined",1089762.85713614,13257.5254264913,1054339.29328541,1080209.74092378,1089900.1372629,1098662.80940899,1129763.78304629
"Total Mortality","Adult Female",1373869.80869916,76811.637969204,1092373.16363415,1321124.90189088,1376971.20599478,1424339.42172725,1621912.40652897
"Total Mortality","Adult Male",425402.112917079,18937.2634839034,368253.388021274,413267.413022774,424668.671999396,438442.342058405,481881.424370319
"Population Liveweight (kg)","Overall",581282038.645492,10082087.2004206,553542421.345969,574443363.298622,581408154.225218,588086599.729683,611781824.118222
"Population Liveweight (kg)","Neonatal Female",21827354.1118733,3216373.87783271,11865713.2868045,19773116.0808062,21758779.1082294,23845073.2273694,32115060.3956762
"Population Liveweight (kg)","Neonatal Male",21185713.4188497,3178624.5248847,12003351.3498761,19113925.9879129,21013817.9156201,23404440.8351629,32166279.1032365
"Population Liveweight (kg)","Juvenile Female",27695611.2635486,5704208.51044133,10241022.6330081,23663787.4720449,27410368.0805541,31455338.2653808,46394490.0499899
"Population Liveweight (kg)","Juvenile Male",24403205.5106031,4181188.4981933,12714671.3854681,21622395.8062072,24420302.5567372,27351212.6231427,38020402.4155381
"Population Liveweight (kg)","Juvenile Combined",52098816.7741518,7178686.11151186,30466387.6326108,47171959.5803955,51792640.9062008,57136981.5575256,73052925.696099
"Population Liveweight (kg)","Adult Female",384651235.089728,3840193.18238546,373782537.587174,382045129.201898,384629114.785792,387271013.366811,397621180.121509
"Population Liveweight (kg)","Adult Male",101518919.250889,1265608.41154398,97423129.0596086,100662646.957383,101505298.925449,102367291.335283,105024900.380925
"Offtake Liveweight (kg)","Overall",173673920.848712,2958209.88289466,163204354.705842,171671939.647347,173615485.897123,175644922.648761,182833296.97506
"Offtake Liveweight (kg)","Juvenile Female",4033697.93540862,793226.809565142,1297330.74269618,3475356.95661776,4049657.48559586,4566813.03014238,6130659.47776609
"Offtake Liveweight (kg)","Juvenile Male",14564677.0907439,2609047.22117234,5936650.1494571,12854116.5836549,14544004.3781399,16387452.137404,22932358.8699981
"Offtake Liveweight (kg)","Adult Female",50952715.2452536,444278.382863986,49377097.4970354,50658906.6595167,50968408.2982852,51234110.0073508,52405649.9090373
"Offtake Liveweight (kg)","Adult Male",104122830.577306,890899.927946914,100966360.193908,103552373.983,104097082.30584,104725449.263164,107153940.932418
"Meat (kg)","Overall",488799027.559277,2664747.08519619,479169565.37042,487035330.200758,488805330.39536,490396276.808965,497583596.836148
"Manure","Overall",1044100234.79681,28903039.9388985,949969383.61257,1025347753.84569,1043381841.28891,1063492933.29503,1135967676.16668
"Manure","Neonatal Female",93875830.7329129,5054444.50036064,78353381.2820507,90628349.4666625,93571523.3452886,97256960.8305112,109835133.782749
"Manure","Neonatal Male",83286566.5461807,4155319.79281044,69058394.8383063,80237473.6981557,83331089.390731,86122294.7108338,95220833.2184981
"Manure","Neonatal Combined",177162397.279094,6878061.8327262,157040833.225077,172074313.632528,177186766.959508,181714579.862157,201344259.03773
"Manure","Juvenile Female",83950793.5130767,4128669.59613375,71411140.3936889,81251181.3142811,83896407.4711852,86772059.533181,97686173.2968787
"Manure","Juvenile Male",55475229.4973148,2773316.60932285,46771945.4836026,53510053.8359087,55538834.108385,57322663.873658,65519767.8048085
"Manure","Juvenile Combined",139426023.010392,5263704.4383238,123829801.316502,135756912.500345,139547521.366534,143090821.575333,156925664.873555
"Manure","Adult Female",561696375.79347,26077369.1791792,480159318.099107,544104812.295488,561788352.722532,576996989.051242,651483198.439764
"Manure","Adult Male",165815438.713856,7768946.20838847,140654905.86015,160505018.45495,165965449.038012,171010838.14192,189910301.782699
"Hides","Overall",1444517.38937619,39865.9095667964,1291989.11211449,1417986.8227338,1443768.98799785,1472690.5806394,1585941.00356378
"Hides","Juvenile Female",330460.706748355,4133.42813673213,317621.590914298,327578.356057253,330624.323077883,333284.783232916,343347.261540007
"Hides","Juvenile Male",214420.721819714,3382.9791159146,204939.063856134,211893.966030681,214540.629938159,216768.291747759,224013.741192543
"Hides","Juvenile Combined",544881.428568069,6628.76271324564,527169.646642706,540104.870461891,544950.068631448,549331.404704497,564881.891523145
"Hides","Adult Female",686934.904349581,38405.818984602,546186.581817073,660562.450945442,688485.602997388,712169.710863626,810956.203264487
"Hides","Adult Male",212701.05645854,9468.63174195171,184126.694010637,206633.706511387,212334.335999698,219221.171029202,240940.71218516
"Milk","Overall",101354198.414239,1605815.96883246,95562216.7567414,100353924.97044,101435844.812292,102472655.950542,105872693.311311
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2389077162.85966,59444551.9970356,2195337492.82886,2350407024.40147,2388104432.53985,2428100390.20262,2629461879.72622
"Cml Dry Matter","Neonatal Female",214798425.268899,10422604.1598746,177585075.601682,207880199.849454,214662833.344659,221693967.830744,243799944.550273
"Cml Dry Matter","Neonatal Male",190685030.505957,9673995.0925924,156477868.239707,184229802.487352,190481316.864365,196952493.627147,223390615.239731
"Cml Dry Matter","Neonatal Combined",405483455.774856,15192051.1162295,358104066.080435,396016849.7543,405088389.689044,415848101.925714,451069490.008563
"Cml Dry Matter","Juvenile Female",192289821.038081,8633238.55581693,168937326.309454,186026110.119153,191918034.630239,198460256.86544,218274290.271332
"Cml Dry Matter","Juvenile Male",127112092.244883,5750440.44641513,111605932.465114,123406188.632365,127126452.797532,130836271.581692,144308243.452789
"Cml Dry Matter","Juvenile Combined",319401913.282964,10528656.6045707,288438324.947031,312132960.791707,318782157.897661,326974166.947801,355230212.451155
"Cml Dry Matter","Adult Female",1285710292.62305,53324448.0181879,1119153756.8148,1248762236.07626,1284832622.79656,1321062579.03566,1508829447.24043
"Cml Dry Matter","Adult Male",378481501.17878,15923969.8900843,330713022.80028,367778236.035764,378085371.496377,389243879.813466,426944491.981181
"Value of Offtake","Overall",23816262524.6771,2459244442.4202,17158336672.8125,21987730390.5467,23849912975.4022,25715969494.2097,30014721360.6676
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",526980421.525009,77176636.0574555,343723647.451433,469655686.460665,529095226.617684,584992847.375169,721342079.993427
"Value of Offtake","Juvenile Male",2225243390.13244,335313434.450868,1331423129.03758,1976352758.34619,2225388183.3853,2483052765.16312,3080314036.85678
"Value of Offtake","Juvenile Combined",2752223811.65745,346258234.905217,1760637537.59221,2506974537.17859,2754545511.0328,3016783157.45696,3693046286.66114
"Value of Offtake","Adult Female",5374504230.87006,692356424.30931,3773903813.57005,4843146141.99365,5357703232.88511,5863622699.51881,7061318799.19893
"Value of Offtake","Adult Male",15689534482.1496,2341131594.70565,10210227269.0801,13874059467.2142,15717988332.9433,17477942445.0792,21587875238.9285
"Value of Herd Increase","Overall",-7363771022.80038,1041609163.89211,-10804160576.745,-8074214071.18505,-7350314711.80806,-6609291371.52157,-4452306086.18901
"Value of Herd Increase","Neonatal Female",-527995262.926113,124475469.731047,-918629515.099751,-607717634.28668,-522763344.58252,-444598844.39398,-211559145.002203
"Value of Herd Increase","Neonatal Male",484840712.794829,118491173.950725,123961434.958231,407541232.453625,482390073.794953,562142485.60179,816210834.363156
"Value of Herd Increase","Neonatal Combined",-43154550.1312837,207959803.963491,-762720290.759152,-175564008.851257,-41484760.7151923,90596506.471333,502086985.940055
"Value of Herd Increase","Juvenile Female",-703929617.314577,143473077.301532,-1144960856.25604,-801860447.578509,-692083931.93848,-594289633.793438,-341863245.867217
"Value of Herd Increase","Juvenile Male",194218751.153821,117405403.646648,-109169042.002167,111234029.624762,190125907.633557,272609980.133578,626493218.986844
"Value of Herd Increase","Juvenile Combined",-509710866.160756,212210740.6182,-1193189188.93104,-659457857.431482,-496961035.478965,-365479125.130882,25972740.9984751
"Value of Herd Increase","Adult Female",-1102002009.15748,274088005.662529,-2013231599.71037,-1278686014.04619,-1088939248.17671,-907246455.345552,-300028787.970938
"Value of Herd Increase","Adult Male",-5708903597.35086,838130316.993456,-8057675743.68639,-6324542724.81196,-5680138335.86902,-5118653023.07322,-3651629400.51405
"Value of Herd Increase plus Offtake","Overall",16452491501.8767,2658762987.94185,8737034993.27325,14642754392.6147,16484752869.6947,18354399278.8453,23874318316.8363
"Value of Herd Increase plus Offtake","Neonatal Female",-527995262.926113,124475469.731047,-918629515.099751,-607717634.28668,-522763344.58252,-444598844.39398,-211559145.002203
"Value of Herd Increase plus Offtake","Neonatal Male",484840712.794829,118491173.950725,123961434.958231,407541232.453625,482390073.794953,562142485.60179,816210834.363156
"Value of Herd Increase plus Offtake","Neonatal Combined",-43154550.1312837,207959803.963491,-762720290.759152,-175564008.851257,-41484760.7151923,90596506.471333,502086985.940055
"Value of Herd Increase plus Offtake","Juvenile Female",-176949195.789568,165516735.926247,-624447610.392041,-292594668.325531,-169672026.550901,-60279555.3149344,292182343.154929
"Value of Herd Increase plus Offtake","Juvenile Male",2419462141.28626,364325278.097714,1408897361.7198,2162437128.12355,2423783426.27734,2683431267.2352,3546541880.41483
"Value of Herd Increase plus Offtake","Juvenile Combined",2242512945.4967,424539047.254022,1076274641.40721,1939634970.09956,2249386039.06995,2552621332.34775,3552076103.63772
"Value of Herd Increase plus Offtake","Adult Female",4272502221.71258,754710850.883651,2383679307.05774,3725447735.26848,4266015929.43564,4796896395.69825,6518724230.0264
"Value of Herd Increase plus Offtake","Adult Male",9980630884.79873,2451918316.76824,3213184652.60033,8066884435.45267,9960296340.93685,11778454544.4159,16379758300.8308
"Value of Manure","Overall",522050117.398406,14451519.9694492,474984691.806285,512673876.922846,521690920.644453,531746466.647513,567983838.083341
"Value of Manure","Neonatal Female",46937915.3664564,2527222.25018032,39176690.6410253,45314174.7333313,46785761.6726443,48628480.4152556,54917566.8913747
"Value of Manure","Neonatal Male",41643283.2730903,2077659.89640522,34529197.4191531,40118736.8490778,41665544.6953655,43061147.3554169,47610416.6092491
"Value of Manure","Neonatal Combined",88581198.6395468,3439030.9163631,78520416.6125387,86037156.8162638,88593383.4797542,90857289.9310784,100672129.518865
"Value of Manure","Juvenile Female",41975396.7565383,2064334.79806688,35705570.1968445,40625590.6571406,41948203.7355926,43386029.7665905,48843086.6484394
"Value of Manure","Juvenile Male",27737614.7486574,1386658.30466142,23385972.7418013,26755026.9179544,27769417.0541925,28661331.936829,32759883.9024043
"Value of Manure","Juvenile Combined",69713011.5051958,2631852.2191619,61914900.6582511,67878456.2501726,69773760.6832668,71545410.7876663,78462832.4367776
"Value of Manure","Adult Female",280848187.896735,13038684.5895896,240079659.049553,272052406.147744,280894176.361266,288498494.525621,325741599.219882
"Value of Manure","Adult Male",82907719.3569282,3884473.10419423,70327452.9300748,80252509.2274749,82982724.519006,85505419.0709599,94955150.8913497
"Value of Hides","Overall",28890347.7875238,797318.191335928,25839782.2422898,28359736.454676,28875379.759957,29453811.6127881,31718820.0712757
"Value of Hides","Juvenile Female",6609214.1349671,82668.5627346427,6352431.81828595,6551567.12114506,6612486.46155766,6665695.66465831,6866945.23080014
"Value of Hides","Juvenile Male",4288414.43639428,67659.5823182921,4098781.27712269,4237879.32061362,4290812.59876319,4335365.83495518,4480274.82385086
"Value of Hides","Juvenile Combined",10897628.5713614,132575.254264913,10543392.9328541,10802097.4092378,10899001.3726289,10986628.0940899,11297637.8304629
"Value of Hides","Adult Female",13738698.0869916,768116.37969204,10923731.6363415,13211249.0189088,13769712.0599478,14243394.2172725,16219124.0652897
"Value of Hides","Adult Male",4254021.12917079,189372.634839034,3682533.88021274,4132674.13022774,4246686.71999396,4384423.42058405,4818814.24370319
"Value of Milk","Overall",1013541984.14239,16058159.6883246,955622167.567414,1003539249.7044,1014358448.12292,1024726559.50542,1058726933.11311
"Total Production Value","Overall",18016973951.205,2660248472.89948,10283493394.1607,16193419017.829,18050728333.5436,19918453587.9082,25451236488.0986
"Total Production Value","Neonatal Female",-481057347.559656,125142280.951338,-875033686.561592,-560600454.639582,-475305717.645217,-396178557.814842,-163835757.358818
"Total Production Value","Neonatal Male",526483996.067919,119121427.334947,160661576.631768,448206589.270778,524698834.972055,604859625.16204,859792430.867184
"Total Production Value","Neonatal Combined",45426648.5082631,209116598.984201,-680557212.695806,-87440022.254387,47113060.3146298,179802205.76431,594774465.837191
"Total Production Value","Juvenile Female",-128364584.898063,166002565.214265,-574573691.807675,-245572717.934824,-120570486.442252,-12380521.591784,341492945.900311
"Total Production Value","Juvenile Male",2451488170.47132,364559183.515144,1440013583.27445,2194950910.72928,2456913283.71849,2715637980.04989,3579729437.77732
"Total Production Value","Juvenile Combined",2323123585.57325,425198771.110613,1154333460.86553,2020070163.56421,2329522332.01976,2633960030.1544,3636092465.3604
"Total Production Value","Adult Female",5580631091.8387,755909905.505685,3685238097.05779,5035354240.92918,5574141211.02231,6097532385.8648,7821941792.86181
"Total Production Value","Adult Male",10067792625.2848,2451911948.79312,3301874813.28552,8148405840.62458,10049412902.7205,11864635890.6146,16466620516.1619
"Feed Cost","Overall",0,0,0,0,0,0,0
"Feed Cost","Neonatal Female",0,0,0,0,0,0,0
"Feed Cost","Neonatal Male",0,0,0,0,0,0,0
