"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7608127.95459459,42934.7088864524,7451912.13728122,7578350.38730198,7607371.70818278,7639140.65177139,7759065.51296276
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",325380.513071743,4985.08768171278,308358.347421963,321843.108797988,325315.642681034,328840.338062703,341173.908436058
"Num Offtake","Juvenile Male",1047510.80006311,21267.0549053242,964785.688581163,1032839.86879956,1047126.44980979,1063146.10853022,1117736.25591233
"Num Offtake","Juvenile Combined",1372891.31313486,25079.3117897422,1273144.03600313,1355767.77511518,1371731.38010303,1390957.33727755,1458534.65346592
"Num Offtake","Adult Female",2037608.16064041,5736.63615530163,2020889.47239962,2033596.00199106,2037644.9058619,2041558.54046449,2056721.30813779
"Num Offtake","Adult Male",4197628.48081932,16593.6278671651,4146174.34074595,4186236.29410595,4197228.11976406,4209126.25585373,4254926.13795232
"Cml Pop Growth","Overall",-163380.876907796,455805.312598869,-2142289.39484625,-478964.716512536,-172600.944424799,132518.164399894,1362664.8696036
"Cml Pop Growth","Neonatal Female",52864.0267802356,141341.025550209,-460707.725189309,-40650.4834310312,45025.3897282153,145773.459964517,467117.372566994
"Cml Pop Growth","Neonatal Male",953089.258882405,141296.893376071,432656.98949574,862610.709672568,951675.019562128,1044999.35002628,1516707.38921178
"Cml Pop Growth","Neonatal Combined",1005953.28566264,260017.900114777,-2524.08484973898,837193.479095574,1000556.39150081,1172989.92655091,1979953.85032722
"Cml Pop Growth","Juvenile Female",-80555.4824426172,78831.6737032335,-367562.297986227,-132635.726076098,-81141.9465595305,-31321.8277875783,164686.252893637
"Cml Pop Growth","Juvenile Male",378780.418482742,68222.2110755969,105373.711333479,331054.864074258,378486.605268654,426616.063714287,616495.670089972
"Cml Pop Growth","Juvenile Combined",298224.936040125,135472.618430321,-262188.586652748,210455.06596592,295001.547571672,385408.853165307,696050.692910262
"Cml Pop Growth","Adult Female",-164408.500516824,102267.892033796,-439045.784372218,-237110.86377444,-164844.852921179,-95319.9918524097,192440.075587863
"Cml Pop Growth","Adult Male",-1303150.59809374,54518.1956438202,-1508280.66945527,-1339633.41818031,-1305633.30589394,-1265955.33165969,-1127153.62924926
"Total Number Increase","Overall",7444747.07768679,484832.58676006,5309622.74243497,7119669.94070296,7439648.07935148,7750351.86429017,8993872.58138947
"Total Number Increase","Neonatal Female",52864.0267802356,141341.025550209,-460707.725189309,-40650.4834310312,45025.3897282153,145773.459964517,467117.372566994
"Total Number Increase","Neonatal Male",953089.258882405,141296.893376071,432656.98949574,862610.709672568,951675.019562128,1044999.35002628,1516707.38921178
"Total Number Increase","Neonatal Combined",1005953.28566264,260017.900114777,-2524.08484973898,837193.479095574,1000556.39150081,1172989.92655091,1979953.85032722
"Total Number Increase","Juvenile Female",244825.030629125,82875.3480423925,-59203.9505642638,189790.927268102,245588.527892064,296819.133148453,497413.989960046
"Total Number Increase","Juvenile Male",1426291.21854586,85674.0967740803,1070159.39991464,1365361.83018001,1426068.85219825,1484332.42708091,1698752.28869753
"Total Number Increase","Juvenile Combined",1671116.24917498,155382.571521635,1010955.44935038,1568036.29608447,1669072.3865911,1769757.40721848,2129471.0962775
"Total Number Increase","Adult Female",1873199.66012359,107034.232235206,1586841.41827953,1796847.10461288,1872206.56947493,1946532.12357099,2245299.81313636
"Total Number Increase","Adult Male",2894477.88272558,69619.8846378891,2637893.67129068,2847908.47598283,2890798.76946455,2942392.3247965,3127772.50870305
"Total Mortality","Overall",5451630.50814048,220494.746846212,4842247.09162035,5294665.3073109,5457583.29424234,5604735.57947433,6194463.92648076
"Total Mortality","Neonatal Female",1314598.83985303,152419.692323422,898961.591516141,1209713.64035265,1307874.2669059,1417995.5090742,1855743.840959
"Total Mortality","Neonatal Male",1148589.56681269,140560.760641035,761243.272119644,1058101.98019696,1145600.89446981,1245908.7158237,1578837.19537984
"Total Mortality","Neonatal Combined",2463188.40666572,213006.004056311,1937107.22430978,2314966.5488753,2459325.34473009,2606563.62116581,3103048.58925059
"Total Mortality","Juvenile Female",700819.566616061,10737.1119298429,664156.440601152,693200.542026437,700679.845774534,708271.497365821,734836.110477663
"Total Mortality","Juvenile Male",465560.355583606,9452.0244023663,428793.639369406,459039.941688694,465389.533248796,472509.381568986,496771.669294371
"Total Mortality","Juvenile Combined",1166379.92219967,18707.5091281604,1092950.07997056,1153274.08238872,1165888.85037666,1179974.65910446,1230798.9871021
"Total Mortality","Adult Female",1391108.95068919,75295.4980296719,1129613.04762564,1341899.42343466,1391118.20775742,1444027.36332069,1619961.7928189
"Total Mortality","Adult Male",430953.228585894,19637.1487655392,375193.664592869,416654.006232872,430042.121529519,444650.694878007,494184.834807564
"Population Liveweight (kg)","Overall",607479009.967549,12259620.3702727,566125336.485921,599212453.701151,607456303.230744,615319507.138927,643093317.647062
"Population Liveweight (kg)","Neonatal Female",26230654.1526486,4167274.72989688,12783062.8709842,23496168.4961506,26161475.3505492,28826515.9041355,40859687.6728934
"Population Liveweight (kg)","Neonatal Male",25822483.8083646,4098248.12399804,13537014.0683312,23069530.3562896,25663528.2036764,28647734.5682602,39520929.5178874
"Population Liveweight (kg)","Juvenile Female",32632461.0958224,6686145.85800559,9761604.72438792,27884257.3093884,32531180.0612958,36823972.0370649,57267315.5818147
"Population Liveweight (kg)","Juvenile Male",25025026.8875566,5270893.11373298,8012265.69287586,21469031.8791932,24995956.9481838,28518570.5011883,40691393.13604
