"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7705579.30561041,28323.1576402604,7622916.79826436,7686714.85283629,7705116.88960235,7724357.51213769,7811578.63079907
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",328375.1846101,3338.44671753868,317856.341488183,326050.726212689,328387.621948305,330643.856141864,338670.347201055
"Num Offtake","Juvenile Male",1032967.35509344,14094.1890251972,995201.981277784,1023296.55588764,1032799.99320885,1042377.10346991,1080394.14871306
"Num Offtake","Juvenile Combined",1361342.53970354,16876.083506507,1314564.01598402,1349872.82176234,1360683.31529242,1372693.24937942,1416904.04676667
"Num Offtake","Adult Female",2079398.97192749,3192.9785092662,2066401.65064565,2077150.27250097,2079454.28325686,2081614.59098222,2089354.76458436
"Num Offtake","Adult Male",4264837.79397937,10442.9371995478,4235260.46075135,4258117.87923591,4264522.5854223,4271426.82531646,4309207.1882472
"Cml Pop Growth","Overall",84988.4347810583,296638.584372701,-1001538.62551392,-108618.384340817,80005.3370847441,278843.384412676,1115941.71737477
"Cml Pop Growth","Neonatal Female",-148845.100253069,88800.6214912099,-530930.378004128,-207135.025179024,-150019.450667024,-88917.2822808997,139183.513992588
"Cml Pop Growth","Neonatal Male",727001.639392008,88606.890733545,408033.117692128,668651.459503065,730628.471467197,784554.929583681,1066015.49673173
"Cml Pop Growth","Neonatal Combined",578156.539138938,167804.141058443,-122897.260312,466269.10093507,583318.835505529,689765.911062484,1191156.83166944
"Cml Pop Growth","Juvenile Female",-90750.993131548,51175.183479494,-274052.431353068,-126553.887113808,-90535.4564097677,-57353.7028349643,70575.5335483756
"Cml Pop Growth","Juvenile Male",313157.679527191,44310.6327114702,177683.507813417,282927.625920926,313905.710969551,344575.583250147,442365.812354197
"Cml Pop Growth","Juvenile Combined",222406.686395643,90291.5971275372,-96368.9235396513,160088.6591938,222690.780412533,281630.14569764,492331.078048197
"Cml Pop Growth","Adult Female",487553.181950285,59880.2122004821,295331.407034623,448559.089606795,486324.52045307,528910.859344328,662013.411019778
"Cml Pop Growth","Adult Male",-1203127.97270381,35382.9641627827,-1301397.81248405,-1226867.28130769,-1203901.80714304,-1179715.71374543,-1082871.28235644
"Total Number Increase","Overall",7790567.74039147,316401.34471134,6673033.98659923,7580325.15136359,7776225.33630498,8000235.024975,8854711.00365068
"Total Number Increase","Neonatal Female",-148845.100253069,88800.6214912099,-530930.378004128,-207135.025179024,-150019.450667024,-88917.2822808997,139183.513992588
"Total Number Increase","Neonatal Male",727001.639392008,88606.890733545,408033.117692128,668651.459503065,730628.471467197,784554.929583681,1066015.49673173
"Total Number Increase","Neonatal Combined",578156.539138938,167804.141058443,-122897.260312,466269.10093507,583318.835505529,689765.911062484,1191156.83166944
"Total Number Increase","Juvenile Female",237624.191478552,53943.8310153081,46945.9343633354,200909.656852486,238097.723855991,272496.845937298,409245.880749431
"Total Number Increase","Juvenile Male",1346125.03462064,56093.9196482237,1187154.41006013,1308244.64808001,1344721.17424028,1384485.17971715,1510116.29304698
"Total Number Increase","Juvenile Combined",1583749.22609919,104101.140015969,1234100.34442346,1515226.93891578,1582993.43241094,1654420.10480397,1886336.12996936
"Total Number Increase","Adult Female",2566952.15387778,62590.6800854789,2363410.52357354,2525672.53888291,2565976.38136721,2609614.00027895,2750534.34029462
"Total Number Increase","Adult Male",3061709.82127557,45086.0932970442,2935199.53811361,3033023.22851748,3059712.18773931,3090230.86635467,3226335.90589076
"Total Mortality","Overall",2691788.767871,115102.211417348,2357549.27040375,2613572.40551948,2695171.02321063,2768437.92932419,3069818.04740451
"Total Mortality","Neonatal Female",635470.47091706,81033.8566788013,376005.462358814,578474.861394181,636846.253052351,689825.076140778,895409.778251536
"Total Mortality","Neonatal Male",547873.873530877,70742.4639659847,359531.533780107,500490.786205244,545562.51048377,596820.218583364,768643.743993262
"Total Mortality","Neonatal Combined",1183344.34444794,107282.940854876,864163.922715274,1108028.38731338,1186296.19401411,1260449.0991896,1500567.85037783
"Total Mortality","Juvenile Female",353634.814195492,3595.2503111955,342306.829294967,351131.551305973,353648.20825202,356077.998922007,364721.912370367
"Total Mortality","Juvenile Male",229548.301131877,3132.04200559938,221155.995839508,227399.234641699,229511.109601968,231639.356326646,240087.588602903
"Total Mortality","Juvenile Combined",583183.115327368,6378.62174671525,564151.270426344,578857.90366706,583095.923189893,587455.444763304,602482.863429865
"Total Mortality","Adult Female",707709.684630172,38662.9220836993,584685.769425838,680672.089929809,708456.426808732,734587.055153979,830273.015665413
"Total Mortality","Adult Male",217551.623465526,10000.8817920529,191827.112340617,211129.200246393,217472.757193816,224173.396544523,247913.808258913
"Population Liveweight (kg)","Overall",621124531.488747,11139820.5991675,590033833.015973,613908566.99586,621139447.439737,628325806.064695,652433805.998139
"Population Liveweight (kg)","Neonatal Female",24532444.7937766,3662575.76229405,10400594.4844636,22213356.5265372,24424595.4977739,26980088.0587147,36168322.7738606
"Population Liveweight (kg)","Neonatal Male",23806006.483032,3592551.841481,12361218.5175282,21193729.4897026,23871559.6921995,26139141.4803131,35153944.8232365
"Population Liveweight (kg)","Juvenile Female",31902291.2464579,6307071.32468667,10576817.1714701,27787756.9874773,31931356.8555889,36188206.9306899,53348573.121448
"Population Liveweight (kg)","Juvenile Male",24095074.3786959,4998968.87170855,7596892.85308559,20639921.1439291,24086269.752133,27357048.6787059,39710164.8372696
"Population Liveweight (kg)","Juvenile Combined",55997365.6251538,8336778.32705486,34391020.2185994,50260202.324955,55841485.1677256,61415773.2339641,80923781.0223699
"Population Liveweight (kg)","Adult Female",407541345.609767,3612914.74497906,396606376.638705,405102245.765855,407442021.866062,410078761.571811,417842444.939442
"Population Liveweight (kg)","Adult Male",109247368.977019,1267667.40563677,105188151.965266,108388733.925867,109251057.220275,110071383.432907,113717938.926078
"Offtake Liveweight (kg)","Overall",177063960.140729,3151276.15878095,165980339.95302,174962176.438313,177042740.722444,179146240.679499,186528187.240375
"Offtake Liveweight (kg)","Juvenile Female",4216447.63363307,830326.41673051,1746619.58809181,3656085.80636151,4245634.02700408,4783591.15546238,6812641.55009132
"Offtake Liveweight (kg)","Juvenile Male",13551212.7534222,2793065.77113819,4456022.35952245,11677859.2030562,13704087.6771608,15332642.1455337,21472334.8601145
"Offtake Liveweight (kg)","Adult Female",52205394.236176,412839.809304498,50758777.8593021,51932268.5190005,52199702.9457889,52490293.4946546,53688753.388072
"Offtake Liveweight (kg)","Adult Male",107090905.517498,905991.488154655,104455961.89275,106464079.620626,107032913.40881,107724422.060266,110690794.703544
"Meat (kg)","Overall",492897867.096472,2802008.5719796,485175180.45974,491050419.460251,492896718.226842,494754197.834867,501827017.834403
"Manure","Overall",1091804940.74469,29982745.1843517,1001761215.30064,1072471029.77335,1091133002.06548,1112165045.03927,1173677608.0819
"Manure","Neonatal Female",101272031.35952,5251407.00743277,87871761.526305,97755139.3774037,101297759.593677,104859856.81841,120049167.400666
"Manure","Neonatal Male",89661923.574073,4834347.23731507,74988180.7391704,86429787.7397545,89619115.2131125,92965809.5655377,106850387.897272
