"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7592029.25666662,NA,7592029.25666662,7592029.25666662,7592029.25666662,7592029.25666662,7592029.25666662
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",306599.77833334,NA,306599.77833334,306599.77833334,306599.77833334,306599.77833334,306599.77833334
"Num Offtake","Juvenile Male",964186.964999996,NA,964186.964999996,964186.964999996,964186.964999996,964186.964999996,964186.964999996
"Num Offtake","Juvenile Combined",1270786.74333334,NA,1270786.74333334,1270786.74333334,1270786.74333334,1270786.74333334,1270786.74333334
"Num Offtake","Adult Female",2029489.62666669,NA,2029489.62666669,2029489.62666669,2029489.62666669,2029489.62666669,2029489.62666669
"Num Offtake","Adult Male",4291752.88666659,NA,4291752.88666659,4291752.88666659,4291752.88666659,4291752.88666659,4291752.88666659
"Cml Pop Growth","Overall",-2046126.57384317,NA,-2046126.57384317,-2046126.57384317,-2046126.57384317,-2046126.57384317,-2046126.57384317
"Cml Pop Growth","Neonatal Female",-473881.62703467,NA,-473881.62703467,-473881.62703467,-473881.62703467,-473881.62703467,-473881.62703467
"Cml Pop Growth","Neonatal Male",422065.022038354,NA,422065.022038354,422065.022038354,422065.022038354,422065.022038354,422065.022038354
"Cml Pop Growth","Neonatal Combined",-51816.6049963157,NA,-51816.6049963157,-51816.6049963157,-51816.6049963157,-51816.6049963157,-51816.6049963157
"Cml Pop Growth","Juvenile Female",-419493.36500004,NA,-419493.36500004,-419493.36500004,-419493.36500004,-419493.36500004,-419493.36500004
"Cml Pop Growth","Juvenile Male",80512.6616665926,NA,80512.6616665926,80512.6616665926,80512.6616665926,80512.6616665926,80512.6616665926
"Cml Pop Growth","Juvenile Combined",-338980.703333448,NA,-338980.703333448,-338980.703333448,-338980.703333448,-338980.703333448,-338980.703333448
"Cml Pop Growth","Adult Female",-424487.37884685,NA,-424487.37884685,-424487.37884685,-424487.37884685,-424487.37884685,-424487.37884685
"Cml Pop Growth","Adult Male",-1230841.88666656,NA,-1230841.88666656,-1230841.88666656,-1230841.88666656,-1230841.88666656,-1230841.88666656
