"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7978047.4275,NA,7978047.4275,7978047.4275,7978047.4275,7978047.4275,7978047.4275
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",352232.40000001,NA,352232.40000001,352232.40000001,352232.40000001,352232.40000001,352232.40000001
"Num Offtake","Juvenile Male",1108686.7575,NA,1108686.7575,1108686.7575,1108686.7575,1108686.7575,1108686.7575
"Num Offtake","Juvenile Combined",1460919.15750001,NA,1460919.15750001,1460919.15750001,1460919.15750001,1460919.15750001,1460919.15750001
"Num Offtake","Adult Female",2131372.31666673,NA,2131372.31666673,2131372.31666673,2131372.31666673,2131372.31666673,2131372.31666673
"Num Offtake","Adult Male",4385755.95333325,NA,4385755.95333325,4385755.95333325,4385755.95333325,4385755.95333325,4385755.95333325
"Cml Pop Growth","Overall",2792622.46269337,NA,2792622.46269337,2792622.46269337,2792622.46269337,2792622.46269337,2792622.46269337
"Cml Pop Growth","Neonatal Female",234255.315467116,NA,234255.315467116,234255.315467116,234255.315467116,234255.315467116,234255.315467116
"Cml Pop Growth","Neonatal Male",1084317.31546707,NA,1084317.31546707,1084317.31546707,1084317.31546707,1084317.31546707,1084317.31546707
"Cml Pop Growth","Neonatal Combined",1318572.63093418,NA,1318572.63093418,1318572.63093418,1318572.63093418,1318572.63093418,1318572.63093418
"Cml Pop Growth","Juvenile Female",290730.099999954,NA,290730.099999954,290730.099999954,290730.099999954,290730.099999954,290730.099999954
"Cml Pop Growth","Juvenile Male",583533.242499903,NA,583533.242499903,583533.242499903,583533.242499903,583533.242499903,583533.242499903
"Cml Pop Growth","Juvenile Combined",874263.342499857,NA,874263.342499857,874263.342499857,874263.342499857,874263.342499857,874263.342499857
"Cml Pop Growth","Adult Female",1465901.94259258,NA,1465901.94259258,1465901.94259258,1465901.94259258,1465901.94259258,1465901.94259258
"Cml Pop Growth","Adult Male",-866115.453333242,NA,-866115.453333242,-866115.453333242,-866115.453333242,-866115.453333242,-866115.453333242
"Total Number Increase","Overall",10770669.8901934,NA,10770669.8901934,10770669.8901934,10770669.8901934,10770669.8901934,10770669.8901934
"Total Number Increase","Neonatal Female",234255.315467116,NA,234255.315467116,234255.315467116,234255.315467116,234255.315467116,234255.315467116
"Total Number Increase","Neonatal Male",1084317.31546707,NA,1084317.31546707,1084317.31546707,1084317.31546707,1084317.31546707,1084317.31546707
"Total Number Increase","Neonatal Combined",1318572.63093418,NA,1318572.63093418,1318572.63093418,1318572.63093418,1318572.63093418,1318572.63093418
"Total Number Increase","Juvenile Female",642962.499999964,NA,642962.499999964,642962.499999964,642962.499999964,642962.499999964,642962.499999964
"Total Number Increase","Juvenile Male",1692219.99999991,NA,1692219.99999991,1692219.99999991,1692219.99999991,1692219.99999991,1692219.99999991
"Total Number Increase","Juvenile Combined",2335182.49999987,NA,2335182.49999987,2335182.49999987,2335182.49999987,2335182.49999987,2335182.49999987
"Total Number Increase","Adult Female",3597274.25925931,NA,3597274.25925931,3597274.25925931,3597274.25925931,3597274.25925931,3597274.25925931
"Total Number Increase","Adult Male",3519640.50000001,NA,3519640.50000001,3519640.50000001,3519640.50000001,3519640.50000001,3519640.50000001
"Total Mortality","Overall",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Female",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Male",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Female",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Male",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,NA,0,0,0,0,0
"Total Mortality","Adult Female",0,NA,0,0,0,0,0
"Total Mortality","Adult Male",0,NA,0,0,0,0,0
"Population Liveweight (kg)","Overall",679871197.874615,NA,679871197.874615,679871197.874615,679871197.874615,679871197.874615,679871197.874615
"Population Liveweight (kg)","Neonatal Female",27816236.5455706,NA,27816236.5455706,27816236.5455706,27816236.5455706,27816236.5455706,27816236.5455706
"Population Liveweight (kg)","Neonatal Male",26932309.7110354,NA,26932309.7110354,26932309.7110354,26932309.7110354,26932309.7110354,26932309.7110354
"Population Liveweight (kg)","Juvenile Female",47847415.6692582,NA,47847415.6692582,47847415.6692582,47847415.6692582,47847415.6692582,47847415.6692582
"Population Liveweight (kg)","Juvenile Male",27650015.3715626,NA,27650015.3715626,27650015.3715626,27650015.3715626,27650015.3715626,27650015.3715626
"Population Liveweight (kg)","Juvenile Combined",75497431.0408208,NA,75497431.0408208,75497431.0408208,75497431.0408208,75497431.0408208,75497431.0408208
"Population Liveweight (kg)","Adult Female",431925507.222125,NA,431925507.222125,431925507.222125,431925507.222125,431925507.222125,431925507.222125
"Population Liveweight (kg)","Adult Male",117699713.355064,NA,117699713.355064,117699713.355064,117699713.355064,117699713.355064,117699713.355064
"Offtake Liveweight (kg)","Overall",183954588.175424,NA,183954588.175424,183954588.175424,183954588.175424,183954588.175424,183954588.175424
"Offtake Liveweight (kg)","Juvenile Female",5902603.09938419,NA,5902603.09938419,5902603.09938419,5902603.09938419,5902603.09938419,5902603.09938419
"Offtake Liveweight (kg)","Juvenile Male",14475704.1846063,NA,14475704.1846063,14475704.1846063,14475704.1846063,14475704.1846063,14475704.1846063
"Offtake Liveweight (kg)","Adult Female",53499162.6984843,NA,53499162.6984843,53499162.6984843,53499162.6984843,53499162.6984843,53499162.6984843
"Offtake Liveweight (kg)","Adult Male",110077118.19295,NA,110077118.19295,110077118.19295,110077118.19295,110077118.19295,110077118.19295
"Meat (kg)","Overall",506403689.734282,NA,506403689.734282,506403689.734282,506403689.734282,506403689.734282,506403689.734282
"Manure","Overall",404207805.865704,NA,404207805.865704,404207805.865704,404207805.865704,404207805.865704,404207805.865704
"Manure","Neonatal Female",110050756.04397,NA,110050756.04397,110050756.04397,110050756.04397,110050756.04397,110050756.04397
"Manure","Neonatal Male",97273892.153482,NA,97273892.153482,97273892.153482,97273892.153482,97273892.153482,97273892.153482
"Manure","Neonatal Combined",207324648.197452,NA,207324648.197452,207324648.197452,207324648.197452,207324648.197452,207324648.197452
"Manure","Juvenile Female",196883157.668252,NA,196883157.668252,196883157.668252,196883157.668252,196883157.668252,196883157.668252
"Manure","Juvenile Male",130244743.562977,NA,130244743.562977,130244743.562977,130244743.562977,130244743.562977,130244743.562977
"Manure","Juvenile Combined",327127901.231229,NA,327127901.231229,327127901.231229,327127901.231229,327127901.231229,327127901.231229
"Manure","Adult Female",1783735312.79587,NA,1783735312.79587,1783735312.79587,1783735312.79587,1783735312.79587,1783735312.79587
"Manure","Adult Male",530415063.739106,NA,530415063.739106,530415063.739106,530415063.739106,530415063.739106,530415063.739106
"Hides","Overall",7978047.4275,NA,7978047.4275,7978047.4275,7978047.4275,7978047.4275,7978047.4275
"Hides","Juvenile Female",352232.40000001,NA,352232.40000001,352232.40000001,352232.40000001,352232.40000001,352232.40000001
"Hides","Juvenile Male",1108686.7575,NA,1108686.7575,1108686.7575,1108686.7575,1108686.7575,1108686.7575
"Hides","Juvenile Combined",1460919.15750001,NA,1460919.15750001,1460919.15750001,1460919.15750001,1460919.15750001,1460919.15750001
"Hides","Adult Female",2131372.31666673,NA,2131372.31666673,2131372.31666673,2131372.31666673,2131372.31666673,2131372.31666673
"Hides","Adult Male",4385755.95333325,NA,4385755.95333325,4385755.95333325,4385755.95333325,4385755.95333325,4385755.95333325
"Milk","Overall",107373567.270244,NA,107373567.270244,107373567.270244,107373567.270244,107373567.270244,107373567.270244
"Wool","Overall",0,NA,0,0,0,0,0
"Cml Dry Matter","Overall",6157468208.61496,NA,6157468208.61496,6157468208.61496,6157468208.61496,6157468208.61496,6157468208.61496
"Cml Dry Matter","Neonatal Female",250902018.314602,NA,250902018.314602,250902018.314602,250902018.314602,250902018.314602,250902018.314602
"Cml Dry Matter","Neonatal Male",222214528.525503,NA,222214528.525503,222214528.525503,222214528.525503,222214528.525503,222214528.525503
"Cml Dry Matter","Neonatal Combined",473116546.840105,NA,473116546.840105,473116546.840105,473116546.840105,473116546.840105,473116546.840105
"Cml Dry Matter","Juvenile Female",428855429.086874,NA,428855429.086874,428855429.086874,428855429.086874,428855429.086874,428855429.086874
"Cml Dry Matter","Juvenile Male",220999209.555077,NA,220999209.555077,220999209.555077,220999209.555077,220999209.555077,220999209.555077
"Cml Dry Matter","Juvenile Combined",649854638.641951,NA,649854638.641951,649854638.641951,649854638.641951,649854638.641951,649854638.641951
"Cml Dry Matter","Adult Female",3880632134.215,NA,3880632134.215,3880632134.215,3880632134.215,3880632134.215,3880632134.215
"Cml Dry Matter","Adult Male",1153864888.91791,NA,1153864888.91791,1153864888.91791,1153864888.91791,1153864888.91791,1153864888.91791
"Value of Offtake","Overall",36756094920.8462,NA,36756094920.8462,36756094920.8462,36756094920.8462,36756094920.8462,36756094920.8462
"Value of Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Value of Offtake","Juvenile Female",647026541.506963,NA,647026541.506963,647026541.506963,647026541.506963,647026541.506963,647026541.506963
"Value of Offtake","Juvenile Male",2701094022.42594,NA,2701094022.42594,2701094022.42594,2701094022.42594,2701094022.42594,2701094022.42594
"Value of Offtake","Juvenile Combined",3348120563.9329,NA,3348120563.9329,3348120563.9329,3348120563.9329,3348120563.9329,3348120563.9329
"Value of Offtake","Adult Female",7485657703.81048,NA,7485657703.81048,7485657703.81048,7485657703.81048,7485657703.81048,7485657703.81048
"Value of Offtake","Adult Male",25922316653.1029,NA,25922316653.1029,25922316653.1029,25922316653.1029,25922316653.1029,25922316653.1029
