"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7951071.3776792,31427.4404310457,7917228.43723246,7929683.56246683,7947270.63956736,7954762.35216119,8012617.88368759
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",354350.971799767,3865.52424471628,345806.847729428,352752.519944704,354342.113634443,357090.822915836,358797.305399119
"Num Offtake","Juvenile Male",1133105.34079619,17651.7759648546,1117948.87351394,1123452.54510592,1124667.38634611,1136139.57582957,1170526.37590011
"Num Offtake","Juvenile Combined",1487456.31259596,19164.4343019559,1468950.26885755,1474130.46227435,1483311.6649933,1489175.80634649,1526893.94309108
"Num Offtake","Adult Female",2146605.2715344,2332.21776019489,2141339.03862581,2145777.36954194,2146737.61651417,2148286.45690372,2149528.23241778
"Num Offtake","Adult Male",4317009.79354884,11427.4698971825,4300228.6351313,4309867.65596384,4314827.03868859,4320024.40200297,4337990.40125922
"Cml Pop Growth","Overall",2679922.04960034,326059.527528437,2263865.0142586,2402220.76401439,2682600.94039765,2806136.33166687,3269562.65704376
"Cml Pop Growth","Neonatal Female",200772.080214131,104597.933878892,24886.3417555909,123437.355806829,218428.49323299,266761.055385876,377846.285420653
"Cml Pop Growth","Neonatal Male",1058324.06461513,142770.075447579,875990.71945649,959982.692794754,1039442.26199538,1101648.20788774,1311021.83002978
"Cml Pop Growth","Neonatal Combined",1259096.14482926,189952.796388238,993597.781471565,1123233.11380756,1238761.78212352,1395674.36944283,1577644.40336146
"Cml Pop Growth","Juvenile Female",277647.737038731,53817.3119622419,171207.980571419,241789.52540681,290669.758554468,315710.282438108,347365.76365509
"Cml Pop Growth","Juvenile Male",569203.370847355,64108.9775284078,521263.547155757,523838.970040197,544317.875404495,578884.942747439,706308.532239569
"Cml Pop Growth","Juvenile Combined",846851.107886086,92607.3379865503,731648.42911968,771868.545372555,843848.857913056,866931.878003522,1012349.52783911
"Cml Pop Growth","Adult Female",1453166.03066772,48184.5010869854,1347093.95105382,1431551.25148069,1452956.50217837,1485620.71263116,1511174.30812662
"Cml Pop Growth","Adult Male",-879191.233782729,38455.6158560118,-913716.646488539,-902106.862706793,-896467.361619002,-869527.683933896,-798293.245766103
"Total Number Increase","Overall",10630993.4272795,349943.417522697,10183377.4795207,10352947.3393595,10619121.5377624,10738848.185252,11282180.5407313
"Total Number Increase","Neonatal Female",200772.080214131,104597.933878892,24886.3417555909,123437.355806829,218428.49323299,266761.055385876,377846.285420653
"Total Number Increase","Neonatal Male",1058324.06461513,142770.075447579,875990.71945649,959982.692794754,1039442.26199538,1101648.20788774,1311021.83002978
"Total Number Increase","Juvenile Female",631998.708838498,57334.7011749684,517014.828300848,595007.016204075,646425.7486514,671272.192416996,706163.069054209
"Total Number Increase","Juvenile Male",1702308.71164355,80259.6606760387,1639212.4206697,1649881.68287361,1668500.12498935,1703353.69834943,1876834.90813968
"Total Number Increase","Adult Female",3599771.30220212,50496.8752486378,3488432.98967962,3577165.09363557,3599694.11869254,3633907.16953488,3660702.5405444
"Total Number Increase","Adult Male",3437818.55976612,49564.1521597362,3386511.98864276,3408428.82480157,3417023.61398056,3450496.71806907,3539697.15549312
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
