"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7520357.31769781,29780.5540824377,7425366.34393614,7500291.94857586,7518769.3906323,7539759.76022626,7614501.089065
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",306827.002474399,3808.26306350439,294580.425382499,304282.138709645,306762.001229749,309534.600122314,320001.91293206
"Num Offtake","Juvenile Male",964927.776813421,15219.428344561,912545.196821903,954226.884651197,964610.694411646,975490.601564563,1011415.73514565
"Num Offtake","Juvenile Combined",1271754.77928782,17497.2128403357,1211621.24124931,1259733.58185468,1271455.92325042,1283773.31697575,1327929.34374289
"Num Offtake","Adult Female",2028972.5519357,5414.90073749271,2012044.52135163,2025363.84274513,2028794.98004691,2032468.02509003,2046888.46425869
"Num Offtake","Adult Male",4219629.98647429,11206.0071206478,4187975.49734359,4212022.35613029,4219322.23115287,4227035.23426332,4252996.03316276
"Cml Pop Growth","Overall",-2174484.55940473,311941.953879729,-3077294.84117097,-2389738.27546911,-2176744.89867167,-1967094.65942103,-1252424.4818716
"Cml Pop Growth","Neonatal Female",-467409.294602031,102230.831689712,-795684.719681417,-537581.244702141,-468019.976503008,-396123.347055655,-154276.751365725
"Cml Pop Growth","Neonatal Male",428330.320145128,97178.8458370416,130380.095083068,359824.140607935,428598.924690298,496908.085167507,712452.79121109
"Cml Pop Growth","Neonatal Combined",-39078.9744569032,173437.667929118,-497227.475302463,-159941.215369734,-43364.5175243504,79810.0522847613,454119.063430856
"Cml Pop Growth","Juvenile Female",-416150.824906811,56902.069677368,-602661.510336097,-454959.787435835,-416680.946503303,-377964.281976593,-245537.807053378
"Cml Pop Growth","Juvenile Male",83209.0720852585,48590.9647734062,-81589.0832765822,50299.7671281758,82693.7411099267,117369.597461086,246278.868945111
"Cml Pop Growth","Juvenile Combined",-332941.752821553,92313.9811837514,-639300.531127289,-393239.960132534,-333973.344412431,-271374.298475474,-22386.3235783272
"Cml Pop Growth","Adult Female",-429330.869424412,89300.3746846683,-726371.389872625,-486119.808764989,-429080.645773704,-371443.952370223,-154422.659061927
"Cml Pop Growth","Adult Male",-1373132.96270186,38291.6243968024,-1496370.39585319,-1398110.78397766,-1373992.20714961,-1347683.05167942,-1251950.63169129
"Total Number Increase","Overall",5345872.75829308,332396.121312615,4349461.77757394,5116450.00559271,5345559.80064563,5567148.84581666,6339379.7155655
"Total Number Increase","Neonatal Female",-467409.294602031,102230.831689712,-795684.719681417,-537581.244702141,-468019.976503008,-396123.347055655,-154276.751365725
"Total Number Increase","Neonatal Male",428330.320145128,97178.8458370416,130380.095083068,359824.140607935,428598.924690298,496908.085167507,712452.79121109
"Total Number Increase","Neonatal Combined",-39078.9744569032,173437.667929118,-497227.475302463,-159941.215369734,-43364.5175243504,79810.0522847613,454119.063430856
"Total Number Increase","Juvenile Female",-109323.822432413,60027.9227967771,-305889.267136681,-151015.04224643,-110166.893747476,-68352.2552607563,74464.1058786821
