"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7522255.14239708,31969.7023031085,7416217.02283497,7500615.40957431,7519959.13181557,7545605.96804539,7635420.37826484
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",308539.441459304,4037.31125766093,296181.542384205,305848.629550031,308649.173894102,311401.893817198,318437.04926825
"Num Offtake","Juvenile Male",972626.507035311,16018.9727911349,921041.043367703,961648.908708821,971905.290551316,983800.399795049,1021110.57631094
"Num Offtake","Juvenile Combined",1281165.94849462,18561.4254680814,1223388.22670848,1268776.57950329,1280161.60925626,1294023.08020155,1335441.94255822
"Num Offtake","Adult Female",2087630.43045219,2498.07823558535,2078456.44336228,2086098.32244734,2087671.31176269,2089339.81788299,2094891.37687244
"Num Offtake","Adult Male",4153458.76345027,14038.3207263268,4107820.71594808,4144130.0684851,4153746.70411102,4163028.44199581,4209340.66628198
"Cml Pop Growth","Overall",-1045629.97633569,315602.259089726,-1946506.91711244,-1257162.17021037,-1039826.77429427,-840772.660323302,-156858.861312784
"Cml Pop Growth","Neonatal Female",-361830.553146177,103181.935348697,-682463.161861463,-431949.710705134,-363330.416638744,-290240.274541457,-32585.4743927075
"Cml Pop Growth","Neonatal Male",530600.142139811,101504.434091809,157069.011965537,462553.286288963,533790.524137134,597620.850333943,827410.784020288
"Cml Pop Growth","Neonatal Combined",168769.588993635,179872.457982904,-337948.452440929,44346.2394307042,172480.357938105,285540.641550962,727277.268071599
"Cml Pop Growth","Juvenile Female",-367588.793296215,60681.0165682134,-546486.904626959,-408090.723438326,-368809.909538795,-324557.906474144,-207748.941743547
"Cml Pop Growth","Juvenile Male",125265.683417671,50254.6101168039,-37576.918718237,90722.0271053183,124383.334827386,159005.752860033,271250.772390548
"Cml Pop Growth","Juvenile Combined",-242323.109878544,98749.8380047155,-543368.303407563,-307673.49500796,-240104.738006877,-178823.351218836,25630.3712708447
"Cml Pop Growth","Adult Female",518227.732530461,59431.2859005516,323696.268598065,479059.413494356,521115.077408748,558026.211781081,688912.086161176
