"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7546508.12684671,27821.255238571,7464874.01037991,7527555.6434152,7546688.76530389,7565682.4858076,7624752.32477077
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",320389.56098089,2997.72978098864,310939.734848425,318426.932363516,320510.13334985,322427.097770242,329902.81113613
"Num Offtake","Juvenile Male",1013575.65425058,13151.003945582,975667.26793156,1004754.12484509,1013563.07084648,1022414.94900734,1052900.05109155
"Num Offtake","Juvenile Combined",1333965.21523147,15989.3921107439,1286943.5784687,1323448.22136504,1334031.18052048,1344685.05169781,1380158.88446132
"Num Offtake","Adult Female",2034908.7141185,4938.92451758833,2018147.57203241,2031490.46681317,2034879.95110773,2038400.43018318,2049484.70820337
"Num Offtake","Adult Male",4177634.19749674,11933.0434015286,4144618.59600162,4169501.99694669,4177696.85141412,4185743.71315229,4211830.06141606
"Cml Pop Growth","Overall",-847916.838572572,284029.672190892,-1750894.71638846,-1040433.5992755,-839692.099410325,-649031.431667663,169383.647239294
"Cml Pop Growth","Neonatal Female",-91458.5653231625,78117.7222858562,-338480.164252669,-145166.327680922,-90539.5321276484,-38363.0472820757,160663.18084601
"Cml Pop Growth","Neonatal Male",773599.620683058,78249.6848820851,533328.146249297,720917.272115681,775435.546642334,827906.120971938,996004.082866827
"Cml Pop Growth","Neonatal Combined",682141.055359895,153195.858153476,201043.906864128,575103.29940581,683204.495880625,787443.488769835,1151535.60596756
"Cml Pop Growth","Juvenile Female",-173106.413139674,46908.4296591352,-323245.758603286,-205429.892060732,-173238.059486248,-140164.63057299,-27206.3110748227
"Cml Pop Growth","Juvenile Male",270146.911778025,40910.1196102678,148043.32881056,242181.389104725,270099.874106352,298292.221472058,391837.855063264
"Cml Pop Growth","Juvenile Combined",97040.4986383509,86256.516481972,-175202.429792726,36891.0790848048,95265.878764671,156644.042838577,361274.685277721
"Cml Pop Growth","Adult Female",-241319.983284101,77025.7370560508,-521724.191669401,-293520.55853037,-239415.682574345,-185971.062608061,26639.8532121833
"Cml Pop Growth","Adult Male",-1385778.40928672,35232.3901136735,-1489328.44734338,-1409398.86830739,-1384812.2086779,-1364320.87074813,-1280640.93760682
"Total Number Increase","Overall",6698591.28827413,303968.108446331,5757447.87810511,6492411.09578711,6710085.17234694,6912873.14619026,7794135.97201007
