"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7447555.43129882,33430.0907491049,7323119.41661241,7425489.80411427,7447130.63055253,7469371.25284927,7563870.56556011
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",305081.163851627,4835.08430946897,288675.891277515,302057.679024322,305069.873325085,308111.561866643,319803.255710048
"Num Offtake","Juvenile Male",980986.4559305,18103.0970851284,917955.569961801,969139.873531617,981717.331758019,992657.038903444,1037594.68230107
"Num Offtake","Juvenile Combined",1286067.61978213,18684.1171077626,1221454.17766462,1273486.08037467,1285843.36518009,1298856.71331299,1345629.42710103
"Num Offtake","Adult Female",2116619.15684202,2898.62922353295,2106597.84623877,2114808.30658359,2116600.45012188,2118512.54196555,2125199.51262524
"Num Offtake","Adult Male",4044868.65467467,16088.5543826737,3984580.95823115,4033952.10918883,4044787.74886754,4055799.61288673,4104570.57151718
"Cml Pop Growth","Overall",-630004.280655341,268820.300195938,-1455481.83237195,-805647.217028309,-628350.974582858,-449923.87536392,154150.225206409
"Cml Pop Growth","Neonatal Female",-328998.166592501,112642.502383456,-680937.756486312,-404909.139502733,-328457.648230367,-248905.998721288,78955.9819509625
"Cml Pop Growth","Neonatal Male",558518.708881022,105417.196560506,245046.930836268,486547.824160681,559492.579328109,633126.950504426,902998.087112605
"Cml Pop Growth","Neonatal Combined",229520.542288521,156212.800643395,-237896.930139115,126984.801400244,228898.966415592,343176.056690767,685225.249466632
"Cml Pop Growth","Juvenile Female",-354984.875804768,66370.4810786102,-539235.810852836,-397570.550958586,-357435.07845939,-313540.610373498,-152415.459015712
"Cml Pop Growth","Juvenile Male",137419.224505167,51082.9995610642,-8692.02068659361,103509.82968034,136545.520029909,170823.318049436,317424.117842529
"Cml Pop Growth","Juvenile Combined",-217565.651299601,83568.9186488493,-517219.834702144,-272708.953796448,-218558.877281902,-158076.794046393,23113.8755900427
"Cml Pop Growth","Adult Female",843982.959402853,60854.6061276292,635385.798711732,806450.45365394,843713.344257442,883398.564446806,1028918.7449667
"Cml Pop Growth","Adult Male",-1485942.13104711,41662.4907830882,-1634040.04880731,-1514727.29393726,-1486213.73040045,-1458255.6255281,-1347653.39701203
"Total Number Increase","Overall",6817551.15064348,288164.094547212,5915638.74040544,6621717.60882062,6816164.43981978,7006300.44524911,7697224.06111436
"Total Number Increase","Neonatal Female",-328998.166592501,112642.502383456,-680937.756486312,-404909.139502733,-328457.648230367,-248905.998721288,78955.9819509625
"Total Number Increase","Neonatal Male",558518.708881022,105417.196560506,245046.930836268,486547.824160681,559492.579328109,633126.950504426,902998.087112605
"Total Number Increase","Juvenile Female",-49903.7119531408,70658.9715395155,-245368.492318932,-95435.8095783462,-52693.8720757307,-6258.23107532629,167004.903876542
"Total Number Increase","Juvenile Male",1118405.68043567,66613.0576370023,930449.177629809,1074873.95770506,1117654.40072324,1163507.143697,1348434.6759697
"Total Number Increase","Adult Female",2960602.11624487,63678.7110702313,2741983.6449505,2921317.15218445,2960534.57458199,3001765.12036753,3153243.25438821
"Total Number Increase","Adult Male",2558926.52362756,56593.7379978979,2350540.90942384,2520378.87110321,2558656.76213283,2596782.24754201,2756917.17450515
"Total Mortality","Overall",3713100.74486019,218700.066644883,3016255.56292217,3563368.89924365,3710750.92076177,3871302.76360907,4302008.46043639
"Total Mortality","Neonatal Female",1171979.10858351,165640.208740433,687396.380042505,1062528.87499857,1167757.35702099,1286545.07618427,1758408.83574709
"Total Mortality","Neonatal Male",1035394.07879342,143554.947253166,673461.326928022,933671.930999517,1030702.94193787,1128544.03047662,1494158.60999334
"Total Mortality","Neonatal Combined",2207373.18737693,215460.210253377,1484773.54893981,2066435.78655773,2200522.82336335,2361038.56740236,2799313.38993034
"Total Mortality","Juvenile Female",657097.891372736,10414.0277434716,621763.458136186,650585.770206232,657073.573315567,663624.902482001,688807.012298566
"Total Mortality","Juvenile Male",435993.980413556,8045.82092672373,407980.253316356,430728.832680719,436318.814114675,441180.906179309,461153.192133809
"Total Mortality","Juvenile Combined",1093091.87178629,13086.9749789881,1049522.32245561,1084535.82271593,1093212.73981544,1101305.93040685,1136682.14449608
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",412635.685696965,19949.3679861281,359199.937832656,399115.227640323,412111.344068946,426630.14136604,479000.890638442
"Liveweight (kg)","Overall",7427053187.6944,41413509.8160824,7269519955.98883,7400931664.37357,7428928967.48265,7453898373.36078,7581487637.10056
"Liveweight (kg)","Neonatal Female",279835525.989566,14085677.4142058,237197954.149605,270513744.673338,280391029.302961,289369044.307545,321060037.051638
"Liveweight (kg)","Neonatal Male",248530858.943544,12165729.2625872,207527323.163611,240266358.71904,248457016.52123,256679030.563189,287640559.547502
"Liveweight (kg)","Juvenile Female",366086263.171935,23059430.2693136,297282616.953893,350430177.487305,366081682.743819,382296777.964061,440916081.493649
"Liveweight (kg)","Juvenile Male",243802101.043762,14936373.0798219,191828800.936351,233659440.989707,243581662.701384,254270121.609662,289476262.067672
"Liveweight (kg)","Juvenile Combined",609888364.215697,27368375.9912001,525039957.55439,591699632.223888,609374861.810411,628699201.78877,701505760.251919
"Liveweight (kg)","Adult Female",4904004324.02645,12831239.0670788,4863809889.08537,4895060945.55688,4904198017.65035,4912868954.11022,4949319315.49965
"Liveweight (kg)","Adult Male",1384794114.51914,6557820.42407259,1361226836.09093,1380291796.38269,1384762196.94786,1389383814.5202,1405525325.4493
