"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",7581794.87166663,NA,7581794.87166663,7581794.87166663,7581794.87166663,7581794.87166663,7581794.87166663
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",325430.018333342,NA,325430.018333342,325430.018333342,325430.018333342,325430.018333342,325430.018333342
"Num Offtake","Juvenile Male",1031191.9275,NA,1031191.9275,1031191.9275,1031191.9275,1031191.9275,1031191.9275
"Num Offtake","Juvenile Combined",1356621.94583334,NA,1356621.94583334,1356621.94583334,1356621.94583334,1356621.94583334,1356621.94583334
"Num Offtake","Adult Female",2037901.26583336,NA,2037901.26583336,2037901.26583336,2037901.26583336,2037901.26583336,2037901.26583336
"Num Offtake","Adult Male",4187271.65999992,NA,4187271.65999992,4187271.65999992,4187271.65999992,4187271.65999992,4187271.65999992
"Cml Pop Growth","Overall",-254533.052637372,NA,-254533.052637372,-254533.052637372,-254533.052637372,-254533.052637372,-254533.052637372
"Cml Pop Growth","Neonatal Female",65015.3928878233,NA,65015.3928878233,65015.3928878233,65015.3928878233,65015.3928878233,65015.3928878233
"Cml Pop Growth","Neonatal Male",915077.559554442,NA,915077.559554442,915077.559554442,915077.559554442,915077.559554442,915077.559554442
"Cml Pop Growth","Neonatal Combined",980092.952442266,NA,980092.952442266,980092.952442266,980092.952442266,980092.952442266,980092.952442266
"Cml Pop Growth","Juvenile Female",-77296.2116667316,NA,-77296.2116667316,-77296.2116667316,-77296.2116667316,-77296.2116667316,-77296.2116667316
"Cml Pop Growth","Juvenile Male",342488.882499899,NA,342488.882499899,342488.882499899,342488.882499899,342488.882499899,342488.882499899
"Cml Pop Growth","Juvenile Combined",265192.670833168,NA,265192.670833168,265192.670833168,265192.670833168,265192.670833168,265192.670833168
