"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1715687.44544103,9775.93867100875,1681573.70969071,1709148.23213484,1715404.93518807,1722179.18450728,1746477.5072122
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30130.4740023507,582.274099002469,28223.081307292,29755.4574268493,30119.2005615674,30532.3048707835,31952.166597691
"Num Offtake","Juvenile Male",130937.776116785,3427.15554929362,119718.112240141,128728.795691063,130872.379458213,133293.540908672,141675.473335035
"Num Offtake","Juvenile Combined",161068.250119136,4009.42391493225,147941.193547433,158485.10363266,160991.748383059,163825.956655839,173627.639932726
"Num Offtake","Adult Female",198750.991809137,317.745945482633,197565.029024355,198545.422463472,198736.480171233,198961.416651794,199757.827569644
"Num Offtake","Adult Male",1355868.20351276,5553.85238671813,1335179.98527938,1352300.26212883,1355628.81384123,1359579.98365072,1373403.74981516
"Cml Pop Growth","Overall",2046307.92778917,368067.322227374,764956.011857301,1805424.66936814,2041951.10370584,2296290.08182663,3280417.35700141
"Cml Pop Growth","Neonatal Female",-318258.687706914,106579.334572981,-679083.500007919,-388724.845826667,-315680.695925473,-242634.896672034,25135.1165685505
"Cml Pop Growth","Neonatal Male",247088.685730788,106579.334572981,-113736.126570217,176622.527611035,249666.677512228,322712.476765668,590482.490006252
"Cml Pop Growth","Neonatal Combined",-71170.0019761261,213158.669145962,-792819.626578137,-212102.318215632,-66014.0184132446,80077.5800936343,615617.606574803
"Cml Pop Growth","Juvenile Female",-95526.25221535,60475.2047770414,-282624.720849976,-134313.019867893,-94891.0388178877,-54230.8363172951,125929.439412123
"Cml Pop Growth","Juvenile Male",257179.301697218,59003.4926182272,73548.5238367642,219384.761389773,257807.567857743,297177.544526284,473885.61688359
"Cml Pop Growth","Juvenile Combined",161653.049481868,119475.554250104,-209076.197013212,85110.4992006415,163030.235474026,243120.806776845,599815.056295712
"Cml Pop Growth","Adult Female",1312622.24809023,55638.5367490571,1130761.14901419,1276519.84934799,1311741.40292441,1350840.00669697,1487413.87771464
"Cml Pop Growth","Adult Male",643202.6321932,51125.0798110533,476815.676267249,609288.897729401,642170.048491525,678618.827977986,804954.078399599
