"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1716098.61216578,8544.95105297083,1707317.49229192,1709604.13654015,1714382.49377185,1720508.36290533,1735158.40926903
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30148.7764422253,530.741958488415,29413.6411222656,29822.7359767401,30016.3170570784,30462.2752129898,31256.7258702297
"Num Offtake","Juvenile Male",131044.611449681,3126.7593693629,126686.913411146,129131.96406218,130260.219831532,132896.342268345,137558.18847932
"Num Offtake","Juvenile Combined",161193.387891906,3657.49609192302,156100.554533412,158954.70003892,160276.53688861,163358.617481335,168814.91434955
"Num Offtake","Adult Female",198766.755707943,269.92962299268,198513.170476685,198576.387987838,198712.801176725,198891.199400226,199385.057794984
"Num Offtake","Adult Male",1356138.46856593,4736.76263276533,1351713.31604721,1352687.30516235,1355274.11285874,1358318.06744766,1366958.4371245
"Cml Pop Growth","Overall",2072921.23577571,316930.120706142,1732062.96422299,1841306.93973524,1955882.2550944,2338596.61328627,2643401.66123093
"Cml Pop Growth","Neonatal Female",-310562.267313071,97579.5807009988,-419868.170769415,-388575.945417217,-319558.406176347,-278054.047516603,-99570.0332157472
"Cml Pop Growth","Neonatal Male",254785.106124631,97579.5807009985,145479.202668287,176771.428020484,245788.967261355,287293.325921099,465777.340221954
"Cml Pop Growth","Neonatal Combined",-55777.1611884397,195159.161401997,-274388.968101128,-211804.517396733,-73769.4389149917,9239.27840449597,366207.307006206
"Cml Pop Growth","Juvenile Female",-91482.4093996868,50820.315827581,-184646.502887662,-112353.875085138,-93940.1080087135,-56601.0390120971,-11754.9421371033
"Cml Pop Growth","Juvenile Male",261186.749481023,49318.5018860844,170715.725790217,241026.379344873,259204.671222876,295240.81975059,337855.681063747
"Cml Pop Growth","Juvenile Combined",169704.340081336,100137.138380552,-13930.7770974454,128672.504259736,165618.306826473,238462.908932338,326100.738926644
"Cml Pop Growth","Adult Female",1314317.62316568,50908.8512375791,1242436.22373038,1283469.77380522,1301432.89551382,1344653.01538252,1419822.64811034
"Cml Pop Growth","Adult Male",644676.433717133,47070.0750633475,576018.288386494,616863.933688907,632462.591796017,673125.379165949,740953.92440591
"Total Number Increase","Overall",3789019.84794149,322746.84476601,3439380.45651491,3553578.36464028,3669162.73204195,4066622.68482065,4364650.33589329
"Total Number Increase","Neonatal Female",-310562.267313071,97579.5807009988,-419868.170769415,-388575.945417217,-319558.406176347,-278054.047516603,-99570.0332157472
"Total Number Increase","Neonatal Male",254785.106124631,97579.5807009985,145479.202668287,176771.428020484,245788.967261355,287293.325921099,465777.340221954
"Total Number Increase","Neonatal Combined",-55777.1611884397,195159.161401997,-274388.968101128,-211804.517396733,-73769.4389149917,9239.27840449597,366207.307006206
"Total Number Increase","Juvenile Female",-61333.6329574615,51291.4649828359,-155232.861765396,-82483.7684132798,-64165.7304333383,-26138.7637991073,19501.7837331265
"Total Number Increase","Juvenile Male",392231.360930703,52100.6573769979,297402.639201363,370435.850729244,388454.572466103,427938.311692718,475413.869543067
