"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1692098.42583654,11046.6683297061,1650947.97608009,1684605.44383553,1692054.45021577,1699368.91633313,1738632.40659558
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",29287.2259949229,610.958853424747,26889.8295183195,28878.7299360709,29278.7340594561,29693.356263494,31873.5802163864
"Num Offtake","Juvenile Male",127467.594634389,3451.75520459315,113836.556801884,125145.432138009,127443.132622492,129776.540458884,143297.184628877
"Num Offtake","Juvenile Combined",156754.820629312,4010.90277552257,140726.386320203,154055.827814377,156712.954519536,159411.816637703,175010.172170645
"Num Offtake","Adult Female",196742.461308113,676.807122942058,194041.900000427,196284.930690354,196747.826464506,197206.917717511,199192.930636012
"Num Offtake","Adult Male",1338601.14389912,7452.09980156343,1310262.33935945,1333632.84604914,1338645.25466716,1343577.12661146,1365517.64306348
"Cml Pop Growth","Overall",1528444.01694222,371086.027697173,359376.671710104,1272959.2039923,1525992.76707751,1774417.98613418,3035143.08169281
"Cml Pop Growth","Neonatal Female",-337069.882330411,105887.26678267,-717717.113664133,-409115.633951195,-338497.129374812,-267651.606210627,99064.6626638416
"Cml Pop Growth","Neonatal Male",228277.49110729,105887.26678267,-152369.740226431,156231.739486506,226850.244062889,297695.767227075,664412.036101544
"Cml Pop Growth","Neonatal Combined",-108792.391223121,211774.53356534,-870086.853890563,-252883.894464689,-111646.885311923,30044.1610164478,763476.698765385
"Cml Pop Growth","Juvenile Female",-166211.745310457,60793.5354360667,-395414.881035105,-207892.187988425,-166998.068867359,-125790.94809425,103807.382167378
"Cml Pop Growth","Juvenile Male",202013.405429402,58357.481941238,3696.47732505249,162102.105108504,201486.649646744,241501.768938613,439163.127138818
"Cml Pop Growth","Juvenile Combined",35801.6601189452,117109.24335272,-372654.469728091,-44885.3443422726,34868.5204268732,113698.57826307,542970.509306196
"Cml Pop Growth","Adult Female",1072620.65984982,79346.3622459307,777033.22687404,1019830.66662417,1073504.31942404,1126342.08369573,1399006.45471998
"Cml Pop Growth","Adult Male",528814.088196576,56333.641064471,329788.968062638,490787.491111193,528844.279126937,566464.036562137,775013.417680796
"Total Number Increase","Overall",3220542.44277876,377653.435709292,2040320.13923856,2960862.51354388,3218939.45748853,3470326.30207678,4753453.09760582
"Total Number Increase","Neonatal Female",-337069.882330411,105887.26678267,-717717.113664133,-409115.633951195,-338497.129374812,-267651.606210627,99064.6626638416
"Total Number Increase","Neonatal Male",228277.49110729,105887.26678267,-152369.740226431,156231.739486506,226850.244062889,297695.767227075,664412.036101544
"Total Number Increase","Neonatal Combined",-108792.391223121,211774.53356534,-870086.853890563,-252883.894464689,-111646.885311923,30044.1610164478,763476.698765385
"Total Number Increase","Juvenile Female",-136924.519315534,61256.8036444977,-367873.804595425,-178811.651898501,-137733.831017378,-96276.1130252885,135520.369709146
"Total Number Increase","Juvenile Male",329481.000063791,61024.4893553262,122613.463751153,287642.649093437,328981.703544389,370764.983976088,582460.311767695
"Total Number Increase","Juvenile Combined",192556.480748257,120206.637792162,-228075.601761117,110123.41817827,191360.407281328,272403.84627328,717980.681476841
