"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1715749.9343437,10072.4977332635,1682494.98932622,1709160.4813587,1715479.93191684,1722582.62396515,1743247.42137088
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30127.9901502437,598.766066871878,28085.753934251,29743.5161024579,30124.059916327,30525.0921614938,31768.0166504173
"Num Offtake","Juvenile Male",130922.024501535,3524.09214364892,118897.594844462,128662.59450047,130897.194937601,133265.64818807,140570.613129348
"Num Offtake","Juvenile Combined",161050.014651779,4122.85243296359,146983.348778713,158407.483606993,161022.008586909,163790.913245795,172338.629779765
"Num Offtake","Adult Female",198755.430258721,327.812572804671,197701.261434023,198549.390269681,198743.664632495,198980.002024075,199639.052886341
"Num Offtake","Adult Male",1355944.4894332,5727.87118978896,1337513.0232469,1352344.9176237,1355737.48535108,1359848.9893085,1371412.63282013
"Cml Pop Growth","Overall",2040091.35143836,392063.640203037,803495.440587085,1773914.51332877,2051649.4638245,2306190.46477216,3095124.44898963
"Cml Pop Growth","Neonatal Female",-317737.767816359,110903.00531648,-658289.475544804,-391995.570275857,-317880.154329413,-243806.389382167,-12275.356932498
"Cml Pop Growth","Neonatal Male",247609.605621342,110903.00531648,-92942.1021071021,173351.803161845,247467.219108288,321540.984055535,553072.016505203
"Cml Pop Growth","Neonatal Combined",-70128.1621950169,221806.01063296,-751231.577651906,-218643.767114012,-70412.9352211249,77734.5946733682,540796.659572705
"Cml Pop Growth","Juvenile Female",-98851.7783796378,62816.2095203832,-302491.670559089,-140782.268808084,-99111.5020011425,-55993.729888302,87192.4279445598
"Cml Pop Growth","Juvenile Male",253881.892091722,61281.1612679113,54806.4215059007,212862.769879833,253117.490942336,295314.206460065,435322.769696781
"Cml Pop Growth","Juvenile Combined",155030.113712084,124094.478442312,-247685.249053189,72194.1075267474,153996.708210522,239142.542116915,522515.197641341
"Cml Pop Growth","Adult Female",1312335.88947753,57203.1160968591,1116954.14135931,1275553.68665383,1311550.65474959,1350182.18372674,1468854.98856078
"Cml Pop Growth","Adult Male",642853.510443757,52546.6840156511,463054.516069299,608903.035625142,641815.774825525,678049.031254595,786256.964477354
"Total Number Increase","Overall",3755841.28578206,399053.734270683,2501363.92192606,3480817.45820688,3765695.33900685,4029470.61457365,4836590.29699471
"Total Number Increase","Neonatal Female",-317737.767816359,110903.00531648,-658289.475544804,-391995.570275857,-317880.154329413,-243806.389382167,-12275.356932498
"Total Number Increase","Neonatal Male",247609.605621342,110903.00531648,-92942.1021071021,173351.803161845,247467.219108288,321540.984055535,553072.016505203
"Total Number Increase","Neonatal Combined",-70128.1621950169,221806.01063296,-751231.577651906,-218643.767114012,-70412.9352211249,77734.5946733682,540796.659572705
"Total Number Increase","Juvenile Female",-68723.7882293941,63300.7581380571,-273730.515947948,-110791.980265093,-68948.4784139777,-25913.2856172853,118825.753512441
"Total Number Increase","Juvenile Male",384803.916593257,64141.8572441035,177650.122291845,342131.688727501,384013.323908927,427510.321977546,575118.787873382
"Total Number Increase","Juvenile Combined",316080.128363863,127439.40891393,-96080.393656102,231364.802525618,314545.357121834,401198.488998797,693944.541385823
"Total Number Increase","Adult Female",1511091.31973625,57514.9574206141,1314676.10588648,1474130.53101729,1510383.90578947,1549119.55770129,1668485.11957804
"Total Number Increase","Adult Male",1998797.99987696,57994.5807741637,1800844.19208963,1961563.91091567,1998266.03820389,2037129.45229781,2157535.62505121
"Total Mortality","Overall",2860217.32318928,90924.9804790795,2559318.56953279,2800271.13140751,2862508.72751651,2919654.46533839,3121552.47676122
"Total Mortality","Neonatal Female",1083150.31214117,42020.1956315549,944091.283756393,1055065.09055154,1084037.67702497,1110990.27088958,1204784.99850882
"Total Mortality","Neonatal Male",936578.770879543,42020.1956315549,797519.742494767,908493.549289914,937466.135763349,964418.729627951,1058213.45724719
"Total Mortality","Neonatal Combined",2019729.08302071,84040.3912631098,1741611.02625116,1963558.63984145,2021503.81278832,2075409.00051753,2262998.45575601
"Total Mortality","Juvenile Female",150639.950751219,2993.83033435939,140428.769671255,148717.58051229,150620.299581635,152625.460807469,158840.083252086
"Total Mortality","Juvenile Male",109101.687084613,2936.74345304076,99081.3290370515,107218.828750391,109080.995781334,111054.706823391,117142.17760779
"Total Mortality","Juvenile Combined",259741.637835831,5930.55705204217,239510.098708307,255939.268068535,259697.689158591,263680.311711053,275982.260859876
"Total Mortality","Adult Female",397510.860517443,655.625145609342,395402.522868047,397098.780539362,397487.329264989,397960.00404815,399278.105772681
"Total Mortality","Adult Male",183235.741815297,774.036647268778,180745.003141472,182749.313192392,183207.768290687,183763.376933582,185326.03146218
"Population Liveweight (kg)","Overall",520564939.378645,29289130.4402254,434326307.220686,501535935.532846,520742662.689905,539801677.973199,622708201.197756
"Population Liveweight (kg)","Neonatal Female",16991746.5213322,3101817.22493882,6773579.40154038,14914241.1627443,17056094.4053148,19110169.5106502,24656468.7186112
"Population Liveweight (kg)","Neonatal Male",16536837.6872106,3161810.29691269,7454127.28609507,14314799.9979125,16501250.8460452,18814709.1517102,24960805.1856273
"Population Liveweight (kg)","Juvenile Female",27263766.8382391,1359179.93340277,23315939.0094609,26363212.1369187,27219632.7931716,28200269.5510091,31452191.3351976
"Population Liveweight (kg)","Juvenile Male",23340698.2937231,1336068.99388343,18546230.7577587,22450642.5684099,23314548.7237541,24248585.7622415,27721671.1154724
"Population Liveweight (kg)","Juvenile Combined",50604465.1319622,2547788.21893801,42449492.0545238,48941757.299193,50568370.7829044,52324784.4304341,57799035.704456
"Population Liveweight (kg)","Adult Female",310609409.030379,7718282.08196808,285281314.937596,305335735.587954,310298662.50208,315523418.485026,340885803.976145
"Population Liveweight (kg)","Adult Male",125822481.00776,26876272.412708,52209487.0539688,107251057.356624,125485634.406347,144327926.873756,214762162.599382
"Offtake Liveweight (kg)","Overall",51870408.8771951,9335107.68314527,21080213.1927998,45629080.8106126,51712748.0923039,58033109.1840719,86101526.0423951
"Offtake Liveweight (kg)","Juvenile Female",575552.573108095,18473.3018261565,507030.784327323,562535.77667152,575175.354445504,588117.156516295,636708.031539762
"Offtake Liveweight (kg)","Juvenile Male",2500203.52664041,90837.4038071728,2218026.4113836,2441833.26042869,2496773.14780835,2563447.04515881,2790459.18903982
"Offtake Liveweight (kg)","Adult Female",5815463.03055024,136383.864269101,5381156.35935232,5726069.51660062,5818932.50097405,5905978.87626605,6300799.60706119
"Offtake Liveweight (kg)","Adult Male",42979189.7468964,9328780.47257707,12687141.5586945,36754162.6100596,42915726.3852406,49147651.3567881,77118989.0736884
