"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1715773.097311,9791.07014912616,1678157.59961753,1709211.16615564,1715570.69625754,1722413.9689895,1756839.46764191
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30134.1355494335,580.870942455663,27853.9830792617,29743.7905861292,30126.7223214928,30527.5197869651,32437.789791244
"Num Offtake","Juvenile Male",130958.980293038,3418.55595305281,117538.307849582,128659.782898462,130917.132758627,133274.246539339,144488.688729987
"Num Offtake","Juvenile Combined",161093.115842471,3999.42119925662,145392.290928844,158403.263453932,161042.169591117,163800.21069895,176926.478521231
"Num Offtake","Adult Female",198754.225613318,319.131482560089,197560.279925873,198538.926878395,198747.675543783,198970.016230047,200121.183446068
"Num Offtake","Adult Male",1355925.75585521,5576.09273859353,1335071.13832111,1352152.98898582,1355806.37610877,1359705.94128657,1379791.80567461
"Cml Pop Growth","Overall",2049083.30866231,366096.152840938,689153.080288477,1801349.13233169,2043994.19638878,2298780.26556777,3336273.59640762
"Cml Pop Growth","Neonatal Female",-316124.772028616,105181.37758609,-715186.621709215,-387771.343699067,-316849.233302817,-245410.358379861,142585.682906914
"Cml Pop Growth","Neonatal Male",249222.601409086,105181.37758609,-149839.248271513,177576.029738634,248498.140134885,319937.015057841,707933.056344616
"Cml Pop Growth","Neonatal Combined",-66902.1706195297,210362.755172179,-865025.869980729,-210195.313960433,-68351.093167932,74526.6566779796,850518.739251529
"Cml Pop Growth","Juvenile Female",-96583.6813063653,59591.4270676214,-315537.688369283,-136892.389930232,-96353.2846783723,-55852.7030426935,133889.400791715
"Cml Pop Growth","Juvenile Male",256117.71933631,58122.6999126481,42086.8228805598,216763.095111136,256433.843884064,295760.669789522,479947.965292829
"Cml Pop Growth","Juvenile Combined",159534.038029945,117711.050354022,-273450.865488723,79737.07092175,160157.151826146,239978.635589526,613837.366084544
"Cml Pop Growth","Adult Female",1312960.73580718,55485.0389858812,1095054.54647448,1275664.53604638,1312399.01048623,1350422.2139545,1531631.07630803
"Cml Pop Growth","Adult Male",643490.705444716,50953.5307639897,443347.695537795,609381.721238472,642900.998139715,677807.998840278,843263.176528861
"Total Number Increase","Overall",3764856.40597331,372552.737766908,2382504.43918398,3513985.51424705,3759192.44271267,4017581.03328197,5071215.36512728
"Total Number Increase","Neonatal Female",-316124.772028616,105181.37758609,-715186.621709215,-387771.343699067,-316849.233302817,-245410.358379861,142585.682906914
"Total Number Increase","Neonatal Male",249222.601409086,105181.37758609,-149839.248271513,177576.029738634,248498.140134885,319937.015057841,707933.056344616
"Total Number Increase","Neonatal Combined",-66902.1706195297,210362.755172179,-865025.869980729,-210195.313960433,-68351.093167932,74526.6566779796,850518.739251529
"Total Number Increase","Juvenile Female",-66449.5457569318,60053.0854701665,-286969.703429718,-107072.634524392,-66375.5421170838,-25536.9788496482,166219.570315468
"Total Number Increase","Juvenile Male",387076.699629348,60848.6176046037,163806.069376128,345815.93752064,387263.362450072,428587.817399285,623848.698959893
"Total Number Increase","Juvenile Combined",320627.153872416,120898.344570419,-123163.63405359,238885.891107545,320759.745620489,403218.691386154,790068.269275361
"Total Number Increase","Adult Female",1511714.9614205,55788.5424448849,1292627.19391689,1474244.76362349,1511153.66667878,1549404.99177253,1731752.2597541
"Total Number Increase","Adult Male",1999416.46129993,56255.4428502039,1778540.35678408,1961647.56129331,1998744.84536548,2037511.171988,2221686.46004826
"Total Mortality","Overall",2862317.56239392,86968.7867398207,2521564.09453727,2803581.75846912,2861980.12709724,2921179.03175476,3212988.07127428
"Total Mortality","Neonatal Female",1084172.14042675,40153.1343212671,927670.197467087,1056910.32145846,1083969.54782415,1111350.54291031,1246310.57960836
"Total Mortality","Neonatal Male",937600.599165128,40153.1343212671,781098.65620546,910338.780196834,937398.006562522,964779.001648687,1099739.03834673
"Total Mortality","Neonatal Combined",2021772.73959188,80306.2686425342,1708768.85367255,1967249.10165529,2021367.55438667,2076129.544559,2346049.61795509
"Total Mortality","Juvenile Female",150670.677747167,2904.35471227832,139269.915396308,148718.952930646,150633.611607464,152637.598934826,162188.94895622
"Total Mortality","Juvenile Male",109132.483577531,2848.79662754401,97948.5898746517,107216.485748718,109097.610632189,111061.872116116,120407.240608323
"Total Mortality","Juvenile Combined",259803.161324699,5753.13484034378,237218.50527096,255934.624482864,259732.617674143,263699.847495,282596.189564543
"Total Mortality","Adult Female",397508.451226636,638.262965120178,395120.559851746,397077.85375679,397495.351087565,397940.032460094,400242.366892136
"Total Mortality","Adult Male",183233.210250704,753.526045755883,180415.018692042,182723.376889976,183217.077852536,183744.046119807,186458.352118191
"Population Liveweight (kg)","Overall",521893143.084299,29408285.3888703,398184790.759083,501813594.440799,521490042.748179,541308319.064367,651843732.381909
"Population Liveweight (kg)","Neonatal Female",16995316.7885,3106363.82503131,6224560.10446666,14888059.5542062,17128699.9438556,19230237.6458146,25938155.9142575
"Population Liveweight (kg)","Neonatal Male",16684026.0527821,3069849.36600381,6297364.80055432,14561364.4663778,16790602.6149295,18899118.0353134,26772577.9416515
"Population Liveweight (kg)","Juvenile Female",27297744.3972055,1335137.79536879,22514841.3851268,26395693.10451,27296772.3079605,28181284.4636606,34039610.4120655
"Population Liveweight (kg)","Juvenile Male",23384095.3628628,1264710.58776996,18879316.3868761,22519716.8876793,23369432.6130074,24242351.7824078,28088815.8571586
"Population Liveweight (kg)","Juvenile Combined",50681839.7600683,2440829.88290704,42361740.3362165,49036209.55992,50652668.5612873,52337208.6753871,62004513.8442508
"Population Liveweight (kg)","Adult Female",313704633.24568,7667346.19373282,284828868.540313,308665619.516278,313728474.087844,318755489.444492,339665954.842892
"Population Liveweight (kg)","Adult Male",123827327.237268,27221578.7178841,1562346.61822802,105513597.573707,123234263.120298,142226586.413073,221966079.991225
"Offtake Liveweight (kg)","Overall",50648547.2790683,9230939.48267246,9419315.21329998,44384833.7072798,50525613.4829949,56822678.4028381,83460740.7242802
"Offtake Liveweight (kg)","Juvenile Female",575484.170310591,18046.3637549117,516641.42264842,563165.749157504,575286.393968927,587338.955531175,642643.415961877
"Offtake Liveweight (kg)","Juvenile Male",2500977.66504524,90683.5814653814,2175199.95924326,2439305.46304567,2500077.94150633,2561408.85132486,2885807.16361383
"Offtake Liveweight (kg)","Adult Female",5880319.25314583,140482.181962483,5363125.2017538,5787832.12978113,5881243.00068552,5972493.7580625,6374651.55044181
"Offtake Liveweight (kg)","Adult Male",41691766.1905666,9229225.70947256,520274.677617335,35428326.911388,41591765.6967405,47854822.2800603,74540792.0751269
"Meat (kg)","Overall",134584517.14132,8037859.75182074,103677836.074571,129105313.825575,134582370.691998,139899092.238945,169218050.507746
"Manure","Overall",1781020224.99824,67636191.1334952,1541315246.69028,1735835127.74223,1781829997.55693,1825501471.98811,2034991883.24205
"Manure","Neonatal Female",54665004.4243012,4115276.5258406,39654183.0556553,51855067.897621,54551980.7237411,57393981.4887244,70970446.5178197
"Manure","Neonatal Male",48829260.3167176,3834642.34738357,33609445.3804552,46218349.9282177,48754522.6211219,51345519.3529317,64855690.3496526
"Manure","Neonatal Combined",103494264.741019,6405351.84936473,81472437.9918979,99105841.8394977,103410393.081511,107751871.228362,129901954.845246
"Manure","Juvenile Female",107902169.678238,6295048.20276904,86606523.3399117,103649979.086785,107904623.472835,112197208.050623,131520749.160353
"Manure","Juvenile Male",80230670.0102392,4911408.27208646,63234828.1599029,76808767.6870247,80213561.6488518,83550303.0007149,101496567.572513
"Manure","Juvenile Combined",188132839.688477,8643339.26031394,157541077.344392,182301927.250608,188003496.172209,193954162.835888,223000534.170835
"Manure","Adult Female",1086756024.92291,62141898.8669773,863744212.138669,1045507921.45396,1086803220.98883,1127756632.05473,1334003867.18744
"Manure","Adult Male",402637095.645838,22588688.1206284,318625690.28195,387321169.632731,402414124.278833,418120421.53174,480972223.825052
"Hides","Overall",420272.411401019,3547.7576078442,406397.620432363,417885.447143699,420232.276790158,422682.630183661,434648.454287435
"Hides","Juvenile Female",75335.3388735837,1452.17735613916,69634.9576981542,74359.4764653229,75316.805803732,76318.7994674128,81094.47447811
"Hides","Juvenile Male",54566.2417887657,1424.398313772,48974.2949373259,53608.242874359,54548.8053160946,55530.9360580579,60203.6203041613
"Hides","Juvenile Combined",129901.580662349,2876.56742017189,118609.25263548,127967.312241432,129866.308837071,131849.9237475,141298.094782271
"Hides","Adult Female",198754.225613318,319.131482560089,197560.279925873,198538.926878395,198747.675543783,198970.016230047,200121.183446068
"Hides","Adult Male",91616.605125352,376.763022877941,90207.5093460212,91361.6884449881,91608.538926268,91872.0230599033,93229.1760590954
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2053524472.77459,62571941.1038221,1794316053.2345,2011575135.31668,2053606178.62352,2096558002.39788,2325012429.11032
"Cml Dry Matter","Neonatal Female",162456305.246335,10370639.0198846,116905754.771392,155430975.143827,162456446.023879,169473737.912057,201483794.359033
"Cml Dry Matter","Neonatal Male",145124725.776779,9716045.25640167,110669696.774783,138581452.804149,144979547.401346,151790049.997552,183279107.045839
"Cml Dry Matter","Neonatal Combined",307581031.023114,16916839.4718563,241983165.071372,296150224.176361,307526856.39769,318886901.022838,379080776.090745
"Cml Dry Matter","Juvenile Female",159879599.780266,8649640.61633008,128126793.078983,154003835.044065,159927959.354824,165862277.717223,190000275.209378
"Cml Dry Matter","Juvenile Male",118726659.763963,6857442.37305317,94101639.7503934,114148034.303947,118701962.3152,123270738.827664,148731340.585526
"Cml Dry Matter","Juvenile Combined",278606259.544229,12056095.7805533,231170064.114769,270278906.609274,278602375.687602,286743361.427336,327083284.455127
"Cml Dry Matter","Adult Female",1070949073.09811,52872552.3124371,839366165.50397,1035905490.041,1071943171.95556,1107455948.2254,1270297647.41903
"Cml Dry Matter","Adult Male",396388109.10913,19457454.8951647,324239449.845509,383526661.942994,396944157.513008,409737522.719073,466857367.785997
"Value of Offtake","Overall",5134502773.56165,370545387.699082,3978171970.02448,4876625816.10397,5163847377.59788,5417454155.1879,5967027478.44756
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",57104137.0705932,4685129.41599014,46637809.7657092,53505256.0647502,56720535.713049,60264430.5755337,72451159.7136135
"Value of Offtake","Juvenile Male",251759242.400482,32763685.4578773,172546146.940636,226789916.823191,250254779.279326,274587280.657474,356122756.301852
"Value of Offtake","Juvenile Combined",308863379.471075,33210291.3181172,224243349.122629,283515482.685466,307225598.680692,331679970.668411,416315051.003776
"Value of Offtake","Adult Female",415367455.184311,38328703.9853139,334215641.91633,385448231.163455,413625047.327288,443144868.553232,521165890.188523
"Value of Offtake","Adult Male",4410271938.90627,366325212.555735,3260799393.17169,4155865754.64917,4444259297.05486,4690403469.59477,5150751509.27861
"Value of Herd Increase","Overall",5080936615.59143,700876275.120571,2721061340.31827,4597495663.70156,5079390025.49728,5546678230.68959,7844025210.1881
"Value of Herd Increase","Neonatal Female",-353839457.485575,121974908.882756,-847424732.531437,-436339505.171742,-351356984.612741,-270903070.543579,167669112.79001
"Value of Herd Increase","Neonatal Male",278887013.240453,120334305.226048,-183256782.29998,196019601.916716,275403794.321848,359109828.993477,800296080.206526
"Value of Herd Increase","Neonatal Combined",-74952444.2451217,239084322.078607,-955352923.622753,-239073065.101251,-75422343.8476734,86238744.1202272,967965192.996536
"Value of Herd Increase","Juvenile Female",-182945462.007626,114304530.697239,-663847119.31122,-259371609.733138,-180920130.136224,-105167126.470706,230815580.384153
"Value of Herd Increase","Juvenile Male",492200313.966179,128729981.004423,67640833.232904,402854399.230327,484053571.450678,574705268.57137,1215665467.87292
"Value of Herd Increase","Juvenile Combined",309254851.958553,234197902.463928,-596206286.078316,148457033.480835,304695677.765344,463505446.368742,1446481048.25707
"Value of Herd Increase","Adult Female",2744076612.36425,279335838.269036,1994776219.13304,2532023379.09226,2728404278.00602,2936682662.16837,3666872370.65069
"Value of Herd Increase","Adult Male",2102557595.51375,240896179.383291,1309549749.86024,1936978057.10061,2103217012.72409,2267030866.63884,3117804941.18543
"Value of Herd Increase plus Offtake","Overall",10215439389.1531,803591415.965088,7067130729.41614,9663665596.29914,10219189294.8652,10751171767.4196,13324436791.082
