"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1738804.10221268,9496.87749130962,1711133.72091742,1732202.04305716,1738674.1200305,1744707.97970034,1767589.80843364
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",31629.8588463197,567.214463228169,29970.6599992138,31239.7523711451,31621.7266343818,31978.4245515995,33311.3836449364
"Num Offtake","Juvenile Male",139780.359289197,3338.91595442765,130018.88947257,137483.50445446,139746.597946478,141829.957364258,149697.794489012
"Num Offtake","Juvenile Combined",171410.218135517,3906.12470780955,159989.549471783,168723.256825605,171366.455138936,173806.783031655,183009.178133948
"Num Offtake","Adult Female",199438.166631128,308.402234373152,198544.763468969,199227.672069621,199429.504367866,199629.542332871,200370.960907596
"Num Offtake","Adult Male",1367955.71744604,5388.85447648243,1352414.12087238,1364275.54435353,1367809.61526322,1371336.16602781,1384256.12969497
"Cml Pop Growth","Overall",3232046.521082,359353.315852872,2165659.18693751,2973606.82578828,3225022.53971587,3477195.81192004,4262068.46521672
"Cml Pop Growth","Neonatal Female",-44566.9531006627,103528.422551173,-337924.012661784,-116707.082017336,-48192.622238518,22510.9734448746,346770.190369473
"Cml Pop Growth","Neonatal Male",520780.420337039,103528.422551173,227423.360775918,448640.291420366,517154.751199184,587858.346882576,912117.563807174
"Cml Pop Growth","Neonatal Combined",476213.467236376,207056.845102347,-110500.651885866,331933.209403029,468962.128960666,610369.320327451,1258887.75417665
"Cml Pop Growth","Juvenile Female",87120.4342013859,59436.3084585425,-84886.8055257918,44452.4985722456,84755.8025749377,129347.951070538,275143.005742188
"Cml Pop Growth","Juvenile Male",435172.992885061,57967.9154423899,267010.651414903,393862.780638376,432613.104302793,476888.917184793,617964.641882651
"Cml Pop Growth","Juvenile Combined",522293.427086447,117401.506682145,182123.845889111,438477.289656038,517132.444977791,606122.243596276,893107.647624839
"Cml Pop Growth","Adult Female",1456681.57012121,54214.1059715299,1298250.40138255,1418962.57096153,1455893.49205156,1489805.80218368,1618210.21300152
"Cml Pop Growth","Adult Male",776858.05663796,49844.8486622815,631618.923920094,742011.852160195,775809.035751623,807506.440765642,926713.502958394
"Total Number Increase","Overall",4970850.62329468,365613.763275033,3884359.94038016,4711668.10005479,4964039.99542658,5218234.51515273,6006177.16166517
"Total Number Increase","Neonatal Female",-44566.9531006627,103528.422551173,-337924.012661784,-116707.082017336,-48192.622238518,22510.9734448746,346770.190369473
"Total Number Increase","Neonatal Male",520780.420337039,103528.422551173,227423.360775918,448640.291420366,517154.751199184,587858.346882576,912117.563807174
"Total Number Increase","Neonatal Combined",476213.467236376,207056.845102347,-110500.651885866,331933.209403029,468962.128960666,610369.320327451,1258887.75417665
"Total Number Increase","Juvenile Female",118750.293047706,59895.7245972836,-54445.050671858,75528.3346430386,116762.281260247,161177.724642381,308454.389387124
"Total Number Increase","Juvenile Male",574953.352174258,60681.0020253223,399775.663598699,530791.377973893,572490.342775893,617924.056801636,767662.436371663
"Total Number Increase","Juvenile Combined",693703.645221963,120573.681706501,345330.612926841,606334.796121388,688897.228859839,778739.706178324,1076116.82575879
"Total Number Increase","Adult Female",1656119.73675234,54506.5323992203,1496813.26354942,1618245.71320109,1655419.02769774,1689492.50536927,1818422.59434475
"Total Number Increase","Adult Male",2144813.774084,54954.1125845848,1984200.23319885,2107010.53363809,2144160.52789873,2178548.52153462,2308266.84404006
"Total Mortality","Overall",3119716.43004707,86089.432511012,2864277.0316619,3059722.40682019,3118152.68459864,3177484.85446767,3396159.46964098
"Total Mortality","Neonatal Female",1203959.91516895,39790.5504603834,1086092.1924151,1176311.23309943,1202894.54976218,1230563.50992668,1332152.38523691
"Total Mortality","Neonatal Male",1057388.37390732,39790.5504603834,939520.651153478,1029739.6918378,1056323.00850055,1083991.96866505,1185580.84397528
"Total Mortality","Neonatal Combined",2261348.28907627,79581.1009207668,2025612.84356858,2206050.92493722,2259217.55826273,2314555.47859173,2517733.22921218
"Total Mortality","Juvenile Female",158149.294231599,2836.07231614084,149853.299996069,156198.761855725,158108.633171909,159892.122757997,166556.918224682
"Total Mortality","Juvenile Male",116483.632740997,2782.42996202304,108349.074560475,114569.587045383,116455.498288732,118191.631136881,124748.162074176
"Total Mortality","Juvenile Combined",274632.926972596,5618.48573800512,258202.374556543,270768.348901109,274558.484446745,278083.25819701,291305.080298858
"Total Mortality","Adult Female",398876.333262255,616.804468746305,397089.526937938,398455.344139242,398859.008735732,399259.084665743,400741.921815193
"Total Mortality","Adult Male",184858.880735951,728.223577903031,182758.664982755,184361.560047775,184839.137197732,185315.698111867,187061.639147969
"Population Liveweight (kg)","Overall",546450655.097274,29875079.2745509,445198364.438981,526420454.54726,547249046.011207,566598686.314823,677864526.678395
"Population Liveweight (kg)","Neonatal Female",20094442.6790026,3638939.52392663,8650679.10439687,17618037.8714869,20276432.5281277,22754491.1852944,29597753.0838237
"Population Liveweight (kg)","Neonatal Male",19815406.0639598,3696378.36577449,4395552.97399953,17363263.797616,19867370.9110176,22551989.5816211,29294307.8264298
"Population Liveweight (kg)","Juvenile Female",30798535.8862735,1411304.81074149,26437832.4245502,29821120.36648,30755224.6810305,31781561.6219927,34793864.4678977
"Population Liveweight (kg)","Juvenile Male",26810276.8521371,1323034.35796504,22820342.288781,25912208.3903145,26716222.370483,27787520.8174879,30914122.0049591
"Population Liveweight (kg)","Juvenile Combined",57608812.7384106,2525227.9998875,49697774.6662254,55847916.492889,57397491.5899991,59456013.5331282,65340373.8687654
"Population Liveweight (kg)","Adult Female",318560561.446085,7488179.91611087,293742473.696228,313759265.660224,318489990.567576,323462129.634046,347440667.099222
"Population Liveweight (kg)","Adult Male",130371432.169816,29018712.9043104,28822578.271284,111425264.202194,129817784.670159,150428968.305227,261471652.057743
"Offtake Liveweight (kg)","Overall",52071567.9866523,9242902.6054722,21869419.8879126,45368042.2012057,52187044.9212085,58290911.8933549,85833098.7484405
"Offtake Liveweight (kg)","Juvenile Female",604215.883657625,18663.0824602052,554612.402632893,591148.683409879,604220.352877811,615995.965329768,682208.968041565
"Offtake Liveweight (kg)","Juvenile Male",2671900.50893922,95882.4652161873,2375311.04759464,2605747.39607921,2669725.64005388,2738027.48485922,2990278.84135955
"Offtake Liveweight (kg)","Adult Female",5905760.34568596,143522.883192068,5455508.94393733,5810672.29008591,5901667.15552523,6007123.80146927,6353356.89657614
"Offtake Liveweight (kg)","Adult Male",42889691.2483695,9238272.44173039,12798561.9737452,36230402.9149562,43066312.868831,49166476.6923247,76608726.9944531
"Meat (kg)","Overall",137869305.191141,8035931.28100962,110474365.569842,132376339.451119,138194476.702992,143095918.422086,165693315.701196
"Manure","Overall",718743227.628452,25433226.5099894,632814470.875943,702186401.825102,718120785.058929,735307526.367113,800720794.400798
"Manure","Neonatal Female",61836500.5052829,4373135.74613919,47084887.8294446,58816075.0893225,61678642.9035685,64731705.9782102,80393725.9272975
"Manure","Neonatal Male",55867465.3132603,4157385.85375088,42778437.2123976,53089897.8350053,55728098.2939562,58525733.9051623,72338723.0553948
"Manure","Neonatal Combined",117703965.818543,6734868.00747772,95013051.4580029,113150097.198726,117480347.779338,121930767.790964,143061990.028233
"Manure","Juvenile Female",57268468.9923724,3720608.35571667,45390898.4177207,54775205.2475058,57159439.4123773,59634679.6413104,70855595.6942051
"Manure","Juvenile Male",43434715.1305078,2977330.37414218,34264500.6595558,41408954.3363067,43463090.1405149,45435495.4625323,52059744.4773091
"Manure","Juvenile Combined",100703184.12288,5123680.33272364,85816455.159378,97186277.0412475,100861595.509753,104076808.046434,117677992.986587
"Manure","Adult Female",364469883.497276,22430342.7010887,291062962.404045,349859606.696225,364453572.027666,378601513.747209,442046245.121243
"Manure","Adult Male",135866194.189753,8528676.01911378,107662625.809048,129999944.826921,136116010.000786,141744828.716685,159136664.430469
"Hides","Overall",429184.070485401,3456.4452634424,419054.678450469,426807.148314565,429141.161564926,431340.251916933,439529.762716023
"Hides","Juvenile Female",79074.6471157993,1418.03615807042,74926.6499980344,78099.3809278627,79054.3165859545,79946.0613789987,83278.4591123409
"Hides","Juvenile Male",58241.8163704987,1391.21498101152,54174.5372802373,57284.7935226917,58227.749144366,59095.8155684407,62374.0810370882
"Hides","Juvenile Combined",137316.463486298,2809.24286900256,129101.187278272,135384.174450554,137279.242223373,139041.629098505,145652.540149429
"Hides","Adult Female",199438.166631128,308.402234373152,198544.763468969,199227.672069621,199429.504367866,199629.542332871,200370.960907596
"Hides","Adult Male",92429.4403679755,364.111788951516,91379.3324913773,92180.7800238875,92419.5685988661,92657.8490559334,93530.8195739845
"Milk","Overall",116602334.02083,4957217.74381865,102370441.398414,113172748.555045,116425003.845611,119988905.147809,133915410.365326
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",2132750028.18085,61051894.305095,1940107658.05426,2092400789.03104,2135408479.15148,2174915209.41922,2321953797.04672
"Cml Dry Matter","Neonatal Female",183712326.121902,10919749.0226188,151032621.575152,176251799.665561,183551138.340006,190834788.98383,222447615.568994
"Cml Dry Matter","Neonatal Male",166410464.481323,10049644.3023035,137024646.42821,159437977.239988,166388117.921785,173412027.304367,203381716.787071
"Cml Dry Matter","Neonatal Combined",350122790.603225,17321201.3999532,300388429.760162,337813871.954827,349924325.857661,361810809.973667,408157563.753297
"Cml Dry Matter","Juvenile Female",170407271.762395,9028402.53257073,142464949.209405,164556253.089156,170712352.743499,176778119.733408,198107591.250555
"Cml Dry Matter","Juvenile Male",128469211.151072,7095420.52247686,104371883.164361,123764617.231235,128494921.500635,133131658.775084,156755424.559355
"Cml Dry Matter","Juvenile Combined",298876482.913467,12720780.2780901,263277477.345678,290068827.056747,298819064.550454,307150526.484179,339297941.818492
"Cml Dry Matter","Adult Female",1080848613.05487,50737945.846909,896999051.441494,1047350907.84236,1084097494.75144,1113638471.44224,1262942195.79565
"Cml Dry Matter","Adult Male",402902141.609289,19893391.2141639,336362935.467918,389974059.840053,403512101.787384,416683595.575581,460666934.517395
"Value of Offtake","Overall",4825837037.42602,381629842.370579,3918771936.38342,4540855906.39718,4804118068.46191,5108900012.19771,5892301610.14568
