"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1726556.19320604,10953.6446115339,1689624.99275735,1719137.40246104,1726449.5097783,1733784.50260103,1769139.42372353
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30829.3653345144,649.384999734067,28518.5013332315,30392.9113291485,30824.1242982905,31259.588720693,33347.8798524317
"Num Offtake","Juvenile Male",135058.50010238,3821.72311058054,121429.396910393,132495.70453181,135026.899596541,137587.692169387,149889.988938236
"Num Offtake","Juvenile Combined",165887.865436894,4471.10165500957,149947.898243624,162887.533063745,165850.634932262,168846.122353569,183237.868790668
"Num Offtake","Adult Female",199076.528265311,357.310681486404,197894.235271196,198835.904594349,199072.803356879,199315.572097157,200510.327126119
"Num Offtake","Adult Male",1361591.79950384,6242.71631875166,1340987.26623168,1357375.64080428,1361512.63514216,1365759.52081452,1386619.81493573
"Cml Pop Growth","Overall",2590665.75061223,407493.934176385,1114424.81062979,2312969.09184319,2589670.36479729,2859899.24916654,4070407.16456056
"Cml Pop Growth","Neonatal Female",-192392.189199963,118355.412666327,-593270.307328108,-272508.590314493,-192837.28842704,-112956.042727257,265298.801562347
"Cml Pop Growth","Neonatal Male",372955.184237739,118355.412666327,-27922.9338904058,292838.783123209,372510.085010661,452391.330710444,830646.175000049
"Cml Pop Growth","Neonatal Combined",180562.995037775,236710.825332655,-621193.241218514,20330.192808716,179672.796583621,339435.287983188,1095944.9765624
"Cml Pop Growth","Juvenile Female",-12781.2161310343,66596.8758764023,-276043.081467736,-57962.990390203,-14123.4029608964,31424.8839414254,248448.852185505
"Cml Pop Growth","Juvenile Male",337773.425257388,64961.9307595821,81698.3848364663,293734.848356828,336551.911798469,380852.344240187,591460.163723695
"Cml Pop Growth","Juvenile Combined",324992.209126354,131555.28689328,-194344.69663127,235695.963017343,322343.173417328,412125.397295645,839909.015909199
"Cml Pop Growth","Adult Female",1379726.23607045,62027.2074638236,1157608.64080469,1338298.7062996,1379203.50178694,1420850.75047584,1620764.29482004
"Cml Pop Growth","Adult Male",705384.310377654,56957.844017584,499189.000399985,667430.108109893,704782.609926925,743016.111532602,927383.851776563
"Total Number Increase","Overall",4317221.94381827,414562.855037721,2818868.76229144,4034063.30539291,4316237.78590374,4590819.67110393,5828859.64448843
"Total Number Increase","Neonatal Female",-192392.189199963,118355.412666327,-593270.307328108,-272508.590314493,-192837.28842704,-112956.042727257,265298.801562347
"Total Number Increase","Neonatal Male",372955.184237739,118355.412666327,-27922.9338904058,292838.783123209,372510.085010661,452391.330710444,830646.175000049
"Total Number Increase","Neonatal Combined",180562.995037775,236710.825332655,-621193.241218514,20330.192808716,179672.796583621,339435.287983188,1095944.9765624
"Total Number Increase","Juvenile Female",18048.1492034801,67110.1126343255,-247524.580134505,-27462.9069394777,16661.3242888955,62497.5228381574,281709.411709479
"Total Number Increase","Juvenile Male",472831.925359768,67992.4932961767,203127.781746859,426655.059849105,471396.559263513,517987.044293646,740856.497011641
"Total Number Increase","Juvenile Combined",490880.074563248,135098.789500681,-44396.7983876457,399057.010961174,488144.200875783,580586.591249273,1022565.90872112
"Total Number Increase","Adult Female",1578802.76433576,62366.7688085768,1355636.86720295,1537145.04452608,1578305.23179976,1620169.24390538,1821104.7261682
"Total Number Increase","Adult Male",2066976.10988149,62889.276808217,1842319.20071608,2024921.44307461,2066470.13104743,2108639.29831913,2311168.55009829
"Total Mortality","Overall",2980868.04038097,97090.8936875486,2597615.30531521,2915620.23655803,2979039.49805734,3045157.36731884,3373038.11921906
"Total Mortality","Neonatal Female",1139296.02826462,44825.6258295233,961421.320949182,1108965.95507652,1138548.82742047,1169021.65885793,1320923.85660437
"Total Mortality","Neonatal Male",992724.487002996,44825.6258295233,814849.779687556,962394.413814895,991977.286158847,1022450.1175963,1174352.31534274
"Total Mortality","Neonatal Combined",2132020.51526762,89651.2516590466,1776271.10063674,2071360.36889142,2130526.11357932,2191471.77645423,2495276.17194711
"Total Mortality","Juvenile Female",154146.826672572,3246.92499867033,142592.506666158,151964.556645743,154120.621491453,156297.943603465,166739.399262159
"Total Mortality","Juvenile Male",112548.750085317,3184.76925881712,101191.164091994,110413.087109842,112522.41633045,114656.410141156,124908.324115197
"Total Mortality","Juvenile Combined",266695.576757889,6431.67555946724,243783.670758152,262372.131881153,266640.643909714,270954.852529242,291647.723377355
"Total Mortality","Adult Female",398153.056530621,714.621362972808,395788.470542392,397671.809188698,398145.606713759,398631.144194314,401020.654252239
"Total Mortality","Adult Male",183998.891824843,843.610313344819,181214.495436713,183429.140649227,183988.19393813,184562.097407368,187381.056072396
"Population Liveweight (kg)","Overall",536019274.18846,29965195.8939776,427350769.12914,515414749.862391,536013028.897059,556852919.454354,647748325.753317
"Population Liveweight (kg)","Neonatal Female",18386389.6306502,3463698.93605669,5747517.89647744,16036550.0125859,18502423.7845331,20846772.1964798,29272754.0668069
"Population Liveweight (kg)","Neonatal Male",18082186.7416584,3391947.10183626,5697235.68240507,15767930.6986853,18200940.4526964,20532213.737066,29013373.4689477
"Population Liveweight (kg)","Juvenile Female",28889981.0579976,1471681.05753624,23416734.9058967,27888564.4365488,28872060.843003,29863271.4072999,35292310.7844054
"Population Liveweight (kg)","Juvenile Male",24940313.1716938,1391917.85061588,20010607.710278,23985107.3464898,24913117.2876849,25868747.8903931,30006402.3141067
"Population Liveweight (kg)","Juvenile Combined",53830294.2296914,2696324.36972765,43626594.479169,52006131.381938,53788114.6465752,55622450.2627694,64757237.9558739
"Population Liveweight (kg)","Adult Female",315982490.06467,7660782.2805268,284747668.06357,310833555.296518,315934888.700545,321221203.203148,342674660.380831
"Population Liveweight (kg)","Adult Male",129737913.521791,27890214.0996883,24966570.667588,110553971.569916,129982778.74554,148590068.618329,240645387.62605
"Offtake Liveweight (kg)","Overall",51973936.0812188,9122590.69434354,19823570.5642601,45701872.6233042,52076311.2220938,58132948.358392,86643240.1781902
"Offtake Liveweight (kg)","Juvenile Female",588754.760571875,19389.51070547,519269.394034963,575475.943746583,588736.368403232,601891.653364445,660674.159586687
