"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1819630.46250002,NA,1819630.46250002,1819630.46250002,1819630.46250002,1819630.46250002,1819630.46250002
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",35614.9083333338,NA,35614.9083333338,35614.9083333338,35614.9083333338,35614.9083333338,35614.9083333338
"Num Offtake","Juvenile Male",158291.379999998,NA,158291.379999998,158291.379999998,158291.379999998,158291.379999998,158291.379999998
"Num Offtake","Juvenile Combined",193906.288333332,NA,193906.288333332,193906.288333332,193906.288333332,193906.288333332,193906.288333332
"Num Offtake","Adult Female",204824.983333345,NA,204824.983333345,204824.983333345,204824.983333345,204824.983333345,204824.983333345
"Num Offtake","Adult Male",1420899.19083334,NA,1420899.19083334,1420899.19083334,1420899.19083334,1420899.19083334,1420899.19083334
"Cml Pop Growth","Overall",6487426.9031663,NA,6487426.9031663,6487426.9031663,6487426.9031663,6487426.9031663,6487426.9031663
"Cml Pop Growth","Neonatal Female",569276.803203564,NA,569276.803203564,569276.803203564,569276.803203564,569276.803203564,569276.803203564
"Cml Pop Growth","Neonatal Male",1095942.80320354,NA,1095942.80320354,1095942.80320354,1095942.80320354,1095942.80320354,1095942.80320354
"Cml Pop Growth","Neonatal Combined",1665219.60640711,NA,1665219.60640711,1665219.60640711,1665219.60640711,1665219.60640711,1665219.60640711
"Cml Pop Growth","Juvenile Female",556104.424999967,NA,556104.424999967,556104.424999967,556104.424999967,556104.424999967,556104.424999967
"Cml Pop Growth","Juvenile Male",830063.119999984,NA,830063.119999984,830063.119999984,830063.119999984,830063.119999984,830063.119999984
"Cml Pop Growth","Juvenile Combined",1386167.54499995,NA,1386167.54499995,1386167.54499995,1386167.54499995,1386167.54499995,1386167.54499995
"Cml Pop Growth","Adult Female",2218749.2759259,NA,2218749.2759259,2218749.2759259,2218749.2759259,2218749.2759259,2218749.2759259
"Cml Pop Growth","Adult Male",1217290.47583335,NA,1217290.47583335,1217290.47583335,1217290.47583335,1217290.47583335,1217290.47583335
"Total Number Increase","Overall",8307057.36566631,NA,8307057.36566631,8307057.36566631,8307057.36566631,8307057.36566631,8307057.36566631
"Total Number Increase","Neonatal Female",569276.803203564,NA,569276.803203564,569276.803203564,569276.803203564,569276.803203564,569276.803203564
"Total Number Increase","Neonatal Male",1095942.80320354,NA,1095942.80320354,1095942.80320354,1095942.80320354,1095942.80320354,1095942.80320354
"Total Number Increase","Neonatal Combined",1665219.60640711,NA,1665219.60640711,1665219.60640711,1665219.60640711,1665219.60640711,1665219.60640711
"Total Number Increase","Juvenile Female",591719.333333301,NA,591719.333333301,591719.333333301,591719.333333301,591719.333333301,591719.333333301
"Total Number Increase","Juvenile Male",988354.499999982,NA,988354.499999982,988354.499999982,988354.499999982,988354.499999982,988354.499999982
"Total Number Increase","Juvenile Combined",1580073.83333328,NA,1580073.83333328,1580073.83333328,1580073.83333328,1580073.83333328,1580073.83333328
"Total Number Increase","Adult Female",2423574.25925924,NA,2423574.25925924,2423574.25925924,2423574.25925924,2423574.25925924,2423574.25925924
"Total Number Increase","Adult Male",2638189.66666668,NA,2638189.66666668,2638189.66666668,2638189.66666668,2638189.66666668,2638189.66666668
"Total Mortality","Overall",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Female",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Male",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Female",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Male",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,NA,0,0,0,0,0
"Total Mortality","Adult Female",0,NA,0,0,0,0,0
"Total Mortality","Adult Male",0,NA,0,0,0,0,0
"Population Liveweight (kg)","Overall",588453374.483158,NA,588453374.483158,588453374.483158,588453374.483158,588453374.483158,588453374.483158
"Population Liveweight (kg)","Neonatal Female",31318943.4774023,NA,31318943.4774023,31318943.4774023,31318943.4774023,31318943.4774023,31318943.4774023
"Population Liveweight (kg)","Neonatal Male",30506734.3394442,NA,30506734.3394442,30506734.3394442,30506734.3394442,30506734.3394442,30506734.3394442
"Population Liveweight (kg)","Juvenile Female",36304681.9674106,NA,36304681.9674106,36304681.9674106,36304681.9674106,36304681.9674106,36304681.9674106
"Population Liveweight (kg)","Juvenile Male",32486430.7418765,NA,32486430.7418765,32486430.7418765,32486430.7418765,32486430.7418765,32486430.7418765
"Population Liveweight (kg)","Juvenile Combined",68791112.7092872,NA,68791112.7092872,68791112.7092872,68791112.7092872,68791112.7092872,68791112.7092872
"Population Liveweight (kg)","Adult Female",320890041.621934,NA,320890041.621934,320890041.621934,320890041.621934,320890041.621934,320890041.621934
"Population Liveweight (kg)","Adult Male",136946542.33509,NA,136946542.33509,136946542.33509,136946542.33509,136946542.33509,136946542.33509
"Offtake Liveweight (kg)","Overall",51411992.4700934,NA,51411992.4700934,51411992.4700934,51411992.4700934,51411992.4700934,51411992.4700934
"Offtake Liveweight (kg)","Juvenile Female",621380.338024565,NA,621380.338024565,621380.338024565,621380.338024565,621380.338024565,621380.338024565
"Offtake Liveweight (kg)","Juvenile Male",2859953.10327128,NA,2859953.10327128,2859953.10327128,2859953.10327128,2859953.10327128,2859953.10327128
"Offtake Liveweight (kg)","Adult Female",5705908.80830699,NA,5705908.80830699,5705908.80830699,5705908.80830699,5705908.80830699,5705908.80830699
"Offtake Liveweight (kg)","Adult Male",42224750.2204906,NA,42224750.2204906,42224750.2204906,42224750.2204906,42224750.2204906,42224750.2204906
"Meat (kg)","Overall",133678408.88871,NA,133678408.88871,133678408.88871,133678408.88871,133678408.88871,133678408.88871
"Manure","Overall",276632993.129663,NA,276632993.129663,276632993.129663,276632993.129663,276632993.129663,276632993.129663
"Manure","Neonatal Female",76495921.443375,NA,76495921.443375,76495921.443375,76495921.443375,76495921.443375,76495921.443375
"Manure","Neonatal Male",68597259.0691088,NA,68597259.0691088,68597259.0691088,68597259.0691088,68597259.0691088,68597259.0691088
"Manure","Neonatal Combined",145093180.512484,NA,145093180.512484,145093180.512484,145093180.512484,145093180.512484,145093180.512484
