"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1431839.69875,0.448894954581256,1431839.38133334,1431839.54004167,1431839.69875,1431839.85745834,1431840.01616667
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",18667.1085,0.0275771644641762,18667.089,18667.09875,18667.1085,18667.11825,18667.128
"Num Offtake","Juvenile Male",81882.4109999989,0.165462986795347,81882.2939999989,81882.3524999989,81882.4109999989,81882.4694999989,81882.5279999989
"Num Offtake","Juvenile Combined",100549.519499999,0.193040151254379,100549.382999999,100549.451249999,100549.519499999,100549.587749999,100549.655999999
"Num Offtake","Adult Female",120023.785499999,0.00919238814958053,120023.778999999,120023.782249999,120023.785499999,120023.788749999,120023.791999999
"Num Offtake","Adult Male",1211266.39375,0.246662415269905,1211266.21933334,1211266.30654167,1211266.39375,1211266.48095834,1211266.56816667
"Cml Pop Growth","Overall",2650241.95514806,25.0197590262495,2650224.26350679,2650233.10932743,2650241.95514806,2650250.8009687,2650259.64678933
"Cml Pop Growth","Neonatal Female",-296428.02464819,5.71966403813137,-296432.069061418,-296430.046854804,-296428.02464819,-296426.002441576,-296423.980234963
"Cml Pop Growth","Neonatal Male",268919.237851807,5.87876306478738,268915.080938579,268917.159395193,268919.237851807,268921.316308421,268923.394765035
"Cml Pop Growth","Neonatal Combined",-27508.786796383,11.5984271029187,-27516.9881228385,-27512.8874596108,-27508.786796383,-27504.6861331552,-27500.5854699274
"Cml Pop Growth","Juvenile Female",-15921.0251666717,2.4472965697762,-15922.7556666718,-15921.8904166718,-15921.0251666717,-15920.1599166717,-15919.2946666717
"Cml Pop Growth","Juvenile Male",338761.25566668,2.19155961714609,338759.706000013,338760.480833346,338761.25566668,338762.030500013,338762.805333346
"Cml Pop Growth","Juvenile Combined",322840.230500008,4.63885618692229,322836.950333341,322838.590416675,322840.230500008,322841.870583341,322843.510666675
"Cml Pop Growth","Adult Female",1479750.33227776,4.47124568866784,1479747.17062962,1479748.75145369,1479750.33227776,1479751.91310184,1479753.49392591
"Cml Pop Growth","Adult Male",875160.179166675,4.3112300449418,875157.130666675,875158.654916675,875160.179166675,875161.703416675,875163.227666675
"Total Number Increase","Overall",4082081.65389807,25.4686539783612,4082063.64484013,4082072.6493691,4082081.65389807,4082090.65842703,4082099.662956
"Total Number Increase","Neonatal Female",-296428.02464819,5.71966403813137,-296432.069061418,-296430.046854804,-296428.02464819,-296426.002441576,-296423.980234963
"Total Number Increase","Neonatal Male",268919.237851807,5.87876306478738,268915.080938579,268917.159395193,268919.237851807,268921.316308421,268923.394765035
"Total Number Increase","Neonatal Combined",-27508.786796383,11.5984271029187,-27516.9881228385,-27512.8874596108,-27508.786796383,-27504.6861331552,-27500.5854699274
"Total Number Increase","Juvenile Female",2746.08333332829,2.47487373424038,2744.33333332823,2745.20833332826,2746.08333332829,2746.95833332832,2747.83333332836
"Total Number Increase","Juvenile Male",420643.666666679,2.3570226039826,420642.000000012,420642.833333345,420643.666666679,420644.500000012,420645.333333345
"Total Number Increase","Juvenile Combined",423389.750000007,4.83189633817667,423386.33333334,423388.041666673,423389.750000007,423391.45833334,423393.166666674
"Total Number Increase","Adult Female",1599774.11777776,4.48043807684829,1599770.94962962,1599772.53370369,1599774.11777776,1599775.70185184,1599777.28592591
"Total Number Increase","Adult Male",2086426.57291668,4.5578924602117,2086423.35000001,2086424.96145835,2086426.57291668,2086428.18437501,2086429.79583335
"Total Mortality","Overall",2621344.19958333,4.97744248449061,2621340.68,2621342.43979167,2621344.19958333,2621345.959375,2621347.71916667
"Total Mortality","Neonatal Female",1089875.79166665,2.47487373415292,1089874.04166665,1089874.91666665,1089875.79166665,1089876.66666665,1089877.54166665
"Total Mortality","Neonatal Male",943304.27916666,2.43362583873736,943302.558333327,943303.418749994,943304.27916666,943305.139583327,943305.999999994
"Total Mortality","Neonatal Combined",2033180.07083331,4.90849957289028,2033176.59999998,2033178.33541665,2033180.07083331,2033181.80624998,2033183.54166665
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",400079.285000023,0.0306412938525146,400079.263333356,400079.274166689,400079.285000023,400079.295833356,400079.306666689
"Total Mortality","Adult Male",188084.843749997,0.0383016173362228,188084.816666664,188084.830208331,188084.843749997,188084.857291664,188084.870833331
"Population Liveweight (kg)","Overall",538220972.480958,3176.43306512069,538218726.403597,538219849.442277,538220972.480958,538222095.519638,538223218.558318
"Population Liveweight (kg)","Neonatal Female",17217548.3768947,3069.13123322617,17215378.1733874,17216463.2751411,17217548.3768947,17218633.4786484,17219718.5804021
"Population Liveweight (kg)","Neonatal Male",16823316.3369857,2599.94388106497,16821477.8990367,16822397.1180112,16823316.3369857,16824235.5559602,16825154.7749347
"Population Liveweight (kg)","Juvenile Female",26284490.1092228,4870.76799036308,26281045.9561472,26282768.032685,26284490.1092228,26286212.1857606,26287934.2622984
"Population Liveweight (kg)","Juvenile Male",24951810.7818982,727.704398618778,24951296.2171832,24951553.4995407,24951810.7818982,24952068.0642557,24952325.3466132
"Population Liveweight (kg)","Juvenile Combined",51236300.891121,4143.06359174166,51233371.3027604,51234836.0969407,51236300.891121,51237765.6853013,51239230.4794816
"Population Liveweight (kg)","Adult Female",318935439.882421,438.144674964161,318935130.06735,318935284.974885,318935439.882421,318935594.789956,318935749.697492
"Population Liveweight (kg)","Adult Male",134008366.993535,7288.45397968376,134003213.278302,134005790.135919,134008366.993535,134010943.851152,134013520.708769
"Offtake Liveweight (kg)","Overall",43486494.1399917,4509.47279251749,43483305.4612005,43484899.8005961,43486494.1399917,43488088.4793872,43489682.8187828
"Offtake Liveweight (kg)","Juvenile Female",325202.218115435,294.264380924426,324994.141776222,325098.179945828,325202.218115435,325306.256285042,325410.294454648
"Offtake Liveweight (kg)","Juvenile Male",1563749.30664225,156.232152407529,1563638.83382785,1563694.07023505,1563749.30664225,1563804.54304946,1563859.77945666
"Offtake Liveweight (kg)","Adult Female",3553475.4954409,249.225457020494,3553299.2664302,3553387.38093555,3553475.4954409,3553563.60994625,3553651.72445161
"Offtake Liveweight (kg)","Adult Male",38044067.1197931,4620.66602102129,38040799.815516,38042433.4676545,38044067.1197931,38045700.7719316,38047334.4240701
"Meat (kg)","Overall",114652820.67448,6115.410517087,114648496.426233,114650658.550356,114652820.67448,114654982.798603,114657144.922726
"Manure","Overall",216598222.931084,4920.07699987598,216594743.911273,216596483.421178,216598222.931084,216599962.440989,216601701.950894
"Manure","Neonatal Female",55336113.403677,1753.89167179459,55334873.2149824,55335493.3093297,55336113.403677,55336733.4980243,55337353.5923716
"Manure","Neonatal Male",49471859.5603426,2154.44990443551,49470336.1342054,49471097.847274,49471859.5603426,49472621.2734112,49473382.9864798
"Manure","Neonatal Combined",104807972.96402,3908.3415762301,104805209.349188,104806591.156604,104807972.96402,104809354.771435,104810736.578851
"Manure","Juvenile Female",111790249.967064,1011.73542365641,111789534.562085,111789892.264574,111790249.967064,111790607.669553,111790965.372043
"Manure","Juvenile Male",83827843.2200481,3904.14533791664,83825082.5724049,83826462.8962265,83827843.2200481,83829223.5438696,83830603.8676912
"Manure","Juvenile Combined",195618093.187112,2892.40991427077,195616047.944448,195617070.56578,195618093.187112,195619115.808444,195620138.429776
"Manure","Adult Female",1091042500.31256,28970.9089293406,1091022014.7864,1091032257.54948,1091042500.31256,1091052743.07564,1091062985.83872
"Manure","Adult Male",413196297.647837,4184.16967335113,413193338.993088,413194818.320463,413196297.647837,413197776.975212,413199256.302587
"Hides","Overall",1725921.76312501,0.48336641038142,1725921.42133335,1725921.59222918,1725921.76312501,1725921.93402085,1725922.10491668
"Hides","Juvenile Female",18667.1085,0.0275771644641762,18667.089,18667.09875,18667.1085,18667.11825,18667.128
"Hides","Juvenile Male",81882.4109999989,0.165462986795347,81882.2939999989,81882.3524999989,81882.4109999989,81882.4694999989,81882.5279999989
"Hides","Juvenile Combined",100549.519499999,0.193040151254379,100549.382999999,100549.451249999,100549.519499999,100549.587749999,100549.655999999
"Hides","Adult Female",320063.42800001,0.0245130351478662,320063.410666677,320063.419333344,320063.42800001,320063.436666677,320063.445333344
