"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1462216.83083333,NA,1462216.83083333,1462216.83083333,1462216.83083333,1462216.83083333,1462216.83083333
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",19429.3914285711,NA,19429.3914285711,19429.3914285711,19429.3914285711,19429.3914285711,19429.3914285711
"Num Offtake","Juvenile Male",85859.4000000006,NA,85859.4000000006,85859.4000000006,85859.4000000006,85859.4000000006,85859.4000000006
"Num Offtake","Juvenile Combined",105288.791428572,NA,105288.791428572,105288.791428572,105288.791428572,105288.791428572,105288.791428572
"Num Offtake","Adult Female",117066.596190475,NA,117066.596190475,117066.596190475,117066.596190475,117066.596190475,117066.596190475
"Num Offtake","Adult Male",1239861.44321428,NA,1239861.44321428,1239861.44321428,1239861.44321428,1239861.44321428,1239861.44321428
"Cml Pop Growth","Overall",5390225.75693981,NA,5390225.75693981,5390225.75693981,5390225.75693981,5390225.75693981,5390225.75693981
"Cml Pop Growth","Neonatal Female",232848.025368064,NA,232848.025368064,232848.025368064,232848.025368064,232848.025368064,232848.025368064
"Cml Pop Growth","Neonatal Male",759513.858701379,NA,759513.858701379,759513.858701379,759513.858701379,759513.858701379,759513.858701379
"Cml Pop Growth","Neonatal Combined",992361.884069443,NA,992361.884069443,992361.884069443,992361.884069443,992361.884069443,992361.884069443
"Cml Pop Growth","Juvenile Female",342874.108571409,NA,342874.108571409,342874.108571409,342874.108571409,342874.108571409,342874.108571409
"Cml Pop Growth","Juvenile Male",645689.266666666,NA,645689.266666666,645689.266666666,645689.266666666,645689.266666666,645689.266666666
"Cml Pop Growth","Juvenile Combined",988563.375238076,NA,988563.375238076,988563.375238076,988563.375238076,988563.375238076,988563.375238076
"Cml Pop Growth","Adult Female",2144929.44084655,NA,2144929.44084655,2144929.44084655,2144929.44084655,2144929.44084655,2144929.44084655
"Cml Pop Growth","Adult Male",1264371.05678574,NA,1264371.05678574,1264371.05678574,1264371.05678574,1264371.05678574,1264371.05678574
"Total Number Increase","Overall",6852442.58777314,NA,6852442.58777314,6852442.58777314,6852442.58777314,6852442.58777314,6852442.58777314
"Total Number Increase","Neonatal Female",232848.025368064,NA,232848.025368064,232848.025368064,232848.025368064,232848.025368064,232848.025368064
"Total Number Increase","Neonatal Male",759513.858701379,NA,759513.858701379,759513.858701379,759513.858701379,759513.858701379,759513.858701379
"Total Number Increase","Neonatal Combined",992361.884069443,NA,992361.884069443,992361.884069443,992361.884069443,992361.884069443,992361.884069443
