"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1536745.15416667,NA,1536745.15416667,1536745.15416667,1536745.15416667,1536745.15416667,1536745.15416667
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",22650.1533333329,NA,22650.1533333329,22650.1533333329,22650.1533333329,22650.1533333329,22650.1533333329
"Num Offtake","Juvenile Male",99844.3866666677,NA,99844.3866666677,99844.3866666677,99844.3866666677,99844.3866666677,99844.3866666677
"Num Offtake","Juvenile Combined",122494.540000001,NA,122494.540000001,122494.540000001,122494.540000001,122494.540000001,122494.540000001
"Num Offtake","Adult Female",136457.366666679,NA,136457.366666679,136457.366666679,136457.366666679,136457.366666679,136457.366666679
"Num Offtake","Adult Male",1277793.24749999,NA,1277793.24749999,1277793.24749999,1277793.24749999,1277793.24749999,1277793.24749999
"Cml Pop Growth","Overall",5306084.09228059,NA,5306084.09228059,5306084.09228059,5306084.09228059,5306084.09228059,5306084.09228059
"Cml Pop Growth","Neonatal Female",229900.151001424,NA,229900.151001424,229900.151001424,229900.151001424,229900.151001424,229900.151001424
"Cml Pop Growth","Neonatal Male",756566.317668072,NA,756566.317668072,756566.317668072,756566.317668072,756566.317668072,756566.317668072
"Cml Pop Growth","Neonatal Combined",986466.468669496,NA,986466.468669496,986466.468669496,986466.468669496,986466.468669496,986466.468669496
"Cml Pop Growth","Juvenile Female",339913.679999981,NA,339913.679999981,339913.679999981,339913.679999981,339913.679999981,339913.679999981
"Cml Pop Growth","Juvenile Male",637466.613333333,NA,637466.613333333,637466.613333333,637466.613333333,637466.613333333,637466.613333333
"Cml Pop Growth","Juvenile Combined",977380.293333314,NA,977380.293333314,977380.293333314,977380.293333314,977380.293333314,977380.293333314
"Cml Pop Growth","Adult Female",2123920.91111109,NA,2123920.91111109,2123920.91111109,2123920.91111109,2123920.91111109,2123920.91111109
"Cml Pop Growth","Adult Male",1218316.41916669,NA,1218316.41916669,1218316.41916669,1218316.41916669,1218316.41916669,1218316.41916669
"Total Number Increase","Overall",6842829.24644726,NA,6842829.24644726,6842829.24644726,6842829.24644726,6842829.24644726,6842829.24644726
"Total Number Increase","Neonatal Female",229900.151001424,NA,229900.151001424,229900.151001424,229900.151001424,229900.151001424,229900.151001424
"Total Number Increase","Neonatal Male",756566.317668072,NA,756566.317668072,756566.317668072,756566.317668072,756566.317668072,756566.317668072
"Total Number Increase","Neonatal Combined",986466.468669496,NA,986466.468669496,986466.468669496,986466.468669496,986466.468669496,986466.468669496
"Total Number Increase","Juvenile Female",362563.833333314,NA,362563.833333314,362563.833333314,362563.833333314,362563.833333314,362563.833333314
"Total Number Increase","Juvenile Male",737311.000000001,NA,737311.000000001,737311.000000001,737311.000000001,737311.000000001,737311.000000001
"Total Number Increase","Juvenile Combined",1099874.83333331,NA,1099874.83333331,1099874.83333331,1099874.83333331,1099874.83333331,1099874.83333331
"Total Number Increase","Adult Female",2260378.27777777,NA,2260378.27777777,2260378.27777777,2260378.27777777,2260378.27777777,2260378.27777777
"Total Number Increase","Adult Male",2496109.66666668,NA,2496109.66666668,2496109.66666668,2496109.66666668,2496109.66666668,2496109.66666668
"Total Mortality","Overall",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Female",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Male",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Female",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Male",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,NA,0,0,0,0,0
"Total Mortality","Adult Female",0,NA,0,0,0,0,0
"Total Mortality","Adult Male",0,NA,0,0,0,0,0
"Population Liveweight (kg)","Overall",598270013.268674,NA,598270013.268674,598270013.268674,598270013.268674,598270013.268674,598270013.268674
"Population Liveweight (kg)","Neonatal Female",26811777.1506072,NA,26811777.1506072,26811777.1506072,26811777.1506072,26811777.1506072,26811777.1506072
"Population Liveweight (kg)","Neonatal Male",22353614.1053148,NA,22353614.1053148,22353614.1053148,22353614.1053148,22353614.1053148,22353614.1053148
"Population Liveweight (kg)","Juvenile Female",35628061.2861434,NA,35628061.2861434,35628061.2861434,35628061.2861434,35628061.2861434,35628061.2861434
"Population Liveweight (kg)","Juvenile Male",30656360.8034992,NA,30656360.8034992,30656360.8034992,30656360.8034992,30656360.8034992,30656360.8034992
"Population Liveweight (kg)","Juvenile Combined",66284422.0896426,NA,66284422.0896426,66284422.0896426,66284422.0896426,66284422.0896426,66284422.0896426
"Population Liveweight (kg)","Adult Female",338014766.300906,NA,338014766.300906,338014766.300906,338014766.300906,338014766.300906,338014766.300906
"Population Liveweight (kg)","Adult Male",144805433.622204,NA,144805433.622204,144805433.622204,144805433.622204,144805433.622204,144805433.622204
"Offtake Liveweight (kg)","Overall",46527410.7537366,NA,46527410.7537366,46527410.7537366,46527410.7537366,46527410.7537366,46527410.7537366
"Offtake Liveweight (kg)","Juvenile Female",432600.497278019,NA,432600.497278019,432600.497278019,432600.497278019,432600.497278019,432600.497278019
"Offtake Liveweight (kg)","Juvenile Male",1906802.50372534,NA,1906802.50372534,1906802.50372534,1906802.50372534,1906802.50372534,1906802.50372534
"Offtake Liveweight (kg)","Adult Female",4039735.09215281,NA,4039735.09215281,4039735.09215281,4039735.09215281,4039735.09215281,4039735.09215281
"Offtake Liveweight (kg)","Adult Male",40148272.6605804,NA,40148272.6605804,40148272.6605804,40148272.6605804,40148272.6605804,40148272.6605804
"Meat (kg)","Overall",121102724.955542,NA,121102724.955542,121102724.955542,121102724.955542,121102724.955542,121102724.955542
"Manure","Overall",252862124.257556,NA,252862124.257556,252862124.257556,252862124.257556,252862124.257556,252862124.257556
