"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1717166.58119547,9929.06414490062,1679580.38503916,1710421.64530169,1717181.80198194,1723686.44057943,1757314.47852946
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30171.2327246253,589.856473405849,27780.800035406,29767.4221485031,30174.7987449974,30554.7024775656,32580.0609248315
"Num Offtake","Juvenile Male",131178.038286183,3471.66244617577,117087.030563842,128803.542820545,131201.787722761,133430.481535165,145353.849180619
"Num Offtake","Juvenile Combined",161349.271010808,4061.51281177203,144867.830599248,158569.941042217,161375.517785765,163983.562390083,177933.91010545
"Num Offtake","Adult Female",199620.216520039,324.2555053677,198401.010462866,199404.53472236,199621.635185724,199833.522571719,200895.345760629
"Num Offtake","Adult Male",1356197.09366462,5655.29775450095,1334946.64914601,1352428.39300008,1356213.52345202,1359905.45405223,1378485.22266338
"Cml Pop Growth","Overall",2177241.09254859,375787.021908848,473500.894642603,1923965.15355329,2174451.71112385,2425114.91549189,3648674.8392614
"Cml Pop Growth","Neonatal Female",-306944.388546469,108658.940459478,-717199.535503808,-381460.195688682,-308233.339738382,-234401.600419395,177439.840736555
"Cml Pop Growth","Neonatal Male",258402.984891233,108658.940459478,-151852.162066106,183887.17774902,257114.03369932,330945.773018307,742787.214174256
"Cml Pop Growth","Neonatal Combined",-48541.4036552354,217317.880918957,-869051.697569915,-197573.017939662,-51119.3060390614,96544.1725989116,920227.054910811
"Cml Pop Growth","Juvenile Female",-91351.9136627515,61226.5089362578,-372409.469843901,-132336.609095786,-91455.8736436736,-51098.7349602465,137800.208004573
"Cml Pop Growth","Juvenile Male",261229.214677071,59725.3627388065,-12530.5636980271,221241.249027339,261150.526807954,300473.355614615,484342.137840049
"Cml Pop Growth","Juvenile Combined",169877.30101432,120948.824355181,-384940.033541928,88859.7421904005,169569.090510705,249364.823746601,622142.345844622
"Cml Pop Growth","Adult Female",1409071.52827333,56504.2919143026,1179203.06479722,1370428.26789841,1409502.66992792,1445704.75708973,1639682.47385585
"Cml Pop Growth","Adult Male",646833.666916184,51773.1562564994,434647.435613764,611492.103153814,647172.891984013,680334.673555214,857797.143500531
"Total Number Increase","Overall",3894407.67374406,382309.202429042,2153081.27968176,3636353.4693458,3892457.36238275,4147592.56672634,5397209.93921636
"Total Number Increase","Neonatal Female",-306944.388546469,108658.940459478,-717199.535503808,-381460.195688682,-308233.339738382,-234401.600419395,177439.840736555
"Total Number Increase","Neonatal Male",258402.984891233,108658.940459478,-151852.162066106,183887.17774902,257114.03369932,330945.773018307,742787.214174256
"Total Number Increase","Neonatal Combined",-48541.4036552354,217317.880918957,-869051.697569915,-197573.017939662,-51119.3060390614,96544.1725989116,920227.054910811
"Total Number Increase","Juvenile Female",-61180.6809381262,61695.9005334529,-344628.669808495,-102509.461071487,-61351.5965313318,-20531.1835830395,169958.476376255
"Total Number Increase","Juvenile Male",392407.252963254,62497.4918095874,104556.466865815,350585.23181987,392159.037395143,433705.517680214,627231.796509604
"Total Number Increase","Juvenile Combined",331226.572025128,124189.998425254,-240072.202942679,247876.435135298,330833.30350884,413165.084057865,797190.272885859
"Total Number Increase","Adult Female",1608691.74479337,56811.6852070507,1377684.33995157,1569863.99495457,1609112.98283672,1645501.90095223,1840577.81961648
"Total Number Increase","Adult Male",2003030.7605808,57132.4856086104,1770878.71489933,1964005.09675826,2003467.92807265,2040088.02789959,2236282.36616391
"Total Mortality","Overall",2771058.98517223,88662.3622132657,2368847.42535124,2710819.56255106,2771381.22874234,2829963.8998971,3108546.92708289
"Total Mortality","Neonatal Female",1087379.56430164,41022.0616057307,900324.366868197,1059534.71984705,1087520.58938683,1114560.950928,1241732.57529125
"Total Mortality","Neonatal Male",940808.02304001,41022.0616057307,753752.82560657,912963.178585428,940949.048125203,967989.409666373,1095161.03402962
"Total Mortality","Neonatal Combined",2028187.58734165,82044.1232114615,1654077.19247477,1972497.89843248,2028469.63751203,2082550.36059437,2336893.60932087
"Total Mortality","Juvenile Female",150856.163623127,2949.28236702925,138904.00017703,148837.110742515,150873.993724987,152773.512387828,162900.304624157
"Total Mortality","Juvenile Male",109315.031905153,2893.05203847981,97572.5254698687,107336.285683787,109334.823102301,111192.067945971,121128.207650516
"Total Mortality","Juvenile Combined",260171.195528279,5842.31671352058,236476.525646899,256167.956579042,260210.625885016,263960.672505337,284028.512274673
"Total Mortality","Adult Female",299430.324780059,486.38325805155,297601.515694299,299106.802083541,299432.452778586,299750.283857579,301343.018640944
"Total Mortality","Adult Male",183269.877522246,764.229426283913,180398.195830542,182760.593648659,183272.097763786,183771.007304356,186281.786846403
"Population Liveweight (kg)","Overall",528289282.41795,29671132.4915093,413167505.024399,508535056.180582,528133418.349417,547999701.403303,657931068.506653
"Population Liveweight (kg)","Neonatal Female",17067593.5024898,3185041.14463969,4191368.75100062,14895045.9228924,17139980.7479136,19332834.1427558,27040647.2581873
"Population Liveweight (kg)","Neonatal Male",16766107.5640466,3090388.49746618,5592689.49965628,14625045.1134964,16812356.4224188,18988487.5508236,28218406.9634765
"Population Liveweight (kg)","Juvenile Female",27384481.7029178,1355445.6324705,21980732.9444522,26469783.5245711,27369056.4764681,28273012.6543444,32613629.6082818
"Population Liveweight (kg)","Juvenile Male",23472094.2666323,1288352.19692801,18398701.6156813,22608477.889132,23458473.6739869,24326395.1135036,28335689.9573333
"Population Liveweight (kg)","Juvenile Combined",50856575.9695501,2480474.12682468,40379434.5601335,49214452.6571319,50842477.1288308,52483762.7598278,60392579.4338272
"Population Liveweight (kg)","Adult Female",316871548.335565,7644641.97958743,288501803.069203,311827801.586652,316757781.701085,322077752.36733,345405456.333864
"Population Liveweight (kg)","Adult Male",126727457.046298,27743180.4476125,17087443.6234149,108564390.710247,126336354.325751,144898288.547885,241945642.171903
"Offtake Liveweight (kg)","Overall",51910584.7445196,9179369.06301606,16630608.9589366,45788609.6997675,51789168.0989233,58249113.4183665,84711578.6582712
"Offtake Liveweight (kg)","Juvenile Female",575970.559641408,18485.9798768674,512269.759267713,563358.943347285,575571.562546653,588084.387409834,642907.538324376
"Offtake Liveweight (kg)","Juvenile Male",2505021.70513406,90624.0638762616,2201341.38484439,2441993.87451161,2504627.55436454,2566638.73897177,2846290.97689466
"Offtake Liveweight (kg)","Adult Female",5906359.9331709,138886.868110989,5399052.01690729,5812066.02102929,5905922.56466584,6000042.05753742,6395562.70854582
"Offtake Liveweight (kg)","Adult Male",42923232.5465733,9176200.7219378,7794138.69962323,36835596.154773,42823703.6511655,49246434.2924742,75575895.1038473
"Meat (kg)","Overall",137571230.379298,7964792.37705435,108959355.681375,132144239.210395,137556828.470372,142959728.108575,166199457.503426
"Manure","Overall",1786434701.92155,68545398.8990613,1528654900.51496,1740260639.57136,1786098455.21216,1832656155.22501,2068326333.17027
"Manure","Neonatal Female",54950078.7042787,4168741.58986703,37977328.2800034,52121425.6662605,54896983.1258171,57665707.411706,71773818.0972913
"Manure","Neonatal Male",49135217.1982412,3918494.83909157,35188386.8340663,46504522.2261226,49083773.1790019,51716955.6746039,64567567.5742464
"Manure","Neonatal Combined",104085295.90252,6561372.37569818,78225268.3183518,99710900.5357235,103982269.563585,108358092.37491,131660160.615134
"Manure","Juvenile Female",108313782.684697,6400829.92669812,83405390.8872366,104062644.070125,108278322.327945,112589488.11612,131639598.482186
"Manure","Juvenile Male",80531946.7167872,5032973.5683186,61261803.5893691,77175953.0062838,80503299.1781837,83961120.6002545,100328643.218939
"Manure","Juvenile Combined",188845729.401484,8871082.76612731,153761849.635104,182740243.236808,188805494.378197,194696349.727839,222771655.636953
"Manure","Adult Female",1091306835.12208,62482798.9372209,819038311.185538,1048746469.44276,1090833915.79187,1133454613.24588,1313435931.80988
"Manure","Adult Male",402196841.495465,22828364.7981756,310567296.974511,386944706.175663,402472809.573652,417388426.296167,491530830.151876
"Hides","Overall",371435.698915292,3522.37166138149,357385.116438236,369025.91155366,371451.667782483,373719.375508037,385826.65888101
"Hides","Juvenile Female",75428.0818115633,1474.64118351462,69452.0000885149,74418.5553712576,75436.9968624934,76386.7561939141,81450.1523120787
"Hides","Juvenile Male",54657.5159525763,1446.5260192399,48786.2627349344,53668.1428418936,54667.4115511503,55596.0339729856,60564.1038252579
