"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1723803.06201182,10086.6474645008,1690602.60475602,1716411.2690648,1723909.21998221,1730913.56328767,1755576.07239541
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",30773.1889412452,596.208142378072,28917.7712929163,30335.7839018363,30761.5613451979,31187.7401007266,32637.2044481054
"Num Offtake","Juvenile Male",133965.547615462,3508.48081051635,123019.159000487,131397.769503295,133889.419241069,136408.674544314,144931.063633089
"Num Offtake","Juvenile Combined",164738.736556708,4104.6831739049,151936.930293404,161733.495775222,164649.174427347,167595.022360654,177568.268081194
"Num Offtake","Adult Female",199058.276558537,329.519517286664,197936.113658008,198815.394420692,199061.053584451,199289.765190946,200135.634351818
"Num Offtake","Adult Male",1360006.04889658,5756.0296300172,1340461.14165204,1355751.79978865,1360084.74144907,1364032.64365302,1378736.73504419
"Cml Pop Growth","Overall",2496889.1561292,360553.998206395,1195550.20920544,2248422.16480617,2486022.87210906,2726360.17082094,3793351.77492981
"Cml Pop Growth","Neonatal Female",-209631.344019236,105385.437992061,-563183.359898031,-279153.280088314,-213763.63741662,-138290.101008799,148385.158381246
"Cml Pop Growth","Neonatal Male",348733.960320258,105385.437992061,-4818.05555853783,279212.024251179,344601.666922874,420075.203330694,706750.46272074
"Cml Pop Growth","Neonatal Combined",139102.616301023,210770.875984121,-568001.415456569,58.7441628650413,130838.029506255,281785.102321895,855135.621101987
"Cml Pop Growth","Juvenile Female",-23386.2680632292,59592.7567816217,-212462.299221281,-62739.5294103241,-27766.8523807721,14118.209829063,168133.464517736
"Cml Pop Growth","Juvenile Male",317939.58083103,58096.5370483469,133769.064290492,279648.449518231,313658.152390102,353802.146025552,505269.93309712
"Cml Pop Growth","Juvenile Combined",294553.312767801,117686.003482564,-78693.2349307891,216817.604001884,286030.553251349,367920.355854615,673403.397614856
"Cml Pop Growth","Adult Female",1374264.75023481,56930.2144641168,1195672.11108969,1332433.28270001,1372506.72764914,1413879.24882748,1551999.02062657
"Cml Pop Growth","Adult Male",688968.476825559,52249.4448050859,522816.372975512,651128.661694419,687872.108103595,725611.769198263,853168.921849006
"Total Number Increase","Overall",4220692.21814102,366955.91893047,2898876.65631115,3966433.37747712,4210856.9623956,4457027.87346192,5538138.35301604
"Total Number Increase","Neonatal Female",-209631.344019236,105385.437992061,-563183.359898031,-279153.280088314,-213763.63741662,-138290.101008799,148385.158381246
"Total Number Increase","Neonatal Male",348733.960320258,105385.437992061,-4818.05555853783,279212.024251179,344601.666922874,420075.203330694,706750.46272074
"Total Number Increase","Neonatal Combined",139102.616301023,210770.875984121,-568001.415456569,58.7441628650413,130838.029506255,281785.102321895,855135.621101987
"Total Number Increase","Juvenile Female",7386.92087801605,60063.6639633079,-183212.693948666,-32303.4540425302,2779.10871536095,45237.3291139567,200259.693583856
"Total Number Increase","Juvenile Male",451905.128446492,60877.0824977371,258739.726311774,411082.297922898,447101.197087769,490279.292527736,647214.487931588
"Total Number Increase","Juvenile Combined",459292.049324509,120937.133917355,75527.0323631082,378587.656519837,449892.181420023,535657.847340426,847474.181515444
"Total Number Increase","Adult Female",1573323.02679335,57244.0612083231,1393918.15217823,1531242.7545429,1571604.64966579,1613195.50651196,1752070.3559208
"Total Number Increase","Adult Male",2048974.52572213,57730.0039227063,1868473.72813916,2006581.19208054,2047518.88295724,2089258.70549768,2229339.89013381
"Total Mortality","Overall",2431559.47287104,67815.0142978709,2216323.58658251,2383417.33470137,2428500.9786383,2477272.96342352,2647354.22156768
"Total Mortality","Neonatal Female",850125.08692355,30477.5973268408,753488.424959652,828844.855496523,848230.863766735,870582.666907922,947098.064385406
"Total Mortality","Neonatal Male",734029.330575735,30477.5973268408,637392.668611836,712749.099148708,732135.10741892,754486.910560107,831002.308037591
"Total Mortality","Neonatal Combined",1584154.41749928,60955.1946536815,1390881.09357149,1541593.95464523,1580365.97118565,1625069.57746803,1778100.372423
"Total Mortality","Juvenile Female",153865.944706226,2981.04071189036,144588.856464581,151678.919509182,153807.806725989,155938.700503633,163186.022240527
"Total Mortality","Juvenile Male",111637.956346219,2923.73400876363,102515.965833739,109498.141252746,111574.516034224,113673.895453595,120775.886360907
"Total Mortality","Juvenile Combined",265503.901052445,5904.75798210164,247104.822298321,261171.083564834,265376.667782169,269611.269816168,283961.908601434
