"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1555929.53504636,9680.67735584114,1527822.04082244,1549367.01510815,1556045.56003906,1562496.04246583,1583130.84500553
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",21182.835013469,468.447301757731,19744.8195593107,20863.9685952735,21184.6790388864,21504.6330906361,22966.8648363675
"Num Offtake","Juvenile Male",95264.6462071177,2904.05507434658,86606.687467986,93276.7293198038,95260.98408383,97227.6565027749,104105.052654592
"Num Offtake","Juvenile Combined",116447.481220587,2938.59067318387,107362.65626398,114506.60141891,116490.94920538,118509.219549687,125088.634010044
"Num Offtake","Adult Female",142276.013706133,291.035307420639,141237.840807154,142080.827064818,142264.680880736,142477.843942247,143495.632362804
"Num Offtake","Adult Male",1297206.04011964,6836.41594251115,1276864.94801025,1292588.88975084,1297107.27429201,1301748.13232009,1315500.71523766
"Cml Pop Growth","Overall",2405853.35462413,265341.0205354,1486557.35658584,2234484.53034369,2411548.23230774,2573422.11504139,3353731.3496369
"Cml Pop Growth","Neonatal Female",-322777.234617166,103620.609275306,-628423.638990707,-390262.179142152,-322263.513819088,-253744.853609625,103201.998168555
"Cml Pop Growth","Neonatal Male",247589.023207266,106041.129204933,-81797.5524934987,180966.717535724,243340.450419173,325315.013954613,562986.255107958
"Cml Pop Growth","Neonatal Combined",-75188.2114098996,150339.16359008,-550154.423229465,-171094.720627534,-73403.71559832,25943.7798345745,499728.443872471
"Cml Pop Growth","Juvenile Female",-94624.9758464635,59283.1976074268,-281067.841808236,-135429.510803963,-94663.4695457969,-54259.7641999418,152593.563100813
"Cml Pop Growth","Juvenile Male",272602.73705936,60568.6058644886,105011.484469235,230242.818303341,273522.841070224,313945.213811697,494430.254254178
"Cml Pop Growth","Juvenile Combined",177977.761212897,84314.3071658933,-125941.968498897,121600.509752618,184738.67119239,234760.490275034,431479.760525236
"Cml Pop Growth","Adult Female",1370385.06621394,55717.5337249924,1191698.1014944,1331851.43018228,1369938.48921616,1408745.73824953,1577424.48001711
"Cml Pop Growth","Adult Male",932678.738607191,55082.3731418585,768186.031874211,895176.289690853,932925.587284826,969927.868960598,1097675.02940696
"Total Number Increase","Overall",3961782.88967049,270480.705578923,3032264.40099448,3785424.11836611,3968549.53226198,4135668.16598195,4900718.41291525
"Total Number Increase","Neonatal Female",-322777.234617166,103620.609275306,-628423.638990707,-390262.179142152,-322263.513819088,-253744.853609625,103201.998168555
"Total Number Increase","Neonatal Male",247589.023207266,106041.129204933,-81797.5524934987,180966.717535724,243340.450419173,325315.013954613,562986.255107958
"Total Number Increase","Juvenile Female",-73442.1408329945,59679.2063815101,-261211.150429892,-114342.102454427,-73722.3650116236,-32689.8710509427,175560.42793718
"Total Number Increase","Juvenile Male",367867.383266478,63062.441656354,193557.405612828,323494.514243242,368708.545224441,411133.108304458,597507.123117489
"Total Number Increase","Adult Female",1512661.07992007,56000.1328639654,1332935.94230156,1473906.2028574,1512249.87826595,1551223.79363654,1720920.11237991
"Total Number Increase","Adult Male",2229884.77872683,61730.2890995486,2046757.42768303,2187398.07883933,2230354.83145525,2271043.58940934,2412402.898696
"Total Mortality","Overall",2682203.47467782,67676.1444306529,2466656.39510155,2639043.77157866,2684221.30633666,2726009.83959329,2883307.10140968
"Total Mortality","Neonatal Female",1064132.66957379,43296.0658572478,933203.249879949,1033952.66863731,1064262.00312703,1093599.84602271,1253769.47849767
"Total Mortality","Neonatal Male",952445.144263395,45134.3100853678,824258.973294445,921979.96271626,952087.077103787,983588.329234642,1104869.55219603
"Total Mortality","Neonatal Combined",2016577.81383719,62638.9654096926,1814267.22072446,1976494.83540135,2018564.26143128,2057287.53114938,2202768.74777723
"Total Mortality","Juvenile Female",150045.081345405,3318.16838745059,139859.138545117,147786.444216521,150058.143192112,152324.484392006,162681.959257603
"Total Mortality","Juvenile Male",112465.207327847,3428.39835165915,102244.006038595,110118.361002546,112460.883987855,114782.650037998,122901.798272782
"Total Mortality","Juvenile Combined",262510.288673253,4755.67544082511,249172.151725461,259352.382960468,262444.366031924,265683.667992516,277251.540727408
"Total Mortality","Adult Female",403115.372167378,824.600037691811,400173.882286937,402562.343350317,403083.262495418,403687.224503032,406570.958361277
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Liveweight (kg)","Overall",6040840465.4955,99838218.2780858,5752646291.7677,5971897182.51497,6038398665.43241,6105349987.68358,6371405649.21069
"Liveweight (kg)","Neonatal Female",208419824.390341,13399152.7886008,173104842.519173,199464566.056083,209094556.117816,217229584.638183,259037139.542876
