"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1642876.29178574,NA,1642876.29178574,1642876.29178574,1642876.29178574,1642876.29178574,1642876.29178574
"Num Offtake","Neonatal Female",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Male",0,NA,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,NA,0,0,0,0,0
"Num Offtake","Juvenile Female",28207.8428571428,NA,28207.8428571428,28207.8428571428,28207.8428571428,28207.8428571428,28207.8428571428
"Num Offtake","Juvenile Male",123785.691428572,NA,123785.691428572,123785.691428572,123785.691428572,123785.691428572,123785.691428572
"Num Offtake","Juvenile Combined",151993.534285715,NA,151993.534285715,151993.534285715,151993.534285715,151993.534285715,151993.534285715
"Num Offtake","Adult Female",171674.54714287,NA,171674.54714287,171674.54714287,171674.54714287,171674.54714287,171674.54714287
"Num Offtake","Adult Male",1319208.21035715,NA,1319208.21035715,1319208.21035715,1319208.21035715,1319208.21035715,1319208.21035715
"Cml Pop Growth","Overall",4149764.5425358,NA,4149764.5425358,4149764.5425358,4149764.5425358,4149764.5425358,4149764.5425358
"Cml Pop Growth","Neonatal Female",169696.398318198,NA,169696.398318198,169696.398318198,169696.398318198,169696.398318198,169696.398318198
"Cml Pop Growth","Neonatal Male",696362.39831818,NA,696362.39831818,696362.39831818,696362.39831818,696362.39831818,696362.39831818
"Cml Pop Growth","Neonatal Combined",866058.796636378,NA,866058.796636378,866058.796636378,866058.796636378,866058.796636378,866058.796636378
"Cml Pop Growth","Juvenile Female",235507.740476165,NA,235507.740476165,235507.740476165,235507.740476165,235507.740476165,235507.740476165
"Cml Pop Growth","Juvenile Male",541433.441904765,NA,541433.441904765,541433.441904765,541433.441904765,541433.441904765,541433.441904765
"Cml Pop Growth","Juvenile Combined",776941.18238093,NA,776941.18238093,776941.18238093,776941.18238093,776941.18238093,776941.18238093
"Cml Pop Growth","Adult Female",1605961.11137562,NA,1605961.11137562,1605961.11137562,1605961.11137562,1605961.11137562,1605961.11137562
"Cml Pop Growth","Adult Male",900803.452142864,NA,900803.452142864,900803.452142864,900803.452142864,900803.452142864,900803.452142864
"Total Number Increase","Overall",5792640.83432153,NA,5792640.83432153,5792640.83432153,5792640.83432153,5792640.83432153,5792640.83432153
"Total Number Increase","Neonatal Female",169696.398318198,NA,169696.398318198,169696.398318198,169696.398318198,169696.398318198,169696.398318198
"Total Number Increase","Neonatal Male",696362.39831818,NA,696362.39831818,696362.39831818,696362.39831818,696362.39831818,696362.39831818
"Total Number Increase","Neonatal Combined",866058.796636378,NA,866058.796636378,866058.796636378,866058.796636378,866058.796636378,866058.796636378
"Total Number Increase","Juvenile Female",263715.583333308,NA,263715.583333308,263715.583333308,263715.583333308,263715.583333308,263715.583333308
"Total Number Increase","Juvenile Male",665219.133333337,NA,665219.133333337,665219.133333337,665219.133333337,665219.133333337,665219.133333337
"Total Number Increase","Juvenile Combined",928934.716666645,NA,928934.716666645,928934.716666645,928934.716666645,928934.716666645,928934.716666645
"Total Number Increase","Adult Female",1777635.65851849,NA,1777635.65851849,1777635.65851849,1777635.65851849,1777635.65851849,1777635.65851849
"Total Number Increase","Adult Male",2220011.66250002,NA,2220011.66250002,2220011.66250002,2220011.66250002,2220011.66250002,2220011.66250002
"Total Mortality","Overall",872399.230833357,NA,872399.230833357,872399.230833357,872399.230833357,872399.230833357,872399.230833357
"Total Mortality","Neonatal Female",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Male",0,NA,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,NA,0,0,0,0,0
"Total Mortality","Juvenile Female",164545.750000003,NA,164545.750000003,164545.750000003,164545.750000003,164545.750000003,164545.750000003
"Total Mortality","Juvenile Male",120347.200000001,NA,120347.200000001,120347.200000001,120347.200000001,120347.200000001,120347.200000001
"Total Mortality","Juvenile Combined",284892.950000004,NA,284892.950000004,284892.950000004,284892.950000004,284892.950000004,284892.950000004
"Total Mortality","Adult Female",400573.943333356,NA,400573.943333356,400573.943333356,400573.943333356,400573.943333356,400573.943333356
"Total Mortality","Adult Male",186932.337499997,NA,186932.337499997,186932.337499997,186932.337499997,186932.337499997,186932.337499997
"Population Liveweight (kg)","Overall",564169928.390541,NA,564169928.390541,564169928.390541,564169928.390541,564169928.390541,564169928.390541
"Population Liveweight (kg)","Neonatal Female",22527087.1511293,NA,22527087.1511293,22527087.1511293,22527087.1511293,22527087.1511293,22527087.1511293
"Population Liveweight (kg)","Neonatal Male",21741646.7620723,NA,21741646.7620723,21741646.7620723,21741646.7620723,21741646.7620723,21741646.7620723
"Population Liveweight (kg)","Juvenile Female",33627132.3980558,NA,33627132.3980558,33627132.3980558,33627132.3980558,33627132.3980558,33627132.3980558
"Population Liveweight (kg)","Juvenile Male",28838143.2831188,NA,28838143.2831188,28838143.2831188,28838143.2831188,28838143.2831188,28838143.2831188
"Population Liveweight (kg)","Juvenile Combined",62465275.6811746,NA,62465275.6811746,62465275.6811746,62465275.6811746,62465275.6811746,62465275.6811746
"Population Liveweight (kg)","Adult Female",322512903.527639,NA,322512903.527639,322512903.527639,322512903.527639,322512903.527639,322512903.527639
"Population Liveweight (kg)","Adult Male",134923015.268526,NA,134923015.268526,134923015.268526,134923015.268526,134923015.268526,134923015.268526
"Offtake Liveweight (kg)","Overall",49458400.5241503,NA,49458400.5241503,49458400.5241503,49458400.5241503,49458400.5241503,49458400.5241503
"Offtake Liveweight (kg)","Juvenile Female",538656.918512429,NA,538656.918512429,538656.918512429,538656.918512429,538656.918512429,538656.918512429
"Offtake Liveweight (kg)","Juvenile Male",2365639.72401352,NA,2365639.72401352,2365639.72401352,2365639.72401352,2365639.72401352,2365639.72401352
"Offtake Liveweight (kg)","Adult Female",5080194.14982369,NA,5080194.14982369,5080194.14982369,5080194.14982369,5080194.14982369,5080194.14982369
"Offtake Liveweight (kg)","Adult Male",41473909.7318007,NA,41473909.7318007,41473909.7318007,41473909.7318007,41473909.7318007,41473909.7318007
"Meat (kg)","Overall",130186470.433635,NA,130186470.433635,130186470.433635,130186470.433635,130186470.433635,130186470.433635
