"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1962028.77074613,8946.95481155266,1940916.40624998,1955258.04081548,1962150.80136432,1968524.32298008,1984848.66485579
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",0,0,0,0,0,0,0
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",0,0,0,0,0,0,0
"Num Offtake","Adult Female",1449067.1701888,0,1449067.1701888,1449067.1701888,1449067.1701888,1449067.1701888,1449067.1701888
"Num Offtake","Adult Male",512961.60055733,8946.95481155266,491849.236061175,506190.87062668,513083.63117552,519457.152791279,535781.494666984
"Cml Pop Growth","Overall",-3106852.7972466,178.403708848797,-3107076.50810136,-3107003.24483038,-3106757.61827811,-3106650.90625111,-3106597.26550751
"Cml Pop Growth","Neonatal Female",-376153.710919647,0,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647
"Cml Pop Growth","Neonatal Male",-376153.710919647,0,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647
"Cml Pop Growth","Neonatal Combined",-752307.421839294,0,-752307.421839294,-752307.421839294,-752307.421839294,-752307.421839294,-752307.421839294
"Cml Pop Growth","Juvenile Female",-403030.151621558,0,-403030.151621558,-403030.151621558,-403030.151621558,-403030.151621558,-403030.151621558
"Cml Pop Growth","Juvenile Male",-187786.68457153,0,-187786.68457153,-187786.68457153,-187786.68457153,-187786.68457153,-187786.68457153
"Cml Pop Growth","Juvenile Combined",-590816.836193088,0,-590816.836193088,-590816.836193088,-590816.836193088,-590816.836193088,-590816.836193088
"Cml Pop Growth","Adult Female",-1526250.8095998,0,-1526250.8095998,-1526250.8095998,-1526250.8095998,-1526250.8095998,-1526250.8095998
"Cml Pop Growth","Adult Male",-237477.729614413,178.403708848797,-237701.440469176,-237628.177198194,-237382.550645925,-237275.838618928,-237222.197875322
"Total Number Increase","Overall",-1144824.02650046,8951.91329016163,-1166160.10185138,-1151554.96357181,-1144731.37773315,-1138293.4919196,-1121748.60065172
"Total Number Increase","Neonatal Female",-376153.710919647,0,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647
"Total Number Increase","Neonatal Male",-376153.710919647,0,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647,-376153.710919647
"Total Number Increase","Neonatal Combined",-752307.421839294,0,-752307.421839294,-752307.421839294,-752307.421839294,-752307.421839294,-752307.421839294
"Total Number Increase","Juvenile Female",-403030.151621558,0,-403030.151621558,-403030.151621558,-403030.151621558,-403030.151621558,-403030.151621558
"Total Number Increase","Juvenile Male",-187786.68457153,0,-187786.68457153,-187786.68457153,-187786.68457153,-187786.68457153,-187786.68457153
"Total Number Increase","Juvenile Combined",-590816.836193088,0,-590816.836193088,-590816.836193088,-590816.836193088,-590816.836193088,-590816.836193088
"Total Number Increase","Adult Female",-77183.6394110003,0,-77183.6394110003,-77183.6394110003,-77183.6394110003,-77183.6394110003,-77183.6394110003
"Total Number Increase","Adult Male",275483.870942917,8951.91329016163,254147.795591999,268752.933871572,275576.519710232,282014.405523779,298559.296791662
"Total Mortality","Overall",1065355.15611324,8951.91329016163,1042279.7302645,1058824.62153238,1065262.50734593,1072086.09318459,1086691.23146416
