"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",204907479.955866,37391546.3638894,173247088.188126,178768439.768232,188075181.184857,214810146.997535,281374867.778503
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",0,0,0,0,0,0,0
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",0,0,0,0,0,0,0
"Num Offtake","Adult Female",92847540.5418513,16307117.4087686,79078071.4564117,81221638.7161826,85653641.0665574,97065456.5836843,126143237.542479
"Num Offtake","Adult Male",112059939.414015,21086553.1954899,94169016.7317146,97546801.0520497,102421540.118299,117744690.413851,155231630.236024
"Cml Pop Growth","Overall",1172625510.0535,320505221.517484,879644786.646222,912931249.023763,1056069604.28571,1401008554.17663,1804996532.78593
"Cml Pop Growth","Neonatal Female",293059005.472345,95566271.8285693,196712991.017214,221196673.109229,271872606.016535,330245466.967839,495633606.193442
"Cml Pop Growth","Neonatal Male",293059005.472345,95566271.8285693,196712991.017214,221196673.109229,271872606.016535,330245466.967839,495633606.193442
"Cml Pop Growth","Neonatal Combined",586118010.94469,191132543.657139,393425982.034427,442393346.218459,543745212.033071,660490933.935678,991267212.386884
"Cml Pop Growth","Juvenile Female",214486781.636196,52670815.9535171,161383914.398199,168369700.015913,202734526.328849,240473670.431815,301148297.903806
"Cml Pop Growth","Juvenile Male",215341634.129495,52670815.9535171,162238766.891498,169224552.509212,203589378.822148,241328522.925114,302003150.397106
"Cml Pop Growth","Juvenile Combined",429828415.765691,105341631.907034,323622681.289697,337594252.525126,406323905.150996,481802193.356929,603151448.300912
"Cml Pop Growth","Adult Female",85827222.8608673,21462511.4503557,62979800.1359161,73119782.8473055,77609715.4227301,93270017.551698,124544003.965297
"Cml Pop Growth","Adult Male",70851860.4822565,17720661.7812739,51370754.4105079,60914575.9291058,64118849.9874752,77529884.1803168,101518630.358679
"Total Number Increase","Overall",1377532990.00937,352424884.97373,1052891874.83435,1103146635.18748,1232686457.69489,1611368337.05805,2062582089.6039
"Total Number Increase","Neonatal Female",293059005.472345,95566271.8285693,196712991.017214,221196673.109229,271872606.016535,330245466.967839,495633606.193442
"Total Number Increase","Neonatal Male",293059005.472345,95566271.8285693,196712991.017214,221196673.109229,271872606.016535,330245466.967839,495633606.193442
"Total Number Increase","Neonatal Combined",586118010.94469,191132543.657139,393425982.034427,442393346.218459,543745212.033071,660490933.935678,991267212.386884
"Total Number Increase","Juvenile Female",214486781.636196,52670815.9535171,161383914.398199,168369700.015913,202734526.328849,240473670.431815,301148297.903806
"Total Number Increase","Juvenile Male",215341634.129495,52670815.9535171,162238766.891498,169224552.509212,203589378.822148,241328522.925114,302003150.397106
"Total Number Increase","Juvenile Combined",429828415.765691,105341631.907034,323622681.289697,337594252.525126,406323905.150996,481802193.356929,603151448.300912
"Total Number Increase","Adult Female",178674763.402719,37377654.0523029,142057871.592328,153695745.616321,165186099.99996,188953735.982974,250687241.507776
"Total Number Increase","Adult Male",182911799.896271,38260012.4154077,145539771.142223,157236738.13969,169028612.98436,193422088.891755,256750260.594703
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1218704872.9963,358723338.628997,834560257.84537,977761999.420959,1144611212.25342,1284502716.81786,1842154129.95882
"Population Liveweight (kg)","Neonatal Female",24232842.1434164,6100855.74191082,15538810.558187,18662617.4653066,26385773.6865959,29503032.4517949,31203945.6864924
"Population Liveweight (kg)","Neonatal Male",26789853.2310433,18755195.6448097,9039792.68478893,15474381.2621456,20842567.0231824,29944589.5508431,73170859.092492
"Population Liveweight (kg)","Juvenile Female",263615752.68945,61308498.6087534,190888527.713905,217365507.318262,251303377.456083,280381110.230508,366983513.16152
"Population Liveweight (kg)","Juvenile Male",480660820.884492,171608346.383742,258287178.026151,387058127.745302,464468761.332853,531985143.962359,792230874.569423
"Population Liveweight (kg)","Juvenile Combined",744276573.573942,231702348.818473,449175705.740055,604423635.063563,719023444.033262,810325280.070758,1154564066.97476
"Population Liveweight (kg)","Adult Female",159991889.980254,40276133.0253017,113539107.221643,140299004.427006,145841579.005519,166614830.836046,234323094.217465
"Population Liveweight (kg)","Adult Male",263413714.067648,82701515.9769349,187353323.206961,202202542.699901,236669150.917456,279089169.291229,435739967.148017
"Offtake Liveweight (kg)","Overall",570283280.71381,114095727.190453,418325486.741114,506726408.361227,531479258.972718,643472307.741199,808778126.988351
"Offtake Liveweight (kg)","Juvenile Female",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",163421286.575736,34627201.8055677,135201783.125242,141560743.207654,146641572.030974,170682763.439019,235811629.091768
"Offtake Liveweight (kg)","Adult Male",406861994.138074,82810234.8101614,283123703.615873,358590101.726641,391875390.003832,447009608.388209,572966497.896582
"Meat (kg)","Overall",1294711674.06198,195798530.500177,1097069413.839,1172812814.82452,1215730167.39787,1401290013.66072,1669313853.55824
"Eggs Sold","Overall",1026742516.08413,177449231.848396,869711736.352047,901967743.906766,996629718.413391,1010906575.01025,1398833243.91526
"Eggs Consumed","Overall",932757177.199034,222473983.57553,652449714.914968,791337201.475111,891925213.795639,961787947.878705,1425230068.27574
"Value of Offtake","Overall",18509711260.3399,10629484072.1768,9029991091.30624,11446818907.1103,15250111629.0221,18361256597.5525,40876550731.5839
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",0,0,0,0,0,0,0
"Value of Offtake","Adult Female",8992451969.42341,3789655865.34305,1997607691.48983,7557915663.49905,8955475636.93106,9638620125.88422,15263331742.64
"Value of Offtake","Adult Male",9517259290.91645,8394413575.1689,94169016.7317146,3150889594.4835,7311799234.99048,14237596532.8195,25613218988.944
"Value of Herd Increase","Overall",62251461733.3938,21083476756.0808,38918519941.891,47184513628.5115,57119040956.4941,66766346953.1189,98752845672.5305
"Value of Herd Increase","Neonatal Female",7025494310.93776,4240022869.30624,1725962143.89194,4104802852.74482,5793801115.82355,9492914572.30083,14869008185.8033
"Value of Herd Increase","Neonatal Male",9589126550.89379,3497758739.44434,3224406828.96015,7815871971.7375,10856504381.8097,11618251025.341,14472219522.0778
"Value of Herd Increase","Neonatal Combined",16614620861.8315,6966817851.43341,7254915365.16034,10371151745.8545,16369749859.5786,21144522672.5991,26996255646.9528
"Value of Herd Increase","Juvenile Female",15001278350.3725,8867128228.44068,983029940.971117,10024980144.9721,15660754735.9189,22260914919.4866,26925431388.0567
"Value of Herd Increase","Juvenile Male",19065863473.9447,13261417531.7636,548456046.214183,7026138678.0356,22519831982.9105,28697270140.2825,37757783701.656
"Value of Herd Increase","Juvenile Combined",34067141824.3173,12465186854.1378,12440239048.5541,26067453971.772,33812015784.5528,40236701465.7151,53393008240.7701
"Value of Herd Increase","Adult Female",6111866653.87856,3996459579.37349,1515072523.69263,3591492418.47735,5366655162.64022,7988154502.39921,14820736471.8703
"Value of Herd Increase","Adult Male",5457832393.36645,5084160850.01101,162265147.317807,1119711817.19233,4032419008.14638,9695968400.74147,13545051249.6348
"Value of Herd Increase plus Offtake","Overall",80761172993.7337,30654491507.0832,53595689407.4073,61770491827.7658,71747597940.9909,81567192424.2586,139629396404.114
"Value of Herd Increase plus Offtake","Neonatal Female",7025494310.93776,4240022869.30624,1725962143.89194,4104802852.74482,5793801115.82355,9492914572.30083,14869008185.8033
"Value of Herd Increase plus Offtake","Neonatal Male",9589126550.89379,3497758739.44434,3224406828.96015,7815871971.7375,10856504381.8097,11618251025.341,14472219522.0778
"Value of Herd Increase plus Offtake","Neonatal Combined",16614620861.8315,6966817851.43341,7254915365.16034,10371151745.8545,16369749859.5786,21144522672.5991,26996255646.9528
"Value of Herd Increase plus Offtake","Juvenile Female",15001278350.3725,8867128228.44068,983029940.971117,10024980144.9721,15660754735.9189,22260914919.4866,26925431388.0567
"Value of Herd Increase plus Offtake","Juvenile Male",19065863473.9447,13261417531.7636,548456046.214183,7026138678.0356,22519831982.9105,28697270140.2825,37757783701.656
"Value of Herd Increase plus Offtake","Juvenile Combined",34067141824.3173,12465186854.1378,12440239048.5541,26067453971.772,33812015784.5528,40236701465.7151,53393008240.7701
"Value of Herd Increase plus Offtake","Adult Female",15104318623.302,7570814684.4179,3512680215.18246,10125668273.9817,14742630718.8802,17140121094.0127,30084068214.5103
"Value of Herd Increase plus Offtake","Adult Male",14975091684.2829,12631818133.8,813359578.478826,5730669625.63169,11168856386.655,19996834211.5991,37896973262.3441
"Value of Eggs sold","Overall",4115634905.48978,977537539.625482,2846914250.53437,3463202552.50485,3912619970.86149,4398293464.76272,5811678964.40485
"Value of Eggs consumed","Overall",3678571202.70927,882519714.336387,2312806740.85224,3242199526.7947,3442524612.66461,4142314540.99613,5187485797.52712
"Total Production Value","Overall",88555379101.9327,32148452157.1328,60849588957.7452,67674786382.5923,78593342278.4266,88927802443.6846,150212029134.488
"Total Production Value","Neonatal Female",7025494310.93776,4240022869.30624,1725962143.89194,4104802852.74482,5793801115.82355,9492914572.30083,14869008185.8033
"Total Production Value","Neonatal Male",9589126550.89379,3497758739.44434,3224406828.96015,7815871971.7375,10856504381.8097,11618251025.341,14472219522.0778
"Total Production Value","Neonatal Combined",16614620861.8315,6966817851.43341,7254915365.16034,10371151745.8545,16369749859.5786,21144522672.5991,26996255646.9528
"Total Production Value","Juvenile Female",15001278350.3725,8867128228.44068,983029940.971117,10024980144.9721,15660754735.9189,22260914919.4866,26925431388.0567
"Total Production Value","Juvenile Male",19065863473.9447,13261417531.7636,548456046.214183,7026138678.0356,22519831982.9105,28697270140.2825,37757783701.656
"Total Production Value","Juvenile Combined",34067141824.3173,12465186854.1378,12440239048.5541,26067453971.772,33812015784.5528,40236701465.7151,53393008240.7701
"Total Production Value","Adult Female",22898524731.501,9113061040.22291,9555401756.84731,17364106959.5306,21920219332.049,24677098765.1085,40666700944.8842
"Total Production Value","Adult Male",14975091684.2829,12631818133.8,813359578.478826,5730669625.63169,11168856386.655,19996834211.5991,37896973262.3441
"Feed Cost","Overall",1494351554.82128,503504022.292399,938125765.807471,1200744401.73782,1335743516.70208,1621428574.08268,2604320424.74258
"Feed Cost","Neonatal Female",322450481.741718,153080628.713339,24258689.7899781,219960010.763348,385954917.112364,437859339.233608,467861249.973655
"Feed Cost","Neonatal Male",319987683.50323,79366519.557035,193356778.366817,278292087.13892,300772121.577144,348691801.839419,460915106.009585
"Feed Cost","Neonatal Combined",642438165.244948,139749011.0657,485173795.799563,506296253.687724,667590107.578089,725054454.417202,902303839.234905
"Feed Cost","Juvenile Female",291882608.697886,212928287.179173,78274685.3788954,193982168.620144,233098603.161334,313006961.068299,834927621.639232
"Feed Cost","Juvenile Male",259119206.732323,255429598.204603,20942272.0280669,52219945.8723762,199587660.311606,389092505.865773,797203683.685491
"Feed Cost","Juvenile Combined",551001815.430209,381929513.657013,123371987.755951,284077026.740559,505317053.755417,654976357.905919,1306255932.99815
"Feed Cost","Adult Female",180992940.958379,99810923.6852932,36567654.9214021,122951405.649871,154997777.56128,255858891.954756,342456291.506714
"Feed Cost","Adult Male",119918633.187741,113615304.075543,7611978.86365321,21948449.0237701,83315421.4974042,197457000.755163,316886400.632658
"Labour Cost","Overall",0,0,0,0,0,0,0
"Labour Cost","Neonatal Female",0,0,0,0,0,0,0
"Labour Cost","Neonatal Male",0,0,0,0,0,0,0
"Labour Cost","Neonatal Combined",0,0,0,0,0,0,0
"Labour Cost","Juvenile Female",0,0,0,0,0,0,0
"Labour Cost","Juvenile Male",0,0,0,0,0,0,0
"Labour Cost","Juvenile Combined",0,0,0,0,0,0,0
"Labour Cost","Adult Female",0,0,0,0,0,0,0
"Labour Cost","Adult Male",0,0,0,0,0,0,0
"Health Cost","Overall",0,0,0,0,0,0,0
"Health Cost","Neonatal Female",0,0,0,0,0,0,0
"Health Cost","Neonatal Male",0,0,0,0,0,0,0
"Health Cost","Neonatal Combined",0,0,0,0,0,0,0
"Health Cost","Juvenile Female",0,0,0,0,0,0,0
"Health Cost","Juvenile Male",0,0,0,0,0,0,0
"Health Cost","Juvenile Combined",0,0,0,0,0,0,0
"Health Cost","Adult Female",0,0,0,0,0,0,0
"Health Cost","Adult Male",0,0,0,0,0,0,0
"Capital Cost","Overall",0,0,0,0,0,0,0
"Capital Cost","Neonatal Female",0,0,0,0,0,0,0
"Capital Cost","Neonatal Male",0,0,0,0,0,0,0
"Capital Cost","Neonatal Combined",0,0,0,0,0,0,0
"Capital Cost","Juvenile Female",0,0,0,0,0,0,0
"Capital Cost","Juvenile Male",0,0,0,0,0,0,0
"Capital Cost","Juvenile Combined",0,0,0,0,0,0,0
"Capital Cost","Adult Female",0,0,0,0,0,0,0
"Capital Cost","Adult Male",0,0,0,0,0,0,0
"Infrastructure Cost","Overall",0,0,0,0,0,0,0
"Infrastructure Cost","Neonatal Female",0,0,0,0,0,0,0
"Infrastructure Cost","Neonatal Male",0,0,0,0,0,0,0
"Infrastructure Cost","Neonatal Combined",0,0,0,0,0,0,0
"Infrastructure Cost","Juvenile Female",0,0,0,0,0,0,0
"Infrastructure Cost","Juvenile Male",0,0,0,0,0,0,0
"Infrastructure Cost","Juvenile Combined",0,0,0,0,0,0,0
"Infrastructure Cost","Adult Female",0,0,0,0,0,0,0
"Infrastructure Cost","Adult Male",0,0,0,0,0,0,0
"Total Expenditure","Overall",1494351554.82128,503504022.292399,938125765.807471,1200744401.73782,1335743516.70208,1621428574.08268,2604320424.74258
"Total Expenditure","Neonatal Female",322450481.741718,153080628.713339,24258689.7899781,219960010.763348,385954917.112364,437859339.233608,467861249.973655
"Total Expenditure","Neonatal Male",319987683.50323,79366519.557035,193356778.366817,278292087.13892,300772121.577144,348691801.839419,460915106.009585
"Total Expenditure","Neonatal Combined",642438165.244948,139749011.0657,485173795.799563,506296253.687724,667590107.578089,725054454.417202,902303839.234905
"Total Expenditure","Juvenile Female",291882608.697886,212928287.179173,78274685.3788954,193982168.620144,233098603.161334,313006961.068299,834927621.639232
"Total Expenditure","Juvenile Male",259119206.732323,255429598.204603,20942272.0280669,52219945.8723762,199587660.311606,389092505.865773,797203683.685491
"Total Expenditure","Juvenile Combined",551001815.430209,381929513.657013,123371987.755951,284077026.740559,505317053.755417,654976357.905919,1306255932.99815
"Total Expenditure","Adult Female",180992940.958379,99810923.6852932,36567654.9214021,122951405.649871,154997777.56128,255858891.954756,342456291.506714
"Total Expenditure","Adult Male",119918633.187741,113615304.075543,7611978.86365321,21948449.0237701,83315421.4974042,197457000.755163,316886400.632658
"Gross Margin","Overall",87061027547.1115,31760995374.6646,59511281689.4765,66114717985.2193,77309756929.5853,87808468866.6514,148151957594.936
"Gross Margin","Neonatal Female",6703043829.19604,4182352039.74301,1540102561.96682,3896430875.90634,5404938570.45,9215838124.20701,14425337454.9566
"Gross Margin","Neonatal Male",9269138867.39056,3556937939.1868,2763491722.95057,7507106555.35031,10564401996.3256,11363777257.8534,14197304833.8049
"Gross Margin","Neonatal Combined",15972182696.5866,6954902536.50633,6769741569.36078,9817885351.92489,15702159752.0005,20632011870.9399,26274604590.2365
"Gross Margin","Juvenile Female",14709395741.6747,8774199319.75062,752414382.396084,9693614927.66019,15426096629.5546,22030210405.6917,26090503766.4174
"Gross Margin","Juvenile Male",18806744267.2124,13193690054.4552,484473333.94052,6640142225.23358,22273696691.217,28651372407.5651,37418223551.5302
"Gross Margin","Juvenile Combined",33516140008.8871,12284740734.2809,11952510937.8455,25412477613.8661,33595243116.4256,39813678971.1745,52350659905.2592
"Gross Margin","Adult Female",22717531790.5426,9079264315.88954,9518834101.9259,17208466693.246,21677393281.3326,24554147359.4586,40494271131.4877
"Gross Margin","Adult Male",14855173051.0952,12607251855.8343,662973676.752286,5671178214.41323,11105329599.0371,19981564535.1734,37683825895.2461
