"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",130895985.319748,19063281.8296755,71480423.4318419,117343272.123224,130221910.684095,143718471.068439,203111552.679704
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",0,0,0,0,0,0,0
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",0,0,0,0,0,0,0
"Num Offtake","Adult Female",60916038.4273837,8453821.44929907,34158675.5778073,54898410.2713652,60614531.9399094,66580116.2273462,92450531.5721175
"Num Offtake","Adult Male",69979946.8923644,10626082.0593269,37321747.8540347,62408204.7923581,69566840.1026905,77122346.5973288,110823723.922516
"Cml Pop Growth","Overall",500751126.887995,106187891.166956,209408544.789947,424003823.562649,493965803.739687,568727100.79636,964798162.984877
"Cml Pop Growth","Neonatal Female",122063052.999159,32842725.3580253,34372657.1210731,97772933.5197183,119600556.342632,143003212.535572,256160797.337095
"Cml Pop Growth","Neonatal Male",122063052.999159,32842725.3580253,34372657.1210731,97772933.5197182,119600556.342632,143003212.535572,256160797.337094
"Cml Pop Growth","Neonatal Combined",244126105.998317,65685450.7160506,68745314.2421461,195545867.039436,239201112.685264,286006425.071143,512321594.674189
"Cml Pop Growth","Juvenile Female",91653052.3906002,19588361.7361426,36516117.8777573,77844394.363369,90089346.2368418,104233336.734513,176305773.469059
"Cml Pop Growth","Juvenile Male",92513497.5445503,19589619.8297144,37565441.1132365,78703255.7940381,91087393.7039685,105075928.390288,178186250.907307
"Cml Pop Growth","Juvenile Combined",184166549.93515,39129277.1440649,74081558.9909937,156637275.265826,181402445.96592,209190179.621304,354476488.844968
"Cml Pop Growth","Adult Female",39468041.0319532,8251659.58937683,16835419.7387747,33568267.9676865,38971054.6115462,44715391.4138407,76622003.6993914
"Cml Pop Growth","Adult Male",32990429.9225744,6604295.92079655,14776230.0135813,28317099.0317055,32600207.1054386,37204649.139228,60978235.3207143
"Total Number Increase","Overall",631647112.207744,122076866.647287,286410117.578098,544667144.921118,624233888.300009,710237403.508738,1153458175.12814
"Total Number Increase","Neonatal Female",122063052.999159,32842725.3580253,34372657.1210731,97772933.5197183,119600556.342632,143003212.535572,256160797.337095
"Total Number Increase","Neonatal Male",122063052.999159,32842725.3580253,34372657.1210731,97772933.5197182,119600556.342632,143003212.535572,256160797.337094
"Total Number Increase","Neonatal Combined",244126105.998317,65685450.7160506,68745314.2421461,195545867.039436,239201112.685264,286006425.071143,512321594.674189
