"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",138518582.800335,7047751.7501401,114965543.997143,133650600.139596,138343669.049888,143297167.043947,164612919.014971
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",0,0,0,0,0,0,0
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",0,0,0,0,0,0,0
"Num Offtake","Adult Female",70177182.8379659,3235270.20761979,59598766.3345113,67961335.5432785,70116655.1563488,72343120.2762954,81981230.4959712
"Num Offtake","Adult Male",68341399.9623695,3855973.39765883,55366777.6626322,65659799.2650876,68242177.548893,70952745.240568,82631688.5189998
"Cml Pop Growth","Overall",156233148.741828,16796713.3664486,94735656.2352667,144347792.356853,155770737.969941,167151285.494971,232504825.895046
"Cml Pop Growth","Neonatal Female",30972569.3031722,4505919.79947181,16320888.252758,27697939.2413324,30810375.0895346,33976967.5661155,49003504.5737732
"Cml Pop Growth","Neonatal Male",30972569.3031722,4505919.79947181,16320888.252758,27697939.2413324,30810375.0895346,33976967.5661155,49003504.5737732
"Cml Pop Growth","Neonatal Combined",61945138.6063444,9011839.59894362,32641776.5055161,55395878.4826649,61620750.1790693,67953935.132231,98007009.1475464
"Cml Pop Growth","Juvenile Female",34489837.0502297,3442578.42748369,23533710.8494563,32029838.6515993,34317491.3558973,36768355.2198437,47629395.9912957
"Cml Pop Growth","Juvenile Male",36698737.1536538,3440214.62618747,25328023.4517114,34257486.6116648,36559362.701322,39010041.5454268,51118552.4855661
"Cml Pop Growth","Juvenile Combined",71188574.2038835,6811090.40110927,48861734.3011677,66358694.2561229,70915041.9902094,75711609.5300563,98747948.4768618
"Cml Pop Growth","Adult Female",9676056.70317186,1911718.05974891,2802360.62656218,8355441.94824736,9599363.1616019,10968405.6244023,17759875.4463473
"Cml Pop Growth","Adult Male",13423379.2284286,1433240.08314881,8535754.92367821,12410773.9076774,13379595.668743,14384900.2986439,20150015.3181236
"Total Number Increase","Overall",294751731.542164,22747049.0326682,212843017.309311,278600948.14239,294201870.266483,309783828.16234,397117744.910017
"Total Number Increase","Neonatal Female",30972569.3031722,4505919.79947181,16320888.252758,27697939.2413324,30810375.0895346,33976967.5661155,49003504.5737732
"Total Number Increase","Neonatal Male",30972569.3031722,4505919.79947181,16320888.252758,27697939.2413324,30810375.0895346,33976967.5661155,49003504.5737732
"Total Number Increase","Neonatal Combined",61945138.6063444,9011839.59894362,32641776.5055161,55395878.4826649,61620750.1790693,67953935.132231,98007009.1475464
"Total Number Increase","Juvenile Female",34489837.0502297,3442578.42748369,23533710.8494563,32029838.6515993,34317491.3558973,36768355.2198437,47629395.9912957
"Total Number Increase","Juvenile Male",36698737.1536538,3440214.62618747,25328023.4517114,34257486.6116648,36559362.701322,39010041.5454268,51118552.4855661
"Total Number Increase","Juvenile Combined",71188574.2038835,6811090.40110927,48861734.3011677,66358694.2561229,70915041.9902094,75711609.5300563,98747948.4768618
"Total Number Increase","Adult Female",79853239.5411378,5001896.96903961,63698922.7947282,76383400.0388361,79716990.039507,83228448.381633,99741105.9423185
"Total Number Increase","Adult Male",81764779.1907981,5117520.33002072,65231184.3017654,78217893.5645296,81624842.9468792,85244832.1406571,102781703.837123
"Total Mortality","Overall",171843467.954784,11474783.0294794,134614085.807609,163782008.088369,171538082.302607,179470519.779237,224493683.889543
"Total Mortality","Neonatal Female",74484828.4250131,5020840.09796156,58065107.9672606,70978737.420065,74334254.0141225,77871827.3968816,96686618.138511
"Total Mortality","Neonatal Male",74484828.4250131,5020840.09796156,58065107.9672606,70978737.420065,74334254.0141225,77871827.3968816,96686618.138511
"Total Mortality","Neonatal Combined",148969656.850026,10041680.1959231,116130215.934521,141957474.84013,148668508.028245,155743654.793763,193373236.277022
"Total Mortality","Juvenile Female",11572817.9979673,1375547.87492662,6728603.55708202,10619052.4199249,11542753.0275263,12511968.1683252,16577118.3280486
"Total Mortality","Juvenile Male",11300993.1067904,1378401.78506377,6695686.82842756,10343334.5212147,11272264.7823824,12249017.803887,17208773.0889789
"Total Mortality","Juvenile Combined",22873811.1047577,2161685.09449755,14857989.3262325,21395135.3193143,22822361.3147008,24335035.3604885,31707620.1259859
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",124447161.921443,10546192.9157266,89792628.8433462,117124280.342339,123930474.519403,131390897.986987,167638739.733688
"Population Liveweight (kg)","Neonatal Female",3544836.75352852,1159679.42234381,956984.938701101,2674592.42176383,3471128.19876891,4327609.34303583,8176403.28967932
"Population Liveweight (kg)","Neonatal Male",3531823.28781564,1174501.60819861,886997.127160373,2645505.77586191,3450558.61495795,4324149.15450043,8086885.44895684
"Population Liveweight (kg)","Juvenile Female",27221465.0545631,2878947.94557839,17960501.4438484,25197536.2305239,27074499.0844812,29098408.3688754,38723868.0451192
"Population Liveweight (kg)","Juvenile Male",27193221.8425616,2818246.75727064,17932711.7765543,25229548.4221568,27015777.9017541,29015043.6131473,37960287.8912759
"Population Liveweight (kg)","Juvenile Combined",54414686.8971247,5213680.10572451,37392159.5550797,50790857.58585,54146861.653074,57819586.3359357,74887236.2007817
"Population Liveweight (kg)","Adult Female",36358681.1953889,3115210.35408119,26563460.8397702,34181423.9172189,36281037.4612544,38442847.8814491,48498116.6390102
"Population Liveweight (kg)","Adult Male",26597133.787585,3257417.38044094,16465774.1418835,24346358.7589893,26583113.334732,28814933.1600033,41578997.4040418
"Offtake Liveweight (kg)","Overall",203614632.034149,14632202.3741448,146940861.145939,193543479.930206,203584291.767778,213611886.761144,260820918.214053
"Offtake Liveweight (kg)","Juvenile Female",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",101781413.745468,6180273.03839747,82971893.6196544,97497701.8394327,101596155.829284,105959655.518416,127968899.820692
"Offtake Liveweight (kg)","Adult Male",101833218.288681,11060754.2597495,59876531.8664339,94008920.3237588,102158407.304768,109800723.140128,137358853.675587
"Meat (kg)","Overall",738380374.524408,31585574.4350889,633272096.530257,716322975.35555,738084874.487892,760205035.589752,849480157.517181
"Eggs Sold","Overall",273195921.180336,17353527.826348,214447767.86251,261086236.633274,272760853.581082,284821272.888422,339772154.009079
"Eggs Consumed","Overall",237402118.388304,15020816.5168315,182068230.634971,226920399.429317,236975499.381428,247513424.210982,290934312.737529
