Species,Production system,Age class,AHLE,mean,sd
Cattle,Crop livestock mixed,Sub-adult,Mortality,15614917009.063019,56874166372.434044
Cattle,Crop livestock mixed,Juvenile,Mortality,15383157200.662018,56831700899.9648
Cattle,Crop livestock mixed,Oxen,Mortality,5951621143.21402,56169159666.446754
Cattle,Pastoral,Sub-adult,Mortality,5901677141.971001,10728160474.23467
Cattle,Pastoral,Juvenile,Mortality,5993946405.7715,10721379005.785156
Cattle,Pastoral,Oxen,Mortality,-17729335.13279724,10816870219.047722
Cattle,Dairy,Sub-adult,Mortality,196597618.6100006,6233420177.713078
Cattle,Dairy,Juvenile,Mortality,311367304.14630127,6165934958.577099
Cattle,Dairy,Oxen,Mortality,60648622.08610535,6209614472.033134
Cattle,Crop livestock mixed,Oxen,Health cost,1749335465.83606,6542.01397305541
Cattle,Pastoral,Oxen,Health cost,0.0,0.0
Cattle,Dairy,Oxen,Health cost,0.0,0.0
Cattle,Crop livestock mixed,Oxen,Production loss,58883040270.42993,83244286892.82541
Cattle,Pastoral,Oxen,Production loss,-227861214.27899933,15253734159.931139
Cattle,Dairy,Oxen,Production loss,-182327099.08270264,8760217166.301712
Cattle,Crop livestock mixed,Sub-adult,Health cost,2592459267.731256,1956715.5880884696
Cattle,Crop livestock mixed,Sub-adult,Production loss,5810794205.061343,113578859118.86537
Cattle,Pastoral,Sub-adult,Health cost,706417172.9518399,159838.91133049465
Cattle,Pastoral,Sub-adult,Production loss,4398762044.34569,21497460692.817543
Cattle,Dairy,Sub-adult,Health cost,124212953.1259118,5328.483481479983
Cattle,Dairy,Sub-adult,Production loss,910210277.0278492,12406994039.822233
Cattle,Crop livestock mixed,Juvenile,Health cost,1920045219.434566,4732094.685796078
Cattle,Crop livestock mixed,Juvenile,Production loss,-1211966567.0532815,113546899781.7088
Cattle,Pastoral,Juvenile,Health cost,777864367.0655999,381751.75618564273
Cattle,Pastoral,Juvenile,Production loss,-933568936.988992,21479250764.982742
Cattle,Dairy,Juvenile,Health cost,111762039.2303142,14712.895074587015
Cattle,Dairy,Juvenile,Production loss,35220991.26644993,12397109192.584187
Cattle,Crop livestock mixed,Adult,Health cost,4463896753.72877,273799.06904906663
Cattle,Crop livestock mixed,Adult,Mortality,8513314278.218018,79818852678.65324
Cattle,Crop livestock mixed,Adult,Production loss,369256824597.78265,123366580412.01518
Cattle,Pastoral,Adult,Health cost,1634832331.768574,22293.651203289668
Cattle,Pastoral,Adult,Mortality,19602410254.543007,15021074704.866285
Cattle,Pastoral,Adult,Production loss,163330789112.0315,30038513750.76481
Cattle,Dairy,Adult,Health cost,204743964.4261424,701.1111793390654
Cattle,Dairy,Adult,Mortality,1556923996.6006012,8827596428.855877
Cattle,Dairy,Adult,Production loss,25478882466.51712,20903495973.409237
