Species,Production system,Age class,AHLE,mean,sd
All Poultry,Small holder,Adult,Health cost,1010043.5070299411,9415.133776877057
All Poultry,Small holder,Adult,Mortality,32073186.6253327,132133891.41087694
All Poultry,Small holder,Adult,Production loss,119982363.12545177,191207123.10533738
All Poultry,Small holder,Juvenile,Health cost,893825.834061608,14778.956269875278
All Poultry,Small holder,Juvenile,Mortality,-7406869.512776002,118369816.6817278
All Poultry,Small holder,Juvenile,Production loss,-19730401.660579607,168007449.48408026
All Poultry,Small holder,Chick,Health cost,81444.2088191968,0.0
All Poultry,Small holder,Chick,Mortality,-30477146.824814007,119856659.41635954
All Poultry,Small holder,Chick,Production loss,-6797088.608636186,169322140.47080025
All Poultry,Village,Adult,Health cost,0.0,0.0
All Poultry,Village,Adult,Mortality,9915700338.658998,5273542810.336234
All Poultry,Village,Adult,Production loss,22995422879.399567,11307096278.427374
All Poultry,Village,Juvenile,Health cost,0.0,0.0
All Poultry,Village,Juvenile,Mortality,2220737582.6460485,4190275870.4063177
All Poultry,Village,Juvenile,Production loss,2612728295.18759,6163710401.4085245
All Poultry,Village,Chick,Health cost,0.0,0.0
All Poultry,Village,Chick,Mortality,11660972061.212578,5416652690.442888
All Poultry,Village,Chick,Production loss,1163684710.1006021,7756022774.112195
