species,production_system,item,group,age_group,sex,mean_current,stdev_current,mean_ideal,stdev_ideal,mean_all_mort_25_imp,mean_all_mort_50_imp,mean_all_mort_75_imp,mean_mortality_zero,stdev_mortality_zero,mean_current_repro_25_imp,mean_current_repro_50_imp,mean_current_repro_75_imp,mean_current_repro_100_imp,mean_current_growth_25_imp_all,mean_current_growth_50_imp_all,mean_current_growth_75_imp_all,mean_current_growth_100_imp_all,mean_current_usd,stdev_current_usd,mean_ideal_usd,stdev_ideal_usd,mean_all_mort_25_imp_usd,mean_all_mort_50_imp_usd,mean_all_mort_75_imp_usd,mean_mortality_zero_usd,stdev_mortality_zero_usd,mean_current_repro_25_imp_usd,mean_current_repro_50_imp_usd,mean_current_repro_75_imp_usd,mean_current_repro_100_imp_usd,mean_current_growth_25_imp_all_usd,mean_current_growth_50_imp_all_usd,mean_current_growth_75_imp_all_usd,mean_current_growth_100_imp_all_usd
Sheep,Crop livestock mixed,Num Offtake,Neonatal Female,Neonatal,Female,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Neonatal Male,Neonatal,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Juvenile Female,Juvenile,Female,76869.9948200758,1342.11785635957,106936.471658196,7017.95909341977,79196.0535145988,81457.8240310457,83955.3242922223,86495.2600220681,1270.31298300182,79703.7198402014,82718.5572785167,85877.7858322611,94680.8660328813,76906.3974627516,76966.3534526126,77132.6029485464,76937.4493424692,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Juvenile Male,Juvenile,Male,770453.044503683,15801.1934749883,1128304.90537785,86343.5186442342,795909.443328215,819868.207635048,846835.319962607,874371.267412151,15626.5215161716,805795.910708905,843724.016278456,882384.785411268,992157.426992311,771094.86252111,771739.060374964,773330.680898977,771308.471298848,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Adult Female,Adult,Female,577171.892943557,1792.2083049344,605922.998980796,3712.63741172214,582241.400375582,586806.215582397,591794.653151834,596824.55758748,673.33655157702,578874.016957084,579710.751249695,581373.95028113,585305.350994076,577343.787463416,577111.199366819,577443.963106622,577316.581448458,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Num Offtake,Adult Male,Adult,Male,2432283.73168816,14122.5432303938,2719319.52162815,61492.794780009,2465126.91125077,2498119.30438381,2531019.63573563,2565688.51269384,11152.7875438163,2453599.30805063,2477048.02680601,2501763.57553809,2570342.18998582,2433723.97602898,2433345.70333377,2434532.01735729,2433939.38984066,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Neonatal Female,Neonatal,Female,211855.218217412,110044.329714191,2853479.433312,643156.540180019,358183.444649943,482716.046641493,637299.759740976,798671.097743713,114675.331588706,477575.077436656,767397.680656832,1050744.8637931,1890580.53936268,218451.817834532,219209.964915458,228705.942312312,218657.12795406,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Neonatal Male,Neonatal,Male,212470.207402142,109373.368556758,2853479.433312,643156.540180019,358319.644223436,482731.368762455,636811.794797666,798671.097743713,114675.331588706,477707.060680659,767989.95395802,1051202.60188206,1890451.93279734,218776.921859071,219880.156009045,228641.029336004,219183.349775328,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Juvenile Female,Juvenile,Female,61883.707086319,66625.3996482856,1924541.49117238,379367.086843896,189011.138657671,310747.438115567,450200.312365066,596645.975403802,68177.7955303027,233687.858784569,417852.550848672,608060.747421131,1142454.47927255,64912.0131702087,67414.2759275108,75862.3057900609,65416.4853118699,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Juvenile Male,Juvenile,Male,458096.391211869,58019.7790868103,2071089.58340752,335806.105562118,562818.345248886,661245.188784005,775212.89876185,895120.867590636,60299.7233630755,610118.468090679,774783.373159118,941971.63570521,1414610.82732765,461160.364990795,463006.100282747,469637.554646218,461486.36639777,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Adult Female,Adult,Female,822240.228646791,96503.0898712175,3057781.14231566,337459.945857185,1138894.36348129,1426074.70622797,1745381.53390477,2070092.45021737,61079.6568858627,978663.617408946,1094201.33463381,1254809.42249483,1669379.46147396,833094.433694054,821473.652293297,841699.588285894,831707.921825452,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Cml Pop Growth,Adult Male,Adult,Male,199762.536137149,49082.0710384688,1459587.53532683,261164.718328637,314563.28339857,427959.610756236,547013.512821728,672723.588832644,47249.6830177178,305572.435101051,420371.624444441,539174.137120848,872650.706326622,204222.614004638,203668.433713842,209209.455716251,204623.460114424,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Neonatal Female,Neonatal,Female,211855.218217412,110044.329714191,2853479.433312,643156.540180019,358183.444649943,482716.046641493,637299.759740976,798671.097743713,114675.331588706,477575.077436656,767397.680656832,1050744.8637931,1890580.53936268,218451.817834532,219209.964915458,228705.942312312,218657.12795406,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Neonatal Male,Neonatal,Male,212470.207402142,109373.368556758,2853479.433312,643156.540180019,358319.644223436,482731.368762455,636811.794797666,798671.097743713,114675.331588706,477707.060680659,767989.95395802,1051202.60188206,1890451.93279734,218776.921859071,219880.156009045,228641.029336004,219183.349775328,,,,,,,,,,,,,,,,,
Sheep,Crop livestock mixed,Total Number Increase,Juvenile Female,Juvenile,Female,138753.701906395,67646.7566605412,2031477.96283057,385248.244588425,268207.19217227,392205.262146613,534155.636657288,683141.23542587,69240.3765942036,313391.578624771,500571.108127188,693938.533253393,1237135.34530543,141818.41063296,144380.629380123,152994.908738607,142353.934654339,,,,,,,,,,,,,,,,,
