species,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95,region,disease,disease_proportion,exchg_rate_lcuperusdol,mean_usd,lower95_usd,upper95_usd,sd_usd
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,External,-185036.18597606546,9340.551350650496,-203343.66662334042,-166728.7053287905,National,All causes,1.0,23.8661044574125,-7753.095454109422,-8520.18673538423,-6986.004172834613,391.3731026912288
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,PPR,0.0,23.8661044574125,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,Brucellosis,0.0,23.8661044574125,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Infectious,-185036.18597606546,9340.551350650496,-203343.66662334042,-166728.7053287905,National,Other Infectious,1.0,23.8661044574125,-7753.095454109422,-8520.18673538423,-6986.004172834613,391.3731026912288
All Poultry,Small holder,Adult,Adult,Overall,2017,Health cost,Non-infectious,-185036.18597606546,9340.551350650496,-203343.66662334042,-166728.7053287905,National,All conditions,1.0,23.8661044574125,-7753.095454109422,-8520.18673538423,-6986.004172834613,391.3731026912288
All Poultry,Small holder,Adult,Adult,Overall,2017,Mortality,External,7658677.01272859,24107979.242192,-39592962.30196773,54910316.327424906,National,All causes,1.0,23.8661044574125,320901.84748813935,-1658962.0804106838,2300765.775386962,1010134.6570912362
All Poultry,Small holder,Adult,Adult,Overall,2017,Mortality,Infectious,0.0,0.0,0.0,0.0,National,PPR,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2017,Mortality,Infectious,0.0,0.0,0.0,0.0,National,Brucellosis,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2017,Mortality,Infectious,20458936.1078143,64010630.8605479,-105001900.37885958,145919772.59448817,National,Other Infectious,1.0,23.8661044574125,857238.186664352,-4399624.60426789,6114100.977596593,2682072.8525164495
All Poultry,Small holder,Adult,Adult,Overall,2017,Mortality,Non-infectious,7326612.8839293,23323006.5975922,-38386480.04735141,53039705.81521001,National,All conditions,1.0,23.8661044574125,306988.21824915585,-1608409.9571360534,2222386.393634365,977243.96703327
All Poultry,Small holder,Adult,Adult,Overall,2017,Production loss,External,14795376.171847,25355400.1752393,-34901208.17162202,64491960.515316024,National,All causes,1.0,23.8661044574125,619932.5993166744,-1462375.572599246,2702240.7712325947,1062402.1285285307
All Poultry,Small holder,Adult,Adult,Overall,2017,Production loss,Infectious,0.0,0.0,0.0,0.0,National,PPR,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2017,Production loss,Infectious,0.0,0.0,0.0,0.0,National,Brucellosis,0.0,23.8661044574125,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2017,Production loss,Infectious,43893177.3525338,73977218.3250703,-101102170.564604,188888525.26967162,National,Other Infectious,1.0,23.8661044574125,1839142.9330604959,-4236224.254570502,7914510.120691494,3099677.1365464274
All Poultry,Small holder,Adult,Adult,Overall,2017,Production loss,Non-infectious,35132974.6601403,60213669.7680217,-82885818.08518225,153151767.40546283,National,All conditions,1.0,23.8661044574125,1472086.6877471684,-3472951.282564214,6417124.65805855,2522978.5562813175
All Poultry,Small holder,Adult,Adult,Overall,2018,Health cost,External,-194287.99527486888,9807.578918183022,-213510.8499545076,-175065.14059523016,National,All causes,1.0,27.4293865941667,-7083.205984496472,-7784.018400175019,-6382.393568817925,357.5573549380343
All Poultry,Small holder,Adult,Adult,Overall,2018,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,PPR,0.0,27.4293865941667,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2018,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,Brucellosis,0.0,27.4293865941667,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2018,Health cost,Infectious,-194287.99527486888,9807.578918183022,-213510.8499545076,-175065.14059523016,National,Other Infectious,1.0,27.4293865941667,-7083.205984496472,-7784.018400175019,-6382.393568817925,357.5573549380343
All Poultry,Small holder,Adult,Adult,Overall,2018,Health cost,Non-infectious,-194287.99527486888,9807.578918183022,-213510.8499545076,-175065.14059523016,National,All conditions,1.0,27.4293865941667,-7083.205984496472,-7784.018400175019,-6382.393568817925,357.5573549380343
