"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6556981.47642261,312.024493145725,6555773.62946411,6556773.30309814,6556981.80052751,6557195.3300137,6558073.30436456
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95758.5016191542,110.330097538884,95338.1161768311,95684.7710911284,95760.4615169571,95834.5516117119,96147.8506942455
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",95758.5016191542,110.330097538884,95338.1161768311,95684.7710911284,95760.4615169571,95834.5516117119,96147.8506942455
"Num Offtake","Adult Female",1153140.7554171,49.192464009496,1152951.75792767,1153107.81651336,1153142.52082652,1153175.26120177,1153310.10527251
"Num Offtake","Adult Male",838324.30334132,201.443255600267,837522.481390729,838189.467392781,838328.456787003,838462.312287662,838970.48036528
"Num Offtake","Oxen",4469757.91604504,7.2275376424095,4469730.5148089,4469753.07972262,4469758.13522813,4469762.93611434,4469780.61852918
"Cml Pop Growth","Overall",-1456590.85210319,75103.334748058,-1722828.59557544,-1507565.1377824,-1456362.48057071,-1405619.31458913,-1177814.66732917
"Cml Pop Growth","Neonatal Female",-301911.677348561,29001.7727557316,-408712.879084488,-321474.089596979,-301320.7420931,-282187.302286703,-201440.494672491
"Cml Pop Growth","Neonatal Male",-631688.972007559,30013.7659620348,-760163.804409887,-651785.025979755,-631363.185749278,-611422.909457784,-526977.106467453
"Cml Pop Growth","Neonatal Combined",-933600.649356121,50247.0538024391,-1121507.9431602,-967338.175904022,-933176.383689198,-898770.612304172,-753814.918673263
"Cml Pop Growth","Juvenile Female",1350433.36767345,15061.0683416685,1296500.22516355,1340394.0667218,1350574.33186241,1360727.67124199,1401995.22220507
"Cml Pop Growth","Juvenile Male",1245129.79871358,15935.8684873798,1181470.84430772,1234483.0542372,1245299.81999924,1255748.01726973,1301733.4642962
"Cml Pop Growth","Juvenile Combined",2595563.16638703,26413.7092200804,2495292.86177609,2577747.47040305,2595655.88269622,2613204.16416352,2694846.42418209
"Cml Pop Growth","Adult Female",-706568.409106195,2844.97036013038,-717390.193489175,-708470.666249606,-706523.060033908,-704605.40881757,-696529.310245518
"Cml Pop Growth","Adult Male",1561478.51087456,2785.91893848507,1550018.5029209,1559605.29110729,1561486.01825087,1563344.13876162,1570901.62603717
"Cml Pop Growth","Oxen",-3973463.47090246,148.92842067212,-3974057.28275439,-3973563.04661516,-3973460.57984886,-3973361.52587198,-3972984.13876367
"Total Number Increase","Overall",5100390.62431942,75311.9044915893,4833405.35281838,5049255.58898981,5100603.55860159,5151525.47791722,5380105.47769205
"Total Number Increase","Neonatal Female",-301911.677348561,29001.7727557316,-408712.879084488,-321474.089596979,-301320.7420931,-282187.302286703,-201440.494672491
"Total Number Increase","Neonatal Male",-631688.972007559,30013.7659620348,-760163.804409887,-651785.025979755,-631363.185749278,-611422.909457784,-526977.106467453
"Total Number Increase","Neonatal Combined",-933600.649356121,50247.0538024391,-1121507.9431602,-967338.175904022,-933176.383689198,-898770.612304172,-753814.918673263
"Total Number Increase","Juvenile Female",1446191.86929261,15163.6244310899,1391919.649889,1436091.14788662,1446341.26627054,1456568.45662101,1498091.44675948
"Total Number Increase","Juvenile Male",1245129.79871358,15935.8684873798,1181470.84430772,1234483.0542372,1245299.81999924,1255748.01726973,1301733.4642962
"Total Number Increase","Juvenile Combined",2691321.66800618,26499.9066431577,2590731.56312056,2673434.81660833,2691421.97858564,2709053.23652447,2790942.64873649
"Total Number Increase","Adult Female",446572.346310903,2892.85503883685,435561.564438499,444637.630116716,446618.871961515,448570.157304105,456780.795026995
"Total Number Increase","Adult Male",2399802.81421588,2981.95061602807,2387574.37133567,2397804.16972334,2399817.0335454,2401801.76114664,2409872.10640245
"Total Number Increase","Oxen",496294.445142579,156.046549244632,495673.284951237,496189.989434794,496297.687717387,496401.331242899,496795.05564851
"Total Mortality","Overall",1661751.25749032,47117.0054846286,1475152.82640603,1629207.8805386,1660692.53342857,1693384.22320951,1870544.14452586
"Total Mortality","Neonatal Female",556136.385521144,31865.3258864179,432873.214219104,534469.387284814,555107.431535271,576835.159938969,672708.408185818
"Total Mortality","Neonatal Male",595908.784819335,34273.1809793059,468947.765777074,572253.919369371,594732.879114588,618122.937711632,733974.82508565
"Total Mortality","Neonatal Combined",1152045.17034048,47123.1915305486,965416.875733066,1119501.18251433,1150988.64012738,1183695.39229995,1360889.02749642
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",326668.769239971,13.9355422123219,326615.228874695,326659.438105766,326669.269355954,326678.544249793,326716.743703261
"Total Mortality","Adult Male",28907.7345979766,6.94631915862991,28880.0855651976,28903.0850825097,28907.8778202415,28912.4935271608,28930.01656432
"Total Mortality","Oxen",154129.583311898,0.249225435945273,154128.638441686,154129.416542159,154129.590869935,154129.756417736,154130.366156179
