"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6549125.91040417,330.799453398346,6547894.40209321,6548914.31801312,6549134.23223516,6549348.73704338,6550182.2536075
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94069.0892171695,99.2005840119215,93712.1600695236,94000.6876236726,94071.2458342388,94140.7350186432,94397.5633635723
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",94069.0892171695,99.2005840119215,93712.1600695236,94000.6876236726,94071.2458342388,94140.7350186432,94397.5633635723
"Num Offtake","Adult Female",1152120.80134832,51.7279572863148,1151923.82410012,1152087.86678363,1152121.37515384,1152154.18132362,1152281.56163802
"Num Offtake","Adult Male",833403.558003816,235.501780698478,832509.808438797,833253.364672671,833408.949679949,833553.971962918,834067.788440019
"Num Offtake","Oxen",4469532.46183487,10.6968382403702,4469492.93510108,4469525.85998105,4469532.86203921,4469539.81542967,4469561.91091621
"Cml Pop Growth","Overall",-1137561.8814395,63614.7487225193,-1426349.13911621,-1178907.0592383,-1137380.28594751,-1093415.50138221,-960299.785396606
"Cml Pop Growth","Neonatal Female",52674.3987947309,21021.3433615514,-42226.6346140029,38987.7342458793,52847.0567936082,67358.4714627459,114383.584985521
"Cml Pop Growth","Neonatal Male",-253866.013386297,21021.3433615515,-348767.046795032,-267552.67793515,-253693.35538742,-239181.940718282,-192156.827195508
"Cml Pop Growth","Neonatal Combined",-201191.614591566,42042.6867231029,-390993.681409035,-228564.94368927,-200846.298593812,-171823.469255536,-77773.2422099877
"Cml Pop Growth","Juvenile Female",1213908.89789456,12555.5387409812,1174945.59861249,1205836.14725124,1214487.7152487,1222638.94262801,1251407.94841371
"Cml Pop Growth","Juvenile Male",1063773.28834156,13355.2523864604,1016376.87956521,1054927.8191377,1063923.06150891,1072705.0275205,1102016.55493101
"Cml Pop Growth","Juvenile Combined",2277682.18623612,23683.5704756352,2191380.24946346,2261958.07059801,2278396.3048569,2294175.3607381,2340156.91689845
"Cml Pop Growth","Adult Female",-749314.095135504,2541.83178604001,-758398.045575244,-751078.294299484,-749261.570557144,-747495.862822865,-740861.633525839
"Cml Pop Growth","Adult Male",1512309.70411903,2602.45116402345,1502565.06983409,1510507.35848009,1512339.70324044,1514011.07909253,1519484.04580915
"Cml Pop Growth","Oxen",-3977048.06206759,172.006282489796,-3977700.59872964,-3977157.04375958,-3977042.25244638,-3976938.37888355,-3976563.17543398
"Total Number Increase","Overall",5411564.02896466,63808.1404598527,5122124.95759466,5369994.464138,5411792.43977874,5456193.91420638,5589138.98515428
"Total Number Increase","Neonatal Female",52674.3987947309,21021.3433615514,-42226.6346140029,38987.7342458793,52847.0567936082,67358.4714627459,114383.584985521
"Total Number Increase","Neonatal Male",-253866.013386297,21021.3433615515,-348767.046795032,-267552.67793515,-253693.35538742,-239181.940718282,-192156.827195508
"Total Number Increase","Neonatal Combined",-201191.614591566,42042.6867231029,-390993.681409035,-228564.94368927,-200846.298593812,-171823.469255536,-77773.2422099877
"Total Number Increase","Juvenile Female",1307977.98711173,12640.6162392558,1268794.19768345,1299828.40713086,1308629.85650337,1316757.87217093,1345805.51177728
"Total Number Increase","Juvenile Male",1063773.28834156,13355.2523864604,1016376.87956521,1054927.8191377,1063923.06150891,1072705.0275205,1102016.55493101
"Total Number Increase","Juvenile Combined",2371751.27545329,23760.637213116,2285171.07724866,2356021.01499711,2372450.68862415,2388297.42868849,2434450.2234984
"Total Number Increase","Adult Female",402806.706212813,2590.46785293566,393525.778524877,401004.059324189,402875.457707189,404669.826286618,411407.996472755
"Total Number Increase","Adult Male",2345713.26212285,2823.36768836275,2335074.87827288,2343787.00019425,2345759.38621131,2347523.2320584,2353551.83424917
"Total Number Increase","Oxen",492484.399767279,182.359195140066,491792.33637144,492368.241309122,492488.55083244,492600.739551863,492998.735482223
"Total Mortality","Overall",1343019.95914944,12664.4388744488,1307524.38950193,1334327.85064794,1343009.82753469,1351283.56193273,1389462.20460307
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",380842.431498908,8283.08537363585,354938.810288839,375579.89763933,380778.205789044,386586.402181128,409115.967747271
"Total Mortality","Juvenile Male",452937.834487184,9720.50509676647,424970.238077178,446471.500954844,452955.673396122,459677.535091626,484863.486605418
"Total Mortality","Juvenile Combined",833780.265986092,12672.6036364982,798250.304688423,825078.07244302,833757.850908921,842055.416966898,880280.044269562
"Total Mortality","Adult Female",326379.830410288,14.6538122624136,326324.029490119,326370.500505276,326379.992961427,326389.286493944,326425.371568845
"Total Mortality","Adult Male",28738.0537242695,8.12075105856799,28707.2347737516,28732.8746438852,28738.2396441362,28743.2404125144,28760.9582220696
"Total Mortality","Oxen",154121.809028789,0.368856491048898,154120.446037968,154121.581378657,154121.822828938,154122.062601023,154122.824514352
"Population Liveweight (kg)","Overall",4474407929.00252,1385509381.09087,1123254305.737,3424554549.05576,4545995307.50125,5464895502.61793,8174543770.46341
"Population Liveweight (kg)","Neonatal Female",187494550.471691,109293747.338431,4143577.365386,96925661.7028592,185005047.796454,281778698.28521,384616828.719161
"Population Liveweight (kg)","Neonatal Male",200011808.303766,113821338.005915,4374251.16286544,101179775.669448,198369931.070694,298560625.614652,399567180.152097
"Population Liveweight (kg)","Juvenile Female",486187922.587386,277102468.929676,5675201.92741928,239354703.514775,482862134.299181,720994431.511512,969590589.728745
"Population Liveweight (kg)","Juvenile Male",564131663.115444,321797410.648341,6514404.68874824,292897228.734101,556047405.019702,847933291.243314,1114212112.57708
"Population Liveweight (kg)","Juvenile Combined",1050319585.70283,422995884.761943,31026619.3752852,774188733.714462,1044799113.25636,1346615643.46593,2050842358.16986
"Population Liveweight (kg)","Adult Female",2121069599.02846,1193886768.50037,15976887.5926714,1086291899.14973,2196524365.45133,3147805721.36442,4074531704.65521
"Population Liveweight (kg)","Adult Male",457756192.747889,273780544.687686,3670174.52508827,202004683.053189,455279149.966558,694169011.603444,936532003.468713
"Population Liveweight (kg)","Oxen",1722003470.3611,1020824559.67404,13386366.7809224,816565761.972191,1713462225.92402,2596886226.09752,3413647692.79386
"Offtake Liveweight (kg)","Overall",842062071.284604,340167032.860573,120151331.925611,576776275.439836,852368334.213385,1119998118.92613,1619935274.6979
"Offtake Liveweight (kg)","Juvenile Female",8191147.82241737,4560995.20036469,93897.9461024772,4301882.37153935,8372982.33621333,12152447.212895,16007414.5407527
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",147398863.956114,86189389.5032591,1152102.34056024,71433649.0708326,148626938.756572,222364268.085476,293798464.606994
"Offtake Liveweight (kg)","Adult Male",108498916.693646,63882017.1444882,833270.152929777,50024590.6038628,108343060.457886,166689746.367366,212631387.319795
"Offtake Liveweight (kg)","Oxen",577973142.812426,322914620.431873,4469540.54851174,303928199.410883,576569481.567915,850329342.58655,1139734401.47832
"Meat (kg)","Overall",2778873397.80697,379707700.671417,1455741669.57023,2511019602.24348,2787905696.23723,3046048946.05437,3800799248.45291
"Manure","Overall",30264601932.5531,944466974.402592,27176675418.1018,29646218904.3011,30277923719.9694,30878775535.1567,33224873468.4196
"Manure","Neonatal Female",991689981.441437,25225560.6443113,904869047.737705,974828665.45583,991737263.021982,1008684309.60297,1072353687.03026
"Manure","Neonatal Male",1059517543.99962,26912428.4516526,967248440.933239,1043090662.40455,1060726420.84785,1076699229.14046,1133119135.28158
