"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6549094.84305704,327.906829548198,6547443.76941658,6548871.40437348,6549096.00641812,6549316.86359765,6550382.00332784
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94062.4415080339,98.3975136996261,93690.4316416633,93996.1786909903,94060.4754354086,94128.6626427191,94422.810784731
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",94062.4415080339,98.3975136996261,93690.4316416633,93996.1786909903,94060.4754354086,94128.6626427191,94422.810784731
"Num Offtake","Adult Female",1152118.1053852,52.0702537730512,1151924.42929675,1152082.98536867,1152117.59726567,1152152.92593445,1152314.72639981
"Num Offtake","Adult Male",833382.658573856,229.610396865797,832200.574956758,833226.815007227,833381.745755059,833539.080455529,834185.286801139
"Num Offtake","Oxen",4469531.63758995,10.4278546599062,4469479.85275046,4469524.49775872,4469531.62981297,4469538.93072627,4469567.03247334
"Cml Pop Growth","Overall",-1141988.14979346,62462.5533509169,-1356237.21369423,-1184680.0666202,-1140795.87083643,-1098789.90603045,-875722.231775649
"Cml Pop Growth","Neonatal Female",51694.9241034837,20789.8705820908,-21721.8267620681,37687.8012158414,51579.2318925341,66024.3494595021,128020.117576447
"Cml Pop Growth","Neonatal Male",-254845.488077545,20789.8705820908,-328262.238943095,-268852.610965186,-254961.180288494,-240516.062721526,-178520.294604581
"Cml Pop Growth","Neonatal Combined",-203150.563974061,41579.7411641815,-349984.065705163,-231164.809749345,-203381.94839596,-174491.713262024,-50500.1770281335
"Cml Pop Growth","Juvenile Female",1212748.54544961,12231.0850633857,1169836.7067574,1204369.57262272,1212687.06602396,1221197.65848094,1270660.76551303
"Cml Pop Growth","Juvenile Male",1062879.02491909,13032.1947078768,1006324.63255851,1054158.55514798,1062960.74544068,1071645.60216786,1111531.45251563
"Cml Pop Growth","Juvenile Combined",2275627.57036869,23022.9468011592,2192525.19628813,2260210.21205032,2275908.07704104,2291463.50715875,2374425.19757536
"Cml Pop Growth","Adult Female",-749486.060319456,2519.18940523218,-758987.02948831,-751187.340729128,-749535.879897573,-747793.233412158,-740272.985722721
"Cml Pop Growth","Adult Male",1512084.32860676,2548.27949629476,1500419.62315732,1510346.06669652,1512079.82041713,1513805.72594414,1522086.5854333
