"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1291696.96541833,41.8418205458932,1291583.80671527,1291668.56223556,1291696.96068692,1291724.3059054,1291835.02021809
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44840.0806667352,17.1018407910635,44781.8759579016,44829.4595434501,44839.4829648559,44851.7442091617,44886.6537452873
"Num Offtake","Juvenile Male",22953.1278479086,9.60761656305563,22923.1221261132,22946.8298434156,22953.0323594175,22959.5773974891,22982.7025037315
"Num Offtake","Juvenile Combined",67793.2085146438,19.8515871129523,67733.2971535008,67780.2408253873,67793.4188913013,67806.2923578086,67855.4648520173
"Num Offtake","Adult Female",245277.890823593,4.31173987476938,245264.497176714,245275.261800788,245277.826099247,245280.891646752,245289.990156292
"Num Offtake","Adult Male",978625.86608009,26.2211949713492,978550.447841487,978607.527274992,978626.293781119,978643.473510341,978701.26032852
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",225396.171711224,5554.93087124785,209724.158987969,221469.89222783,225420.059489025,229029.472715823,241878.076909337
"Cml Pop Growth","Neonatal Female",-400512.729120622,2752.77710226061,-409699.218639133,-402349.915979258,-400600.552748438,-398536.29800187,-391867.598636893
"Cml Pop Growth","Neonatal Male",73768.8538373132,2295.13769381858,66196.0883664419,72242.8654594658,73790.4257090554,75322.4316588464,80169.5481575551
"Cml Pop Growth","Neonatal Combined",-326743.875283309,3679.93766213267,-338090.067169212,-329185.934046517,-326723.271187895,-324287.094317663,-316146.740876734
"Cml Pop Growth","Juvenile Female",784497.346260505,1607.82930329425,778662.569234723,783397.49839392,784503.407106615,785558.027560386,789805.870315755
"Cml Pop Growth","Juvenile Male",777625.685141131,1209.0285307304,773386.886759125,776807.985412816,777614.435892991,778425.967826771,781562.746591959
"Cml Pop Growth","Juvenile Combined",1562123.03140164,2059.60352632015,1555634.40160088,1560738.50180217,1562133.29142876,1563505.16054044,1568819.18715858
"Cml Pop Growth","Adult Female",-376145.218208112,320.792786418819,-377239.801837784,-376343.306505401,-376158.341402049,-375924.296872005,-375262.504248318
"Cml Pop Growth","Adult Male",-633837.766198991,209.301135372242,-634496.732172617,-633974.08774498,-633842.588060138,-633695.79698604,-633182.708987762
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1517093.13712955,5580.06787217843,1501324.39568881,1513136.89067661,1517104.54597511,1520752.85787517,1533671.74890326
"Total Number Increase","Neonatal Female",-400512.729120622,2752.77710226061,-409699.218639133,-402349.915979258,-400600.552748438,-398536.29800187,-391867.598636893
"Total Number Increase","Neonatal Male",73768.8538373132,2295.13769381858,66196.0883664419,72242.8654594658,73790.4257090554,75322.4316588464,80169.5481575551
"Total Number Increase","Neonatal Combined",-326743.875283309,3679.93766213267,-338090.067169212,-329185.934046517,-326723.271187895,-324287.094317663,-316146.740876734
"Total Number Increase","Juvenile Female",829337.42692724,1622.80141452652,823444.445192624,828232.123879295,829343.781226109,830411.834195206,834688.684894745
"Total Number Increase","Juvenile Male",800578.81298904,1217.55063155217,796310.008885238,799755.012130724,800568.571859176,801387.09227441,804545.44909569
"Total Number Increase","Juvenile Combined",1629916.23991628,2076.91259223851,1623367.69875438,1628524.50577636,1629920.71041246,1631306.60950042,1636674.65201059
"Total Number Increase","Adult Female",-130867.327384519,324.874361154226,-131975.30466107,-131067.829882569,-130880.786346782,-130643.741068676,-129975.220486251
"Total Number Increase","Adult Male",344788.099881099,234.301637432911,344055.249039383,344635.095945574,344785.686881535,344945.250298541,345511.476603779
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1440971.23876847,5280.29327118406,1424985.9098362,1437441.67702776,1440980.74258032,1444451.61945479,1456993.10390246
"Total Mortality","Neonatal Female",249042.099787076,4058.51323267875,236322.249417293,246182.403044944,249143.544356495,251658.270047023,261196.109988795
"Total Mortality","Neonatal Male",194257.544894488,3261.20559768587,185157.989863331,192037.442302004,194203.50580213,196464.70882269,203994.149962332
"Total Mortality","Neonatal Combined",443299.644681563,5181.70468949494,427334.929096191,439852.920463972,443195.762530163,446726.595716102,459847.665864449
"Total Mortality","Juvenile Female",188250.224733105,953.805494672755,185056.841227113,187664.081761504,188265.794516763,188860.951575849,192157.159927091
"Total Mortality","Juvenile Male",120485.227742946,618.756829091452,118783.039146006,120064.365128573,120472.08994399,120877.958954975,122487.808163986
"Total Mortality","Juvenile Combined",308735.452476051,1135.93774582737,305509.85988669,307974.152517152,308766.467578585,309522.564877984,313155.564855311
"Total Mortality","Adult Female",459896.045294238,8.08451226519249,459870.932206339,459891.115876478,459895.923936088,459901.671837661,459918.731543047
"Total Mortality","Adult Male",229040.096316617,6.13687541882808,229022.445239497,229035.804255849,229040.196416858,229044.217204548,229057.741779015
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1333651098.31473,399853787.528592,294524583.96453,1012945997.8563,1340240410.27521,1639475199.82887,2358219116.90101
"Population Liveweight (kg)","Neonatal Female",86767000.4639676,50683987.4563879,1720926.24438485,41469542.5695101,86387870.5687738,132412556.046694,172814273.77593
"Population Liveweight (kg)","Neonatal Male",75664338.7292852,44699835.4881274,1511077.30864648,35958495.7843489,74452358.2786955,113638148.55958,152203924.474923
"Population Liveweight (kg)","Juvenile Female",198527972.319616,112169804.971657,2138926.1073004,98502580.9963584,198030427.221692,297622391.411113,386398995.011293
"Population Liveweight (kg)","Juvenile Male",137657945.39756,77714091.9394522,1531444.07078991,72104792.238169,137982411.411553,205277069.258184,276215935.31256
"Population Liveweight (kg)","Juvenile Combined",336185917.717176,138628869.281976,5205387.87437167,227611851.375431,344095509.538572,437682616.558217,650972569.437663
"Population Liveweight (kg)","Adult Female",611994270.846387,345593685.821572,4946977.87274601,316672413.821179,613505516.647647,910388825.980372,1187526745.01413
"Population Liveweight (kg)","Adult Male",223039570.557911,123725034.905645,1803080.44280348,115409914.732399,226305513.361574,329969031.531229,432759718.541069
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",150785504.055424,70982919.8965503,8521104.28196727,90462440.6804531,149831429.72109,209380042.665492,296863308.991504
"Offtake Liveweight (kg)","Juvenile Female",4086082.63661545,2290573.14956263,44813.4731024972,2108638.68455805,4124554.21530258,6052520.54105339,8071719.31253465
"Offtake Liveweight (kg)","Juvenile Male",2066342.81070707,1208602.40780472,22950.7284241905,1027123.29120615,2043007.80936525,3169000.34678821,4135748.52662215
"Offtake Liveweight (kg)","Adult Female",29437019.3370918,17253542.3427001,245269.503118032,14716703.8776912,28697810.5060081,44947922.7457333,58868488.7458881
"Offtake Liveweight (kg)","Adult Male",115196059.27101,68692305.6536284,978591.566933855,56761070.3756079,114009953.161501,176145415.543002,234870039.637016
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",491997706.043277,74269889.260563,276319707.150045,440618364.615642,493282224.174922,539001123.396703,713340697.527439
"Manure","Overall",6924338654.10582,241014859.436686,6186889572.64316,6753521130.42385,6919503979.60075,7090085786.15984,7635807050.82222
"Manure","Neonatal Female",440453886.344413,10814704.1052417,410039603.642995,432716843.895737,440647802.599117,447442248.878547,474162590.741909
"Manure","Neonatal Male",351939560.176887,8892051.45865956,323913065.288371,345799645.929067,351875514.159591,357925041.828831,382266353.4897
"Manure","Neonatal Combined",792393446.5213,14254948.4144292,746143488.473968,782681605.21726,792380152.79813,802481699.697187,831831768.727091
"Manure","Juvenile Female",770014113.235952,25602906.9961006,682482671.838679,753724818.908901,770391536.82994,786837938.217541,837767792.049398
"Manure","Juvenile Male",502222619.178807,16610778.776297,450309132.400799,490552727.099948,501796500.135348,513314646.617749,562193757.011024
"Manure","Juvenile Combined",1272236732.41476,30442634.3936564,1156654665.00411,1252566956.51656,1274028500.18214,1292138388.26431,1368500548.50535
"Manure","Adult Female",3468972417.63252,219104896.773191,2861149575.19584,3347771272.5552,3473097114.81303,3598309354.39228,4204971172.85178
"Manure","Adult Male",1390736057.53723,86670916.1584923,1095860270.48921,1336071716.19747,1389452152.78576,1442919682.32698,1680382353.83606
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",498835.797043453,566.089041873652,497231.36695308,498458.025387995,498851.768908864,499231.004084913,501034.220452385
"Hides","Juvenile Female",94125.1123665526,476.902747336377,92528.4206135563,93832.040880752,94132.8972583814,94430.4757879246,96078.5799635454
"Hides","Juvenile Male",60242.613871473,309.378414545726,59391.5195730032,60032.1825642865,60236.0449719948,60438.9794774874,61243.904081993
"Hides","Juvenile Combined",154367.726238026,567.968872913685,152754.929943345,153987.076258576,154383.233789292,154761.282438992,156577.782427656
"Hides","Adult Female",229948.022647119,4.04225613259624,229935.466103169,229945.557938239,229947.961968044,229950.83591883,229959.365771523
"Hides","Adult Male",114520.048158308,3.06843770941404,114511.222619748,114517.902127925,114520.098208429,114522.108602274,114528.870889508
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",7351333744.22288,332558244.055101,6241809004.30263,7119212463.39915,7350400874.64805,7559585312.1992,8412777255.61779
