"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1293592.57660014,25.5841012253545,1293492.82655348,1293574.92441804,1293592.67093531,1293609.4890704,1293684.89552003
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",45459.3170714974,10.082474127089,45425.0698181208,45452.5999749963,45459.3414709099,45466.2321480391,45498.11549715
"Num Offtake","Juvenile Male",23314.3768599684,5.11259681942511,23294.5229039208,23310.8918820358,23314.373949799,23317.8119526751,23331.5732159143
"Num Offtake","Juvenile Combined",68773.6939314658,11.7036865743275,68735.0335885868,68765.8788740843,68773.6940138764,68781.5098967983,68821.4605712718
"Num Offtake","Adult Female",245396.975849441,2.96752108124232,245387.222233461,245394.977157609,245396.986564816,245399.017593939,245407.376371734
"Num Offtake","Adult Male",979421.906819229,16.3017242627916,979360.140514445,979410.822438457,979422.043123784,979432.722208761,979476.580143377
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",663234.544596349,1898.86882473288,656081.839848133,661962.896672915,663212.100886573,664504.190179619,670580.767237084
"Cml Pop Growth","Neonatal Female",-241301.602185963,519.723170483105,-243182.077859081,-241651.592978349,-241305.492166091,-240949.641739102,-239420.647675669
"Cml Pop Growth","Neonatal Male",200887.509195982,519.723170483102,199007.033522865,200537.518403596,200883.619215854,201239.469642843,202768.463706276
"Cml Pop Growth","Neonatal Combined",-40414.0929899805,1039.44634096621,-44175.0443362158,-41114.0745747529,-40421.8729502374,-39710.1720962597,-36652.1839693924
"Cml Pop Growth","Juvenile Female",859506.210250988,834.497028110682,856699.003113538,858944.878849084,859502.996431104,860066.952581192,862964.452164757
"Cml Pop Growth","Juvenile Male",834309.835723244,590.483095172062,832379.230721757,833906.153309924,834305.630973369,834714.664513661,836567.864636791
"Cml Pop Growth","Juvenile Combined",1693816.04597423,1086.50611852325,1689249.37902734,1693086.80792779,1693816.92569104,1694516.00799268,1698301.57755534
"Cml Pop Growth","Adult Female",-364378.519344235,187.256093246511,-365012.844951052,-364503.811082176,-364378.859360095,-364250.481153533,-363656.238099907
