"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1337410.94696375,42.7287408871523,1337254.44083154,1337382.23715373,1337410.97472454,1337440.02147345,1337601.63886895
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44839.2724508583,17.0941931689351,44778.0722503225,44827.515099139,44839.5036845138,44850.9498251769,44907.0964073172
"Num Offtake","Juvenile Male",22952.3692970634,9.46923614018925,22916.5116199092,22946.0025888807,22952.3086451636,22958.8061859244,22987.1759106935
"Num Offtake","Juvenile Combined",67791.6417479217,19.966964541789,67716.4988226942,67778.2077528074,67791.8255352607,67805.3238081361,67871.1344046284
"Num Offtake","Adult Female",245277.732851503,4.32130070211355,245263.363797585,245274.740875884,245277.789487157,245280.701754009,245295.708416927
"Num Offtake","Adult Male",1024341.57236432,26.8246170686237,1024238.29258297,1024323.32225051,1024341.59353504,1024359.74107516,1024446.60312626
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",408276.717013422,5293.70257410138,388397.862872871,404729.634457642,408398.932255259,411788.459210553,428003.119624114
"Cml Pop Growth","Neonatal Female",-400569.117692847,2629.78258225598,-411534.529593458,-402358.258136098,-400586.776306016,-398763.952404731,-391505.760187407
"Cml Pop Growth","Neonatal Male",73611.3056200959,2179.28072608599,64321.9675893462,72154.725833347,73622.699943029,75110.0712001524,82140.2653030013
"Cml Pop Growth","Neonatal Combined",-326957.812072751,3495.52212870506,-341106.063605228,-329328.776552727,-326919.66460468,-324645.083288971,-313619.953391144
"Cml Pop Growth","Juvenile Female",784389.241543554,1588.17282897537,778609.359013464,783319.086419928,784393.478886649,785454.444244624,790071.933408866
"Cml Pop Growth","Juvenile Male",777538.190160112,1168.372737134,773556.831964026,776725.385495543,777537.430939874,778349.469786345,782100.123882244
"Cml Pop Growth","Juvenile Combined",1561927.43170367,2011.80411047799,1555000.53947352,1560604.79905971,1561930.46525366,1563288.35829667,1569473.45170782
"Cml Pop Growth","Adult Female",-376160.562679757,320.576918366636,-377312.121253932,-376380.636716902,-376155.572592225,-375941.013535018,-374897.373406315
"Cml Pop Growth","Adult Male",-450532.339937736,211.186487176725,-451333.996008983,-450675.251978711,-450534.383918397,-450388.656524601,-449741.135729331
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1745687.66397717,5319.28899955209,1725773.54461416,1742144.44731384,1745806.43624093,1749221.34737644,1765501.84183072
"Total Number Increase","Neonatal Female",-400569.117692847,2629.78258225598,-411534.529593458,-402358.258136098,-400586.776306016,-398763.952404731,-391505.760187407
"Total Number Increase","Neonatal Male",73611.3056200959,2179.28072608599,64321.9675893462,72154.725833347,73622.699943029,75110.0712001524,82140.2653030013
"Total Number Increase","Neonatal Combined",-326957.812072751,3495.52212870506,-341106.063605228,-329328.776552727,-326919.66460468,-324645.083288971,-313619.953391144
"Total Number Increase","Juvenile Female",829228.513994413,1603.09123205292,823403.439713207,828149.401118139,829234.822357232,830302.67327903,834949.048760103
"Total Number Increase","Juvenile Male",800490.559457176,1176.67036165081,796479.802211919,799673.93015533,800490.011906457,801307.865898373,805081.232718226
"Total Number Increase","Juvenile Combined",1629719.07345159,2029.22031251379,1622722.00659429,1628387.19858414,1629726.46726963,1631090.63792032,1637344.58611245
"Total Number Increase","Adult Female",-130882.829828254,324.670717338067,-132048.347558801,-131105.850662644,-130877.91790497,-130660.522230042,-129601.664989388
"Total Number Increase","Adult Male",573809.232426586,236.730903504724,572912.790497729,573650.064722016,573807.716129089,573970.154648109,574679.397767336
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1212408.90183931,5103.95244857551,1194491.85142602,1208989.62393445,1212355.80865794,1215786.51461574,1230794.78598717
"Total Mortality","Neonatal Female",249113.76370464,3937.83037508002,234330.47232134,246457.072103525,249116.382511782,251768.132887673,264583.811153055
"Total Mortality","Neonatal Male",194489.874423302,3102.82628548604,182236.259884109,192334.27293194,194466.781896373,196614.081706528,208604.564132998
"Total Mortality","Neonatal Combined",443603.638127943,5021.68833169256,425798.835602526,440189.445919173,443515.561384887,446966.738950824,461818.053965235
"Total Mortality","Juvenile Female",188375.938759293,960.881182552817,184492.723146285,187730.067018791,188371.856447184,189026.01764994,191969.394571462
"Total Mortality","Juvenile Male",120533.575855505,610.89375010237,118463.631795326,120120.705718795,120530.396309042,120948.982222809,122767.381440252
"Total Mortality","Juvenile Combined",308909.514614798,1128.68160700111,304990.50772491,308145.197985149,308908.978163234,309682.021666726,313479.133837853
"Total Mortality","Adult Female",459895.749096569,8.1024388164624,459868.807120472,459890.139142282,459895.85528842,459901.315788767,459929.453281738
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
