"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1291699.40869861,41.6440243547245,1291568.23998023,1291671.72085995,1291699.50391682,1291726.58246358,1291821.29265417
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44841.1550261159,17.4580760513982,44791.7212566223,44829.0071362232,44839.8709301835,44853.1903407676,44892.2645594613
"Num Offtake","Juvenile Male",22953.4829683437,9.24123859709268,22923.8091799868,22947.3979000912,22953.2760252681,22959.6907231959,22978.830403704
"Num Offtake","Juvenile Combined",67794.6379944596,20.0984227366076,67736.0126928484,67780.6514277071,67794.6537645204,67808.6175192083,67852.8332014557
"Num Offtake","Adult Female",245278.11325267,4.36124585631292,245266.744790365,245275.201165002,245277.84142233,245281.038696944,245293.965701383
"Num Offtake","Adult Male",978626.657451477,25.7811378397187,978547.07693794,978610.450672703,978625.844237735,978643.912323091,978696.375808836
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",225863.054145567,5554.16176304809,207609.665472522,222073.374637716,225891.852249924,229401.464317283,242836.138084471
"Cml Pop Growth","Neonatal Female",-400274.68016165,2728.82978272229,-408263.679287096,-402150.796813696,-400230.02606783,-398368.492562737,-390956.195117269
"Cml Pop Growth","Neonatal Male",73816.5412237115,2233.61452838881,67430.2512964569,72212.542819449,73806.8033919784,75369.3603467802,81262.603985721
"Cml Pop Growth","Neonatal Combined",-326458.138937939,3645.97811642013,-338341.036945332,-328931.85631001,-326368.461408283,-323897.335468837,-314349.521529663
"Cml Pop Growth","Juvenile Female",784609.472208956,1676.86460451664,780051.253789528,783371.325876742,784584.515766446,785792.258317909,790102.759995551
"Cml Pop Growth","Juvenile Male",777666.471034848,1179.78841309631,773680.111963739,776878.983121012,777616.754804716,778477.290609672,781515.023046068
"Cml Pop Growth","Juvenile Combined",1562275.9432438,2082.46667662329,1556197.31311458,1560893.47838432,1562165.11779755,1563630.04214354,1569101.63083634
"Cml Pop Growth","Adult Female",-376124.885386217,327.739100112458,-377054.560561996,-376349.335962936,-376147.605689287,-375900.709037241,-375184.965992488
"Cml Pop Growth","Adult Male",-633829.864774081,200.845219685007,-634476.9055873,-633962.997660809,-633833.15949701,-633693.379874896,-633274.7496461
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1517562.46284417,5578.95274329293,1499205.8926311,1513778.57030939,1517586.99294405,1521138.85342695,1534647.59947182
"Total Number Increase","Neonatal Female",-400274.68016165,2728.82978272229,-408263.679287096,-402150.796813696,-400230.02606783,-398368.492562737,-390956.195117269
"Total Number Increase","Neonatal Male",73816.5412237115,2233.61452838881,67430.2512964569,72212.542819449,73806.8033919784,75369.3603467802,81262.603985721
"Total Number Increase","Neonatal Combined",-326458.138937939,3645.97811642013,-338341.036945332,-328931.85631001,-326368.461408283,-323897.335468837,-314349.521529663
"Total Number Increase","Juvenile Female",829450.627235072,1692.08247024437,824848.839807822,828192.743235369,829427.859491212,830648.356474249,834990.770660518
"Total Number Increase","Juvenile Male",800619.954003192,1187.77492352566,796603.921143726,799825.999626823,800567.658467012,801442.495906664,804482.72814215
"Total Number Increase","Juvenile Combined",1630070.58123826,2099.84463956524,1623942.85472994,1628679.18930104,1629960.33135036,1631434.09616765,1636950.46348968
"Total Number Increase","Adult Female",-130846.772133547,331.854370604335,-131787.815771631,-131075.161771086,-130870.381620914,-130619.343654873,-129891.000291105
"Total Number Increase","Adult Male",344796.792677396,225.27162686809,344072.928017658,344649.963431627,344792.33756409,344947.539516441,345415.577211122
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1440644.06707544,5328.54299469301,1424910.45871702,1436984.01968639,1440659.71835675,1444330.27254581,1458985.66219669
"Total Mortality","Neonatal Female",248670.097936252,4074.46327386569,235613.633270148,245676.456180571,248839.981189278,251646.59385319,262229.046498037
"Total Mortality","Neonatal Male",194197.614636512,3194.01680847774,183097.580379496,192121.500957545,194168.499779442,196461.653624713,202893.431105715
"Total Mortality","Neonatal Combined",442867.712572765,5235.72095176809,426789.291124524,439236.365982677,442920.600760339,446446.539759168,458815.276081046
"Total Mortality","Juvenile Female",188320.824581368,983.568829044727,185183.786930995,187649.90887456,188344.928114522,188987.271484678,191191.166314014
"Total Mortality","Juvenile Male",120518.78604135,655.364249237843,118233.377624547,120080.865303244,120493.092420683,120961.64024182,122793.538603113
"Total Mortality","Juvenile Combined",308839.610622718,1193.46134829884,305025.252599837,308034.921705078,308830.383277273,309651.364236724,312389.392536976
"Total Mortality","Adult Female",459896.462348757,8.17733598058807,459875.146481934,459891.002184379,459895.952666868,459901.94755677,459926.185690093
"Total Mortality","Adult Male",229040.281531197,6.03388332418766,229021.656304624,229036.488455314,229040.091204576,229044.319905404,229056.598593557
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1528259015.96801,436638638.557505,346908929.647583,1188783570.74691,1544464317.9412,1828484219.32703,2702000682.45057
"Population Liveweight (kg)","Neonatal Female",86283311.06308,48496715.4468859,1721876.78851234,44982605.2872687,86317453.5724981,125589723.506597,172812090.328892
"Population Liveweight (kg)","Neonatal Male",75342918.7451541,43287890.8855516,1514341.98213786,37883355.2516404,74379718.9784661,112349612.738494,151760156.808273
"Population Liveweight (kg)","Juvenile Female",194979904.94034,112044961.579614,2140284.46846949,98597131.4728284,194988658.61024,297545389.220343,385978781.923835
"Population Liveweight (kg)","Juvenile Male",140043379.689422,80937479.3575073,1532882.3538461,67528409.9057555,142582017.096869,210412157.863415,276469254.588699
"Population Liveweight (kg)","Juvenile Combined",335023284.629763,137988686.438482,14999362.3622249,232787690.958599,336420035.257424,440007402.56874,659943552.88639
"Population Liveweight (kg)","Adult Female",596629676.465001,337406323.358406,4947235.31734279,310437841.773315,583814257.505775,890571736.299558,1187494466.19601
"Population Liveweight (kg)","Adult Male",217489912.532506,122544769.93116,1803006.53232744,114935004.416119,212779461.248458,326380506.894905,432852928.292801
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",156328936.459071,71058810.9004915,9435570.3956768,94882143.9068364,158060663.392153,214915851.787542,293122685.671876
