"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",528904.355234819,55.0360495949672,528815.262344534,528878.212858524,528897.416769728,528926.977567649,529026.63896138
"Num Offtake","Neonatal Female",38827.1207854465,7.50827299088195,38814.9971863689,38823.5365287566,38826.1821215546,38830.1877487546,38843.8260331443
"Num Offtake","Neonatal Male",124814.839456113,41.4460398606349,124749.839766758,124794.974200532,124810.829124592,124830.83558568,124908.138801425
"Num Offtake","Neonatal Combined",163641.96024156,48.9451734068501,163564.836953127,163618.510729289,163637.011246147,163661.006661519,163751.964834569
"Num Offtake","Juvenile Female",116370.150234848,5.51459740381424,116360.20593555,116367.093714206,116369.973399244,116372.220427305,116380.667029389
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",116370.150234848,5.51459740381424,116360.20593555,116367.093714206,116369.973399244,116372.220427305,116380.667029389
"Num Offtake","Adult Female",240316.578448995,0.697826446241742,240315.289066319,240316.16640604,240316.679555788,240316.860398597,240317.700214463
"Num Offtake","Adult Male",8575.66630941622,0.398308423480261,8574.93038953935,8575.43104110603,8575.72389962079,8575.8271638412,8576.30688295924
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",233923.98733133,329.478511922879,233392.286291878,233803.722290586,233941.58493734,234011.950294009,234656.86138094
"Cml Pop Growth","Neonatal Female",37295.085978759,124.89982122937,37063.3490779366,37244.259198312,37289.8522207336,37333.1839504787,37554.3163034982
"Cml Pop Growth","Neonatal Male",128485.644100596,104.100257913941,128278.711883446,128448.43549718,128478.25725002,128524.9335272,128688.738687276
"Cml Pop Growth","Neonatal Combined",165780.730079355,228.6334364565,165342.060961382,165686.285298743,165764.108033296,165858.117477679,166243.054990774
"Cml Pop Growth","Juvenile Female",12814.9246357625,53.3470464629699,12733.7780504882,12789.1505392145,12811.0844683308,12834.734670359,12936.0491244968
"Cml Pop Growth","Juvenile Male",125816.308543904,49.2731586801343,125742.706740952,125792.597124785,125813.521466746,125833.920199355,125928.549345905
"Cml Pop Growth","Juvenile Combined",138631.233179667,102.609948064993,138476.48479144,138581.747664,138624.605935077,138668.654869714,138864.598470402
"Cml Pop Growth","Adult Female",-111891.549604108,9.65023409688773,-111908.872214137,-111896.851976355,-111892.04007855,-111887.957710414,-111872.891909716
"Cml Pop Growth","Adult Male",41403.5736764167,9.58547278307549,41386.3625409989,41398.3061637407,41403.0834463204,41407.1491934813,41422.0998294808
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",762828.342566148,378.379944389396,762257.953705113,762687.853390954,762847.210030938,762938.408657822,763683.50034232
"Total Number Increase","Neonatal Female",76122.2067642055,130.734909196721,75885.173233569,76069.9484426768,76120.0958116532,76158.9343870485,76398.1423366425
"Total Number Increase","Neonatal Male",253300.483556709,137.084176134551,253061.060538117,253247.887639469,253304.708440698,253334.46916824,253596.8774887
"Total Number Increase","Neonatal Combined",329422.690320914,267.690602973681,328946.233771686,329317.836082146,329424.804252352,329492.47119505,329995.019825343
"Total Number Increase","Juvenile Female",129185.07487061,58.3755176888659,129093.983986038,129156.971018343,129179.629155053,129207.594337175,129316.716153886
"Total Number Increase","Juvenile Male",125816.308543904,49.2731586801343,125742.706740952,125792.597124785,125813.521466746,125833.920199355,125928.549345905
"Total Number Increase","Juvenile Combined",255001.383414514,107.58546960693,254836.690726989,254949.568143129,254993.150621799,255041.51453653,255245.26549979
"Total Number Increase","Adult Female",128425.028844886,10.3333767160354,128406.416852182,128419.314429684,128424.646047448,128428.899403077,128444.808304746
"Total Number Increase","Adult Male",49979.2399858329,9.9751914508941,49961.2929305382,49973.7372048467,49978.8110182674,49982.9745211594,49998.40671244
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",408500313.190964,154017941.478769,129929199.967971,333233799.334307,435452614.781072,505434350.068281,600645147.208033
"Population Liveweight (kg)","Neonatal Female",30941898.8427006,15235838.3175736,12049843.4204305,20066404.1166766,28266610.2255114,43884343.0709367,53275855.4166476
"Population Liveweight (kg)","Neonatal Male",18833211.6479543,8735423.93894158,1332260.54004898,16160882.0934066,19654254.9965904,25872709.0187265,29341849.5067204
"Population Liveweight (kg)","Juvenile Female",86947571.0138097,36438408.7353117,38833828.2353773,65335745.4415888,84987294.0748401,104176160.474889,155786664.784135
"Population Liveweight (kg)","Juvenile Male",39893062.1682498,16979508.3971864,14242853.5751003,26323798.6085089,42980669.7940268,55516069.7705259,57495364.8035231
"Population Liveweight (kg)","Juvenile Combined",126840633.18206,40654459.5205426,57649494.7725882,114699817.51108,131652000.357093,145056818.956936,192077086.095675
"Population Liveweight (kg)","Adult Female",216920013.931883,123223680.898106,15236393.9060299,149559419.205862,256216079.46714,305530059.40504,367281890.570643
"Population Liveweight (kg)","Adult Male",14964555.586367,10307506.8953268,2574875.28886004,6537689.02521112,11785108.2183444,23614422.439778,31375763.3275328
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",109515819.703038,41294671.593451,39706601.3544196,82097396.5593131,108163978.024135,139745030.118789,164180758.950436
"Offtake Liveweight (kg)","Juvenile Female",25694724.2691348,13501336.6595743,1047241.85341995,15710697.7364248,31186561.2255229,34853090.9688991,41429528.0472402
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",82260341.6564258,44009167.1836558,3124113.69257369,53470576.6268749,93363174.076507,116313197.568622,132173757.703386
"Offtake Liveweight (kg)","Adult Male",1560753.77747781,1354226.56360252,42877.9293065146,548861.883556432,1256254.46997933,2253299.41044295,4484923.44417746
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",307889301.514046,42549121.9282796,260506849.545689,270814115.955281,306161641.565948,328411142.950273,394943105.995407
"Manure","Overall",990246478.693417,41886531.6844839,929321558.701097,974913690.884466,996178553.250057,1000146060.71172,1074012647.14731
"Manure","Neonatal Female",84083371.3553353,1626203.23529141,81883008.6381817,82953077.7617861,83847036.2954066,85553454.4646154,86564891.2180568
"Manure","Neonatal Male",43956435.5934877,1108012.79589276,42479978.5763173,43293367.2532436,43672610.8499595,44813977.7171898,45579424.2262612
"Manure","Neonatal Combined",128039806.948823,1713556.58364627,125352261.597783,126966856.46564,127926355.902671,128504873.264275,131318007.897345
"Manure","Juvenile Female",184302779.687704,3602231.55750949,178495737.269653,182281155.969925,183750579.220867,186976248.994438,189221928.966481
"Manure","Juvenile Male",45050882.8229436,1425259.2959584,43221573.8599704,43909236.8501213,45018970.3404395,46069165.9094392,47548207.9146863
"Manure","Juvenile Combined",229353662.510647,3272124.37631384,223868701.036925,226839755.190147,230273012.365758,231489733.671713,234438913.334055
"Manure","Adult Female",594642495.308384,40509755.2751246,540536988.167943,578468123.417655,599973817.475279,602512602.046381,681264127.343246
"Manure","Adult Male",38210513.9255626,1143473.14095476,36380118.7563922,37561931.4614322,38077845.915654,38976064.1401472,39795151.4955028
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",0,0,0,0,0,0,0
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",1452833839.63232,46425925.774025,1387732285.50494,1413597569.67272,1458086227.35402,1481678466.48068,1531853133.76307
"Cml Dry Matter","Neonatal Female",259735651.301197,42033514.7508164,191895213.966458,226815330.93659,267603561.946066,294011748.692015,310808710.676323
"Cml Dry Matter","Neonatal Male",131364168.131166,10519460.6076596,116247615.945271,122007073.956109,131346205.192045,140574837.18843,144097415.773752
"Cml Dry Matter","Neonatal Combined",391099819.432364,36704943.2539242,332917467.69883,363192119.660489,406569153.902061,419301132.912124,430189494.673892
"Cml Dry Matter","Juvenile Female",321789520.086144,25168589.159328,282483375.919852,309428986.30421,316262555.412423,323657553.365928,363936872.394525
"Cml Dry Matter","Juvenile Male",81917265.3626817,6354834.15292639,68492527.0493882,79172028.1926522,83090937.1814821,84249509.5996817,92408366.3264012
"Cml Dry Matter","Juvenile Combined",403706785.448825,24390921.6636382,366851723.290433,393003883.933674,398972257.393019,402816665.426349,456218274.487598
"Cml Dry Matter","Adult Female",617241322.704278,49009601.8519698,558592176.307406,585833647.803406,600093635.769418,648932119.983181,719250185.228269
"Cml Dry Matter","Adult Male",40785912.0468575,4292155.99640772,35552272.6225658,36613599.3705616,41777177.4216843,42179743.4355342,47640325.8832386
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",8375685240.32847,188513379.421382,8035371666.91019,8247490847.67591,8395463916.19158,8515891431.33256,8613966856.54853
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",2077399454.22864,65367786.2092954,2012549386.61146,2028027381.34658,2052133418.29012,2128439546.43222,2181107627.89623
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",2077399454.22864,65367786.2092954,2012549386.61146,2028027381.34658,2052133418.29012,2128439546.43222,2181107627.89623
"Value of Offtake","Adult Female",5961263704.83452,162470818.150344,5676846211.63421,5887063459.46518,5956464982.10373,6095718680.73147,6170532211.93723
"Value of Offtake","Adult Male",337022081.265315,2133250.07005468,333176243.581165,336609049.415667,337781849.065601,338258932.845059,339484289.850198
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",3698290354.69294,133799007.56135,3485611988.12595,3620467741.42997,3677813497.76268,3785997180.70712,3921886054.84566
"Value of Herd Increase","Neonatal Female",459835316.684996,14763699.9080339,437605666.729158,450656435.724777,460894906.919953,465956804.91385,482873074.842222
"Value of Herd Increase","Neonatal Male",1354508070.50611,58115495.7196361,1247813713.61913,1332702927.07641,1351926252.83033,1405926238.14698,1426671810.35558
"Value of Herd Increase","Neonatal Combined",1814343387.1911,54818764.6357466,1730686788.46135,1799403840.85885,1811109026.82292,1858930344.51434,1892157367.29109
"Value of Herd Increase","Juvenile Female",228622132.04758,7630917.40404581,221046581.326308,222862447.513028,225823311.524302,233092415.045282,242512119.091748
"Value of Herd Increase","Juvenile Male",2790000810.86564,64466442.5318004,2684497593.08043,2754978246.34273,2782354342.26787,2820271040.49692,2898021458.23088
"Value of Herd Increase","Juvenile Combined",3018622942.91323,67935626.0907886,2907913624.75506,2977867792.29009,3020284202.4096,3047839917.7875,3124467634.51391
"Value of Herd Increase","Adult Female",-2754131455.02708,67675077.7160357,-2858285466.49718,-2788736773.26476,-2757612929.39935,-2692572277.3247,-2662085641.08189
"Value of Herd Increase","Adult Male",1619455479.6157,14034717.3021008,1601216549.53504,1609623439.40576,1620033259.10798,1628517642.22158,1644848617.60372
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
