"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",524461.156921576,57.1754788409281,524364.320943808,524442.544776854,524477.833433943,524500.087289778,524522.282942382
"Num Offtake","Neonatal Female",37924.8637685974,7.76343184829654,37911.7276748313,37922.3936044171,37927.091108675,37930.151061879,37933.2076829103
"Num Offtake","Neonatal Male",122496.796710294,41.5742340479438,122426.622567371,122483.895900138,122507.785190256,122524.740042862,122542.768289562
"Num Offtake","Neonatal Combined",160421.660478892,49.3314102740334,160338.350242203,160406.46937636,160434.876298931,160454.891104741,160475.975972472
"Num Offtake","Juvenile Female",115384.993421815,6.71893771137811,115373.809727181,115381.031952345,115386.784114609,115390.187590025,115392.089503431
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",115384.993421815,6.71893771137811,115373.809727181,115381.031952345,115386.784114609,115390.187590025,115392.089503431
"Num Offtake","Adult Female",240194.881108823,0.916292684753717,240193.387616588,240194.192380669,240195.096557502,240195.586975704,240195.915399514
"Num Offtake","Adult Male",8459.62191204537,0.520589508731712,8458.7733578362,8459.23093113866,8459.74434409613,8460.02305938321,8460.20932096525
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",194838.244269799,294.79536881466,194207.775609219,194781.636180187,194947.724453383,194983.110352124,195138.622886579
"Cml Pop Growth","Neonatal Female",22083.2673174443,108.185562187822,21852.098427429,22053.2025031386,22106.1235589234,22147.9968217826,22224.9797479275
"Cml Pop Growth","Neonatal Male",121808.978834158,93.7826561233638,121612.825025154,121768.562370697,121811.919203727,121872.076242002,121944.241871364
"Cml Pop Growth","Neonatal Combined",143892.246151602,201.353396198592,143464.923452583,143823.460027971,143918.042762651,144020.073063785,144169.221619291
"Cml Pop Growth","Juvenile Female",3054.39290236253,51.4423186297107,2968.09480992582,3037.73098268105,3066.50605188988,3088.49257152005,3113.04951992433
"Cml Pop Growth","Juvenile Male",122135.533048694,46.7783188562787,122057.017010183,122119.964762002,122146.02795553,122166.204859694,122189.498771508
"Cml Pop Growth","Juvenile Combined",125189.925951057,98.2132140593343,125025.153350687,125157.695744683,125212.53400742,125254.697431214,125302.548291432
"Cml Pop Growth","Adult Female",-113616.092001385,11.6537807162011,-113635.512958566,-113622.748178929,-113612.949305584,-113607.146852106,-113603.89041409
"Cml Pop Growth","Adult Male",39372.1641685246,11.5004502645817,39353.0033183561,39365.5934760579,39375.2708949482,39380.9914358624,39384.2130864573
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",719299.401191374,344.815389216535,718572.096553027,719242.12372268,719422.255260422,719495.894566575,719610.001723807
"Total Number Increase","Neonatal Female",60008.1310860418,113.767203799347,59763.8261022603,59978.3666934518,60037.4712408289,60071.7170080351,60151.1922258111
"Total Number Increase","Neonatal Male",244305.775544452,123.126640300519,244039.447592525,244278.988715257,244344.403616604,244365.291200938,244449.382025248
"Total Number Increase","Neonatal Combined",304313.906630494,236.710350687825,303803.273694785,304257.355408709,304381.874857433,304436.347740962,304600.574251059
"Total Number Increase","Juvenile Female",118439.386324178,57.845639161488,118341.904537107,118421.320093816,118454.24649075,118478.201999419,118503.849771245
"Total Number Increase","Juvenile Male",122135.533048694,46.7783188562787,122057.017010183,122119.964762002,122146.02795553,122166.204859694,122189.498771508
"Total Number Increase","Juvenile Combined",240574.919372872,104.574696345565,240399.171524028,240541.284855818,240600.27444628,240644.406859113,240693.348542753
"Total Number Increase","Adult Female",126578.789107438,12.5607580944333,126557.874658021,126571.444201741,126582.147251918,126588.48140503,126592.024985424
"Total Number Increase","Adult Male",47831.78608057,12.0155963332882,47811.7766761923,47824.8244071966,47835.0152390443,47841.0378331407,47844.4224074226
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",43212.4180128943,9.61320351514478,43196.1486060588,43209.3857878796,43215.1702460293,43218.9556871827,43222.7627097732
"Total Mortality","Neonatal Female",24134.0042163802,4.94036572164439,24125.6448839835,24132.43229372,24135.4216146114,24137.3688575593,24139.3139800338
"Total Mortality","Neonatal Male",12077.1489714375,4.09886814557215,12070.2303939662,12075.877060577,12078.2323427013,12079.9039478878,12081.681380661
"Total Mortality","Neonatal Combined",36211.1531878176,9.0370915367197,36195.8752779497,36208.423818173,36213.6539573127,36217.2728054471,36220.9953606948
"Total Mortality","Juvenile Female",4437.88436237751,0.258420681206983,4437.45422027621,4437.73199816711,4437.95323517727,4438.08413807787,4438.15728859352
"Total Mortality","Juvenile Male",988.140520456259,0.242231429883437,987.737172235787,987.999830921965,988.205559579589,988.327136349229,988.395434585148
"Total Mortality","Juvenile Combined",5426.02488283377,0.500648665308966,5425.19139251199,5425.73182908908,5426.15879475686,5426.4112744271,5426.55272317867
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",1575.23994224293,0.0969373567983818,1575.08193559709,1575.16713890168,1575.26273993514,1575.31463864377,1575.34932183491
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",377313523.258744,169606533.855225,165856982.2872,255627796.924109,336819235.134722,469848080.889752,649007493.93758
"Population Liveweight (kg)","Neonatal Female",31716370.2592722,15157670.5048323,9784447.46832016,16261397.1825673,37945629.8129971,42920522.8640579,50363472.4045603
"Population Liveweight (kg)","Neonatal Male",16929838.1750615,7453982.44431181,430951.409173128,15238526.5458709,18522834.7523678,21601242.8263343,26492608.6067152
"Population Liveweight (kg)","Juvenile Female",87595476.560589,53754981.6430979,19227378.3628085,48174088.5324051,78016465.2560009,130914801.688332,164112044.247909
"Population Liveweight (kg)","Juvenile Male",27439438.6163185,17159724.883025,9352560.76144851,11769373.096928,26176035.7784003,37743602.6073843,60369673.7432158
"Population Liveweight (kg)","Juvenile Combined",115034915.176908,62591532.4766337,38911492.1900025,68199264.2001849,87874093.5157322,179139638.019301,202493514.814869
"Population Liveweight (kg)","Adult Female",194048315.750978,126363859.170728,43211130.744867,90621789.2018998,181245931.429197,231052587.808914,411306088.845582
"Population Liveweight (kg)","Adult Male",19584083.8965247,14850388.2654615,78416.4604708603,10742271.3243297,15373191.0356706,30352405.9674282,42512934.215042
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",102714714.976034,41073269.0693992,44298501.9599958,74373901.5723934,98203873.212473,126835350.076377,168835085.176043
"Offtake Liveweight (kg)","Juvenile Female",26377100.3173176,12537361.1508144,8192562.92563143,17075732.9842667,27173002.4938424,37817940.3926374,40498293.4339054
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",73667782.1447128,40896232.7307315,1921564.16756479,41613654.1757122,75781656.474408,105805736.890639,128744512.809524
"Offtake Liveweight (kg)","Adult Male",2669832.51400407,997234.188923753,685244.373214454,2049383.21183893,2855071.88438176,3356536.74686735,4000999.79825652
