"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505205.899484628,51.9692351195984,505011.138453368,505171.360108297,505206.211787909,505240.191589256,505405.3553993
"Num Offtake","Neonatal Female",35695.1568451053,7.08766999898668,35668.5781587112,35690.4522657776,35695.1897942827,35699.8364612176,35722.3623463935
"Num Offtake","Neonatal Male",110000.655335299,38.9740081580218,109854.438405724,109974.955922491,110000.850096215,110026.463775512,110149.766143401
"Num Offtake","Neonatal Combined",145695.812180404,46.0550916625531,145523.016564436,145665.351288477,145696.073585654,145726.34328298,145872.128489794
"Num Offtake","Juvenile Female",113999.856874436,5.28519618640432,113978.457576946,113996.345176746,113999.870870548,114003.37487038,114019.490975895
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113999.856874436,5.28519618640432,113978.457576946,113996.345176746,113999.870870548,114003.37487038,114019.490975895
"Num Offtake","Adult Female",237036.700789584,0.653776285327196,237034.06762203,237036.265354765,237036.700228284,237037.133760364,237039.237384821
"Num Offtake","Adult Male",8473.52964020384,0.37512149672239,8472.01873384747,8473.2797651438,8473.529359029,8473.77815676325,8474.98571041114
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",72950.1170165596,275.041117512749,72034.2655162024,72768.4473799983,72949.6148931482,73136.8610265373,73920.8875466553
"Cml Pop Growth","Neonatal Female",-14662.9646930332,101.787481254666,-15011.2672932498,-14730.7294201431,-14663.5157849916,-14593.6222763195,-14306.4309633459
"Cml Pop Growth","Neonatal Male",92472.4269865794,85.6599867942506,92181.252639083,92415.1727156783,92471.9821424364,92529.9793884442,92778.3583367525
"Cml Pop Growth","Neonatal Combined",77809.4622935463,186.843227055355,77169.9853458332,77685.4591048773,77808.6936057808,77936.0700001711,78468.7043486139
"Cml Pop Growth","Juvenile Female",-13113.5348789293,49.6963387140669,-13299.7615613978,-13146.3400920771,-13113.2651713704,-13080.2584196532,-12924.3592865736
"Cml Pop Growth","Juvenile Male",107112.787940732,45.7858986634801,106941.558553576,107082.463610117,107112.967540551,107143.484162936,107286.404358651
"Cml Pop Growth","Juvenile Combined",93999.2530618032,95.4749396183569,93641.7969921782,93936.2186268982,93999.7808563743,94063.326875874,94362.0450720777
"Cml Pop Growth","Adult Female",-137265.179023605,9.20767133287494,-137302.371318369,-137271.305289838,-137265.173581714,-137259.054325494,-137230.771676876
"Cml Pop Growth","Adult Male",38406.580684815,9.21557806559804,38369.3358004495,38400.4588289496,38406.5784117158,38412.7074388035,38440.9880838414
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",578156.016501187,320.26957266237,577060.945614947,577943.254275054,578156.806640988,578371.160859195,579273.000317973
"Total Number Increase","Neonatal Female",21032.1921520721,106.855638984254,20667.8168354196,20961.5832335292,21031.7378214472,21104.6066262921,21408.7293324391
"Total Number Increase","Neonatal Male",202473.082321878,113.445070591623,202090.348023577,202398.177213073,202472.152570302,202549.635524072,202872.368204931
"Total Number Increase","Neonatal Combined",223505.27447395,220.142502024661,222758.164858997,223359.535293821,223503.682751337,223653.701574305,224281.09753737
"Total Number Increase","Juvenile Female",100886.321995507,54.6155566001238,100681.389582887,100850.262460961,100886.480986912,100922.623319145,101095.131689321
"Total Number Increase","Juvenile Male",107112.787940732,45.7858986634801,106941.558553576,107082.463610117,107112.967540551,107143.484162936,107286.404358651
"Total Number Increase","Juvenile Combined",207999.109936239,100.354402873305,207622.948136463,207932.913853355,207999.699758706,208066.289244529,208381.536047973
"Total Number Increase","Adult Female",99771.5217659788,9.84283975609422,99731.6963036602,99764.9797023282,99771.523663636,99778.0712970416,99808.1569128508
"Total Number Increase","Adult Male",46880.1103250188,9.57996118494311,46841.354534297,46873.7635745922,46880.1066074562,46886.471461546,46915.7954277246
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",64279.2363001781,8.78776701000893,64246.2848321369,64273.4136266337,64279.2856704268,64285.0415770905,64312.9575101695
"Total Mortality","Neonatal Female",22715.0998105216,4.51033545390062,22698.186100998,22712.105987313,22715.1207781799,22718.0777480475,22732.4124022504
"Total Mortality","Neonatal Male",10845.1350330576,3.84250784656556,10830.7192794376,10842.6012881329,10845.1542348381,10847.6795271632,10859.8360986451
"Total Mortality","Neonatal Combined",33560.2348435792,8.35056435991267,33528.9053804357,33554.7076675593,33560.2864351013,33565.7538052202,33592.2485008955
"Total Mortality","Juvenile Female",4384.60987978601,0.20327677640016,4383.78682988255,4384.47481449022,4384.61041809798,4384.74518732229,4385.36503753443
"Total Mortality","Juvenile Male",937.602206500376,0.191599223698863,936.82709068594,937.475271491843,937.602132149123,937.72942923092,938.315908554491
"Total Mortality","Juvenile Combined",5322.21208628639,0.394870201071981,5320.61392056849,5321.94953106013,5322.212809913,5322.47495999041,5323.68094608892
"Total Mortality","Adult Female",25396.7893703125,0.0700474591421554,25396.5072452175,25396.742716582,25396.7893101733,25396.835760039,25397.0611483737
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",400784943.214903,132418300.53774,73733074.2301365,294231876.980897,400631197.828602,505550675.690741,724831827.359473
"Population Liveweight (kg)","Neonatal Female",23152197.8405405,13277451.4677469,312653.947348991,11581137.8471006,23160333.3417842,34437553.6170218,46039800.6292049
"Population Liveweight (kg)","Neonatal Male",13608444.6814591,7892656.2751535,185865.609116253,6882558.83415182,13583423.3783071,20296762.5621326,27383025.3879079
"Population Liveweight (kg)","Juvenile Female",80661820.7971599,46548605.1788149,430895.141061762,40088952.9201911,81009875.3246452,121095412.46565,161643260.011922
"Population Liveweight (kg)","Juvenile Male",28913566.2136126,16772870.6465274,154882.067260648,14260467.7720528,28984953.2205784,43534245.9084205,58150878.622796
"Population Liveweight (kg)","Juvenile Combined",109575387.010772,49166186.7267584,1172164.22738117,69443031.6467544,110050957.935426,149384686.780067,218834091.616409
"Population Liveweight (kg)","Adult Female",214417816.545486,121906844.240598,776538.234771567,109494337.771616,215101238.362656,319163441.917285,427115965.628714
"Population Liveweight (kg)","Adult Male",40031097.1366449,5376085.17121797,23275912.2877862,36243330.2010609,40574527.6284229,44284663.702013,50218848.2750854
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",90528809.1408586,39658071.5075528,6408594.60005831,57638334.4615267,89787342.0718631,123237508.882096,177889572.483693
"Offtake Liveweight (kg)","Juvenile Female",21325379.5404715,12317315.2714701,113990.031211821,10687194.8954637,21204092.3874404,31918996.0962428,42755031.1751017
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",64829110.8198644,37812015.5472102,237035.458769616,32000075.2295874,64237269.8961364,98132746.8856123,130370806.976533
"Offtake Liveweight (kg)","Adult Male",4374318.7805227,596376.133089203,2315056.20585898,3964476.95051376,4441398.60780815,4841098.10729834,5492403.53679069
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",299866026.778894,43234547.7208512,160529224.383374,269855943.441117,299775691.884179,329674047.648587,444503054.487028
"Manure","Overall",947504474.051478,35129486.8227196,817842979.260197,924103153.154671,947545139.577655,971194053.560814,1067874003.80295
"Manure","Neonatal Female",75625145.4690797,1924973.68373605,68974790.5890409,74339632.9404265,75634956.0102113,76931625.7952668,83296525.908078
"Manure","Neonatal Male",38046417.0945141,966154.000610011,34519027.0751664,37391597.7251307,38046844.1358943,38694474.392498,41308538.1412694
"Manure","Neonatal Combined",113671562.563594,2150439.38945296,105902908.137419,112213263.230591,113657849.424332,115142773.097092,121563924.074114
"Manure","Juvenile Female",181569466.70967,5964540.90831655,159364701.057887,177493574.338765,181609408.61767,185615217.234525,202965207.472682
"Manure","Juvenile Male",42638379.4968804,1448733.88572971,37602888.9668618,41643817.5889909,42640811.5612842,43628914.9684932,48289833.5131059
"Manure","Juvenile Combined",224207846.206551,6138223.89865409,199847579.285629,220004940.419523,224221636.318873,228419246.276756,247000580.842456
"Manure","Adult Female",571405993.897992,34422342.9830863,450964719.809579,550338854.378764,571220516.125206,592282651.061266,691482682.125023
"Manure","Adult Male",38219071.3833412,2378564.9316245,30126015.2335642,36609752.208158,38239959.2193236,39812457.3026781,46199665.1408278
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",15359.5007282995,0.231681164895641,15358.560582893,15359.3464184091,15359.5009749275,15359.6544562155,15360.354504637
"Hides","Juvenile Female",2192.30493989301,0.10163838820008,2191.89341494127,2192.23740724511,2192.30520904899,2192.37259366115,2192.68251876721
"Hides","Juvenile Male",468.801103250188,0.0957996118494315,468.41354534297,468.737635745921,468.801066074562,468.86471461546,469.157954277246
"Hides","Juvenile Combined",2661.10604314319,0.19743510053599,2660.30696028424,2660.97476553007,2661.1064049565,2661.2374799952,2661.84047304446
"Hides","Adult Female",12698.3946851563,0.0350237295710777,12698.2536226087,12698.371358291,12698.3946550866,12698.4178800195,12698.5305741868
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",2564244528.0067,140860863.452122,2104343230.19329,2468831473.00506,2559959665.59893,2657358888.35813,3169428834.28691
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",3848295591.85329,371359333.802116,2252466108.12739,3597789650.43943,3848770153.93448,4097106036.2167,5215676922.06308
"Cml Dry Matter","Neonatal Female",233192806.636995,27514204.1579963,145050026.504033,213489959.638879,232792342.173542,252163418.693899,329634386.580359
"Cml Dry Matter","Neonatal Male",117487559.130065,13836160.1176762,63115369.3359326,107929481.571093,117652743.864811,126986114.426117,165934131.040989
