"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505617.877072739,55.2008073071109,505560.707542226,505580.329939403,505592.94858413,505646.821193842,505719.686393036
"Num Offtake","Neonatal Female",35696.7540348584,7.52727527138802,35688.8762252097,35691.6470631846,35693.4035672917,35700.7099811798,35710.633273532
"Num Offtake","Neonatal Male",110010.314836334,41.5027556106302,109964.154007071,109982.335949278,109992.14314143,110031.26663759,110085.892945324
"Num Offtake","Neonatal Combined",145707.068871192,49.0262025456847,145653.030232281,145673.983012462,145685.546708722,145731.976618769,145796.526218856
"Num Offtake","Juvenile Female",114428.614298808,5.40635562583941,114422.136290117,114424.867504142,114426.487456108,114432.036488642,114439.06141604
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114428.614298808,5.40635562583941,114422.136290117,114424.867504142,114426.487456108,114432.036488642,114439.06141604
"Num Offtake","Adult Female",237099.925900605,0.641068976461458,237099.152325185,237099.471130376,237099.776485465,237100.316937432,237101.138366854
"Num Offtake","Adult Male",8382.26800213368,0.366062353081427,8381.82636050327,8382.00829242312,8382.18267745859,8382.49114899942,8382.96039128658
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",76464.8426457367,254.526009866311,76205.7304094746,76298.8022454905,76368.8896978106,76554.6454296835,76989.9119323038
"Cml Pop Growth","Neonatal Female",-14580.5184685099,84.9672149670215,-14661.6876649946,-14645.2675863678,-14591.1803859527,-14558.8085758253,-14383.0032433833
"Cml Pop Growth","Neonatal Male",92547.789923939,66.127429520136,92482.3673211168,92502.6808419834,92546.8085573843,92559.7339583485,92710.8357881212
"Cml Pop Growth","Neonatal Combined",77967.2714554291,150.437525038068,77820.6796561222,77850.0880600476,77959.9394841138,77998.7697261821,78327.8325447378
"Cml Pop Growth","Juvenile Female",-9967.69602507602,53.1574209229114,-10030.4712496085,-10003.1708712679,-9990.14021853413,-9941.33146606288,-9872.05885533511
"Cml Pop Growth","Juvenile Male",107912.673205385,49.0189301189252,107853.360651535,107880.058042175,107891.98650483,107937.035254983,108000.151034741
"Cml Pop Growth","Juvenile Combined",97944.9771803094,102.171945992435,97822.8894019268,97876.8871709073,97901.8462862958,97995.7037889206,98128.0921794054
"Cml Pop Growth","Adult Female",-136535.734075027,9.45278403575506,-136547.028351174,-136542.255489399,-136539.599441515,-136529.741047706,-136517.466975715
"Cml Pop Growth","Adult Male",37088.3280850254,9.39235504841829,37077.1172088307,37081.8444345082,37084.4929403153,37094.2715197691,37106.476979713
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",582082.719718475,306.02408089309,581766.437951701,581887.073916316,581944.125719775,582198.433487377,582682.363725253
"Total Number Increase","Neonatal Female",21116.2355663485,91.1286727999902,21029.8190232224,21048.7233871547,21099.7763275946,21141.5169836703,21323.8718603837
"Total Number Increase","Neonatal Male",202558.104760273,99.5655132697719,202463.948572255,202487.238169968,202531.047779233,202587.930388763,202778.206235391
"Total Number Increase","Neonatal Combined",223674.340326621,190.567644807209,223493.767595478,223535.961557123,223630.824106828,223729.447372433,224102.078095775
"Total Number Increase","Juvenile Female",104460.918273732,58.3503679297122,104395.118418972,104421.696632874,104435.732242542,104490.300287813,104567.002560705
"Total Number Increase","Juvenile Male",107912.673205385,49.0189301189252,107853.360651535,107880.058042175,107891.98650483,107937.035254983,108000.151034741
"Total Number Increase","Juvenile Combined",212373.591479117,107.342251289156,212248.479070507,212301.754675049,212327.718747371,212426.406245838,212567.153595445
"Total Number Increase","Adult Female",100564.191825578,10.0800688214103,100552.123974011,100557.215640977,100560.17704395,100570.575889726,100583.67139114
"Total Number Increase","Adult Male",45470.5960871591,9.75044690251408,45458.943569334,45463.8527269314,45466.6756177739,45476.7626687685,45489.4373709996
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",60526.6031823235,9.00616360345889,60517.0245151288,60520.4977243151,60522.5892042208,60531.2697215445,60543.1456227075
"Total Mortality","Neonatal Female",22716.1162040008,4.79008426361059,22711.1030524062,22712.8663129356,22713.9840882766,22718.6336243871,22724.9484467931
"Total Mortality","Neonatal Male",10846.0873782301,4.09182097569591,10841.5363105563,10843.3288964077,10844.2958026762,10848.1530487764,10853.5387410882
"Total Mortality","Neonatal Combined",33562.2035822309,8.88057929090143,33552.6393629625,33556.1952093433,33558.2798909528,33566.7866731636,33578.4871878813
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",25403.5634893505,0.0686859617646857,25403.4806062698,25403.5147639689,25403.5474805856,25403.6053861534,25403.6933964487
"Total Mortality","Adult Male",1560.83611074213,0.068163334711762,1560.75387402475,1560.78775100293,1560.82022269919,1560.87766222748,1560.9650383775
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",334605560.480027,82052330.6179587,195268752.198126,292215551.195628,328909895.64839,354872204.112105,474497790.87698
"Population Liveweight (kg)","Neonatal Female",23757645.0799401,10059583.3682335,10022702.4246142,15725622.5789741,24258802.5876049,30360034.4798569,41013494.7110507
"Population Liveweight (kg)","Neonatal Male",11410710.3194191,7293694.14205869,2978376.60570958,4840287.59555763,10609104.4203702,15873045.1937063,25865820.7576753
"Population Liveweight (kg)","Juvenile Female",81702988.0724878,64555625.2859995,2604515.2496649,20401740.6825676,76406069.1174321,145123793.627359,162820851.119497
"Population Liveweight (kg)","Juvenile Male",35658959.4692062,13083943.2909997,2647227.77487503,33994502.0789858,38943599.5215228,43543708.0898889,47811774.775353
"Population Liveweight (kg)","Juvenile Combined",117361947.541694,61244836.0237478,43567367.2671671,59429037.1964817,113249061.86233,177917434.035057,193300397.220943
"Population Liveweight (kg)","Adult Female",165948666.240964,79409324.4067012,43528576.5601021,102600225.431141,187712517.158553,238237065.033581,247172014.380429
"Population Liveweight (kg)","Adult Male",16126591.2980104,11977073.6553007,837753.53080637,7384770.57130494,15455241.8796196,22708318.463191,39059434.9703038
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
