"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",508690.642611489,61.5852450621932,508598.233028065,508657.741441082,508695.183061371,508721.4504244,508780.890989738
"Num Offtake","Neonatal Female",36558.4699502627,8.40741651033109,36545.7944476834,36553.9996685928,36559.0806446045,36562.6753390724,36570.7823988135
"Num Offtake","Neonatal Male",112113.188832347,45.8845220278883,112042.637080354,112089.121350076,112117.987130384,112133.327287752,112178.07013116
"Num Offtake","Neonatal Combined",148671.65878261,54.2836710453303,148588.431528037,148643.121018669,148677.067774988,148696.002626825,148748.852529974
"Num Offtake","Juvenile Female",114537.383276718,6.468938738411,114527.346687483,114533.612193271,114537.021762902,114541.753640779,114548.274651719
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114537.383276718,6.468938738411,114527.346687483,114533.612193271,114537.021762902,114541.753640779,114548.274651719
"Num Offtake","Adult Female",237093.287266355,0.813570648879236,237091.910661871,237092.735562418,237093.313587422,237093.81048423,237094.664571833
"Num Offtake","Adult Male",8388.31328580626,0.464291660141547,8387.52768059036,8387.99846321268,8388.32834308109,8388.61186750366,8389.09923621295
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",101592.81939634,277.445589145951,101162.246415316,101470.984000688,101550.356333948,101735.060106476,102123.095415405
"Cml Pop Growth","Neonatal Female",-566.403753638046,93.6723303034811,-700.516694556514,-621.519214298984,-594.267563342582,-517.204798597624,-371.12624428136
"Cml Pop Growth","Neonatal Male",98322.7044209776,72.1568876189047,98230.6045526234,98283.1721020762,98300.7155609779,98350.4157244558,98475.1449028547
"Cml Pop Growth","Neonatal Combined",97756.3006673396,165.170728007552,97530.0878580668,97651.5270282234,97704.872808272,97829.6735337268,98104.0186585733
"Cml Pop Growth","Juvenile Female",-6857.13903740105,58.31589793617,-6948.66144653119,-6887.10230208679,-6849.53153542642,-6834.67215335355,-6772.06991410721
"Cml Pop Growth","Juvenile Male",109691.098559626,53.4631441226539,109606.674615702,109663.826381769,109698.927549078,109709.796725949,109771.531381487
"Cml Pop Growth","Juvenile Combined",102833.959522225,111.768891815755,102658.013169171,102776.724079682,102849.570924544,102875.037117149,102999.46146738
"Cml Pop Growth","Adult Female",-136316.578668502,11.2422287896262,-136333.809432202,-136323.001006844,-136317.313473426,-136308.762882087,-136297.70514029
"Cml Pop Growth","Adult Male",37319.1378752769,11.1616420732224,37302.0048075011,37312.7515246264,37318.4267588323,37326.8951986134,37337.8710122855
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",610283.462007829,333.665485446555,609760.479443381,610128.72544177,610267.254775365,610429.188833836,610893.266097175
"Total Number Increase","Neonatal Female",35992.0661966247,100.162619809436,35845.2777531268,35939.2116875726,35964.642218175,36050.7110895472,36198.2348527288
"Total Number Increase","Neonatal Male",210435.893253325,108.101528329129,210273.241632977,210389.0957387,210410.384451838,210502.178879096,210651.751516158
"Total Number Increase","Neonatal Combined",246427.95944995,208.05319208147,246118.519386104,246328.570906991,246375.026670013,246560.745290675,246849.986368887
"Total Number Increase","Juvenile Female",107680.244239316,64.365210680026,107580.716047784,107646.676206459,107687.157596927,107708.034006561,107770.811738814
"Total Number Increase","Juvenile Male",109691.098559626,53.4631441226539,109606.674615702,109663.826381769,109698.927549078,109709.796725949,109771.531381487
"Total Number Increase","Juvenile Combined",217371.342798943,117.768315218893,217187.390663486,217310.502588228,217386.260056898,217417.743277063,217541.552196613
"Total Number Increase","Adult Female",100776.708597853,12.0382409547508,100758.101229669,100769.734555574,100776.000113996,100784.915855202,100796.959431542
