"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505108.708229942,50.6015046292135,504921.627685202,505074.074067613,505108.284600468,505142.926725713,505313.462708163
"Num Offtake","Neonatal Female",35695.1486254079,6.9003943897002,35669.6152612622,35690.4258035567,35695.1090708131,35699.8244732674,35723.1527039541
"Num Offtake","Neonatal Male",110000.588474467,37.9268702793785,109860.037039576,109974.770333846,110000.366015666,110026.170370955,110156.378891338
"Num Offtake","Neonatal Combined",145695.737099874,44.8208433561836,145529.652300838,145665.194987705,145695.473224466,145726.010525911,145879.531595292
"Num Offtake","Juvenile Female",113999.872150233,5.16122221306562,113981.981924737,113996.34497387,113999.800899976,114003.322288986,114018.124105772
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113999.872150233,5.16122221306562,113981.981924737,113996.34497387,113999.800899976,114003.322288986,114018.124105772
"Num Offtake","Adult Female",237036.705703654,0.639653723512987,237034.444692198,237036.269621096,237036.69876113,237037.127441157,237039.103224494
"Num Offtake","Adult Male",8376.39327618129,0.365250723121353,8375.10246861836,8376.1442724331,8376.3892947192,8376.63412983488,8377.76240544948
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",71488.8694163199,265.699039996793,70442.4534644689,71308.3026235228,71487.4288711724,71667.6209202988,72731.8168205242
"Cml Pop Growth","Neonatal Female",-14662.2289715835,98.2835990011967,-15022.7428201794,-14729.1631661994,-14661.7787877766,-14596.5444079695,-14220.9638788872
"Cml Pop Growth","Neonatal Male",92473.2421560244,82.7495227149268,92159.7276497151,92416.6035858489,92473.2200107368,92528.7082095684,92824.3414789723
"Cml Pop Growth","Neonatal Combined",77811.0131844409,180.430638739405,77136.9848295357,77688.1953856201,77810.3415583888,77933.174232265,78603.3776000851
"Cml Pop Growth","Juvenile Female",-13113.6548433094,48.3328814761267,-13292.793744654,-13146.3967649241,-13114.0390846826,-13080.9544242548,-12912.7310004694
"Cml Pop Growth","Juvenile Male",107112.667747171,44.5222145703161,106947.915239509,107082.529471045,107112.310333252,107142.747588307,107298.328371716
"Cml Pop Growth","Juvenile Combined",93999.0129038614,92.8479448927298,93655.1214948553,93936.164651503,93998.4386312865,94061.6651802381,94385.5973712468
